preview_symbol,field_function_class,field_function_variant,field_function_confidence,depth_score,depth_state,world_count,count,avg_afterimage,avg_recurrence,avg_rekopplung,avg_strain,avg_sensory_coupling,last_world,worlds,effects,passive_only,influences_action,is_gate,is_motoric
dio_mcm_episode_0j5jlak,active_recoupling,compact_carried_recoupling,0.668568,0.885067,multiworld_depth_seed,6,11,0.85844,0.963302,0.735742,0.14636,0.863214,FF_NULL_PAXG_SHUFFLE_10K,REAL_TIME_2024_SOL_ALTSEQ_A:3; FF_NULL_PAXG_SHUFFLE_10K:2; REAL_FOLLOW_BTC_6000:2; REAL_FOLLOW_DOGE_6000:2; PAXG_1846_A:1; REAL_TIME_2024_PAXG:1,stabil:11,1,0,0,0
dio_mcm_episode_1k1vudq,milieu_island,quiet_deep_recoupling,0.674891,0.88307,multiworld_depth_seed,5,8,0.850264,0.969919,0.732496,0.163689,0.85833,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:3; REAL_FOLLOW_XRP_6000:2; PAXG_1846_A:1; REAL_FOLLOW_PAXG_6000:1; REAL_TIME_2024_BTC_5M:1,stabil:8,1,0,0,0
dio_mcm_episode_103jy5j,milieu_island,quiet_deep_recoupling,0.679817,0.874928,multiworld_depth_seed,4,5,0.85321,0.966104,0.714433,0.178513,0.82798,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:2; PAXG_1846_A:1; REAL_TIME_2024_BTC_5M:1; REAL_TIME_2024_SOL_ALTSEQ_A:1,stabil:5,1,0,0,0
dio_mcm_episode_1qmlwcr,active_recoupling,compact_carried_recoupling,0.675618,0.874118,multiworld_depth_seed,12,21,0.845459,0.928466,0.734104,0.156086,0.864256,FF_NULL_PAXG_SHUFFLE_10K,FOLLOW_EQ10K_PAXG_2024_5M:4; FOLLOW_EQ10K_XRP_2024_5M:3; REAL_FOLLOW_XRP_6000:3; FF_NULL_PAXG_SHUFFLE_10K:2; PAXG_1846_A:2; BTC_10K_A:1; BTC_FIELD_QUIET_02:1; BTC_LONG_2024_5M_QUIET:1,stabil:21,1,0,0,0
dio_mcm_episode_06eyd53,active_recoupling,compact_carried_recoupling,0.668892,0.868585,multiworld_depth_seed,8,13,0.843596,0.922478,0.724662,0.161324,0.851799,FF_NULL_DOGE_SHUFFLE_10K,REAL_TIME_2024_BTC_5M:3; FF_NULL_BTC_SHUFFLE_10K:2; FOLLOW_EQ10K_XRP_2024_5M:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; BTC_10K_A:1; BTC_STRESS_2025_5M:1; FF_NULL_DOGE_SHUFFLE_10K:1; REAL_FOLLOW_DOGE_6000:1,stabil:13,1,0,0,0
dio_mcm_episode_0pvq9jm,milieu_island,quiet_deep_recoupling,0.658457,0.86574,multiworld_depth_seed,5,10,0.840557,0.898295,0.729209,0.157041,0.876878,FF_NULL_PAXG_SHUFFLE_10K,REAL_FOLLOW_PAXG_6000:4; PAXG_1846_A:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; FF_NULL_PAXG_SHUFFLE_10K:1; REAL_TIME_2024_BTC_5M:1,stabil:10,1,0,0,0
dio_mcm_episode_1dxx3n8,active_recoupling,compact_carried_recoupling,0.677253,0.864082,multiworld_depth_seed,9,25,0.841023,0.901101,0.725135,0.163157,0.861298,FF_NULL_PAXG_SHUFFLE_10K,FF_NULL_PAXG_SHUFFLE_10K:6; REAL_TIME_2024_SOL_ALTSEQ_A:5; PAXG_1846_A:3; REAL_FOLLOW_PAXG_6000:3; REAL_TIME_2024_BTC_5M:3; REAL_FOLLOW_BTC_6000:2; BTC_LONG_2025_5M_QUIET:1; QUIET_NEAR_BTC_1869:1,stabil:25,1,0,0,0
dio_mcm_episode_08op00s,active_recoupling,compact_carried_recoupling,0.695758,0.862531,multiworld_depth_seed,19,59,0.820703,0.898029,0.732233,0.151797,0.870894,FF_NULL_PAXG_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:10; FOLLOW_EQ10K_PAXG_2024_5M:8; FF_NULL_DOGE_SHUFFLE_10K:5; FOLLOW_XRP_2024_5M_2000:5; QUIET_NEAR_PAXG2025_1H:4; BTC_10K_A:3; BTC_FIELD_QUIET_05:3; BTC_STRESS_2025_5M:3,stabil:59,1,0,0,0
dio_mcm_episode_0s13pzp,milieu_island,quiet_deep_recoupling,0.661907,0.860563,multiworld_depth_seed,4,5,0.825762,0.866439,0.739861,0.136898,0.889561,FF_NULL_BTC_SHUFFLE_10K,REAL_FOLLOW_BTC_6000:2; FF_NULL_BTC_SHUFFLE_10K:1; PAXG_1846_A:1; REAL_FOLLOW_PAXG_6000:1,stabil:5,1,0,0,0
dio_mcm_episode_01116gq,active_recoupling,compact_carried_recoupling,0.67935,0.858163,multiworld_depth_seed,8,19,0.823102,0.884395,0.727925,0.163216,0.868429,FF_NULL_DOGE_SHUFFLE_10K,FF_NULL_DOGE_SHUFFLE_10K:4; FOLLOW_EQ10K_DOGE_2024_5M:4; FOLLOW_EQ10K_PAXG_2024_5M:3; BTC_LONG_2024_5M_QUIET:2; BTC_STRESS_2024_5M:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; FOLLOW_EQ10K_XRP_2024_5M:1; PAXG_1846_A:1,stabil:19,1,0,0,0
dio_mcm_episode_07a7zoq,active_recoupling,compact_carried_recoupling,0.674721,0.857893,multiworld_depth_seed,8,21,0.804864,0.913585,0.721101,0.164374,0.850549,FF_NULL_PAXG_SHUFFLE_10K,REAL_TIME_2024_BTC_5M:5; FF_NULL_DOGE_SHUFFLE_10K:3; FF_NULL_PAXG_SHUFFLE_10K:3; PAXG_1846_A:3; REAL_FOLLOW_PAXG_6000:3; REAL_FOLLOW_BTC_6000:2; BTC_LONG_2025_5M_QUIET:1; QUIET_NEAR_BTC_1869:1,stabil:21,1,0,0,0
dio_mcm_episode_02ixe4y,active_recoupling,compact_carried_recoupling,0.670456,0.854587,multiworld_depth_seed,10,23,0.821764,0.897569,0.715883,0.170691,0.831102,FF_NULL_XRP_SHUFFLE_10K,FOLLOW_EQ10K_XRP_2024_5M:5; FF_NULL_XRP_SHUFFLE_10K:4; FOLLOW_EQ10K_DOGE_2024_5M:4; FOLLOW_XRP_2024_5M_2000:2; REAL_TIME_2024_BTC_5M:2; REAL_TIME_2024_XRP:2; BTC_STRESS_2025_5M:1; FF_NULL_BTC_SHUFFLE_10K:1,stabil:23,1,0,0,0
