preview_symbol,old_role,new_role,old_count,new_count,count_delta,old_world_count,new_world_count,world_count_delta,top_world,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score
dio_mcm_episode_12tgchq,breite_grundrolle,breite_grundrolle,32949,37419,4470,26,27,1,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:4715;FOLLOW_EQ10K_KAS_2024_5M:4470;FOLLOW_EQ10K_XRP_2024_5M:4040;FOLLOW_EQ10K_PAXG_2024_5M:2812;SOL_10K_A:2722;REAL_FOLLOW_XRP_6000:2518;REAL_FOLLOW_SOL_6000:2256;REAL_TIME_2024_SOL_ALTSEQ_A:2172;BTC_10K_A:1848;FOLLOW_XRP_2024_5M_2000:1645,xrp:8936;sol:8685;doge:6978;other:4470;btc:3255;paxg:3152;quiet:1360;stress:578;shift:5,0.831148,0.236266,0.188847,0.017158
dio_mcm_episode_1qlxgj7,breite_grundrolle,breite_grundrolle,16884,19350,2466,41,42,1,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:2466;FOLLOW_EQ10K_XRP_2024_5M:2420;FOLLOW_EQ10K_DOGE_2024_5M:2338;FOLLOW_EQ10K_PAXG_2024_5M:1153;FOLLOW_DOGE_2024_5M_2000:1109;REAL_FOLLOW_SOL_6000:1032;REAL_FOLLOW_DOGE_6000:921;REAL_FOLLOW_XRP_6000:890;FOLLOW_XRP_2024_5M_2000:719;REAL_TIME_2024_XRP:700,xrp:4824;doge:4504;other:2573;sol:2440;btc:1705;paxg:1304;quiet:1281;shift:470;stress:249,0.893132,0.309555,0.194456,0.0
dio_mcm_episode_0iwh9d2,breite_grundrolle,breite_grundrolle,14304,15155,851,23,24,1,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000:2831;PAXG_1846_A:2460;FOLLOW_EQ10K_PAXG_2024_5M:1844;FOLLOW_EQ10K_DOGE_2024_5M:852;FOLLOW_EQ10K_KAS_2024_5M:851;BTC_LONG_2025_5M_QUIET:742;QUIET_NEAR_BTC_1869:742;REAL_FOLLOW_XRP_6000:649;FOLLOW_EQ10K_XRP_2024_5M:602;REAL_TIME_2024_BTC_5M:565,paxg:7315;quiet:2616;xrp:2216;btc:1113;doge:979;other:851;sol:65,0.746547,0.175511,0.385304,0.029053
dio_mcm_episode_0icnf2v,breite_grundrolle,breite_grundrolle,94381,94852,471,39,40,1,REAL_TIME_2023_SOL_ALTSEQ_A,REAL_TIME_2023_SOL_ALTSEQ_A:6873;FOLLOW_DOGE_2024_5M_2000:6679;REAL_FOLLOW_DOGE_6000:6538;FOLLOW_XRP_2024_5M_2000:6192;REAL_FOLLOW_BTC_6000:5866;BTC_10K_A:5850;SOL_10K_A:5602;REAL_FOLLOW_SOL_6000:5581;REAL_FOLLOW_XRP_6000:4315;REAL_TIME_2024_BTC_5M:4261,sol:21480;btc:16165;xrp:14825;doge:13691;quiet:11832;paxg:11178;stress:4643;other:932;shift:106,0.906935,0.338586,0.176637,0.0
dio_mcm_episode_1b57ksv,nebenrolle,nebenrolle,406,846,440,4,5,1,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M:440;FOLLOW_EQ10K_XRP_2024_5M:146;FOLLOW_EQ10K_PAXG_2024_5M:143;FOLLOW_EQ10K_DOGE_2024_5M:108;QUIET_NEAR_PAXG2025_1H:9,other:440;xrp:146;paxg:143;doge:108;quiet:9,0.244301,0.066242,0.341741,0.361767
dio_mcm_episode_13vl4wk,neu,nebenrolle,0,224,224,0,5,5,BTC_STRESS_2024_5M,BTC_STRESS_2024_5M:177;DOGE_1H_B:37;FOLLOW_PAXG_2024_5M_2000:4;REAL_TIME_2024_PAXG:4;FOLLOW_EQ10K_XRP_2024_5M:2,stress:177;doge:37;paxg:8;xrp:2,0.139313,0.272855,0.416846,0.45555
dio_mcm_episode_1yxc2ug,breite_grundrolle,breite_grundrolle,1464,1636,172,24,25,1,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M:294;FOLLOW_EQ10K_XRP_2024_5M:210;FOLLOW_EQ10K_KAS_2024_5M:172;REAL_FOLLOW_XRP_6000:168;FOLLOW_DOGE_2024_5M_2000:126;REAL_FOLLOW_DOGE_6000:115;REAL_FOLLOW_SOL_6000:113;SOL_10K_A:100;QUIET_NEAR_PAXG2024_1H:62;FOLLOW_XRP_2024_5M_2000:44,doge:535;xrp:466;sol:254;other:197;btc:87;quiet:86;stress:9;paxg:2,0.613384,0.154741,0.209055,0.15269
dio_mcm_episode_0bsaqu1,breite_grundrolle,breite_grundrolle,455,522,67,40,41,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:78;FOLLOW_EQ10K_KAS_2024_5M:67;FOLLOW_EQ10K_DOGE_2024_5M:65;FOLLOW_EQ10K_PAXG_2024_5M:28;SOL_10K_A:22;FOLLOW_XRP_2024_5M_2000:20;REAL_FOLLOW_DOGE_6000:19;REAL_TIME_2024_XRP:16;REAL_FOLLOW_SOL_6000:15;FOLLOW_DOGE_2024_5M_2000:13,xrp:132;doge:109;other:68;sol:54;paxg:48;btc:45;quiet:37;stress:18;shift:11,0.610603,0.24448,0.134009,0.208379
dio_mcm_episode_1eav7xq,breite_grundrolle,breite_grundrolle,501,564,63,39,40,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:89;FOLLOW_EQ10K_DOGE_2024_5M:81;FOLLOW_EQ10K_KAS_2024_5M:63;FOLLOW_EQ10K_PAXG_2024_5M:27;FOLLOW_XRP_2024_5M_2000:24;REAL_FOLLOW_DOGE_6000:23;REAL_TIME_2024_XRP:21;SOL_10K_A:17;FOLLOW_DOGE_2024_5M_2000:16;REAL_FOLLOW_SOL_6000:16,xrp:158;doge:128;other:63;btc:54;sol:51;quiet:44;paxg:41;shift:14;stress:11,0.607653,0.224835,0.150296,0.202917
dio_mcm_episode_0vcr3lw,breite_grundrolle,breite_grundrolle,427,490,63,38,39,1,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M:76;FOLLOW_EQ10K_KAS_2024_5M:63;FOLLOW_EQ10K_DOGE_2024_5M:59;FOLLOW_EQ10K_PAXG_2024_5M:29;REAL_TIME_2023_SOL_ALTSEQ_A:18;FOLLOW_DOGE_2024_5M_2000:17;FOLLOW_XRP_2024_5M_2000:17;SOL_10K_A:17;REAL_FOLLOW_SOL_6000:16;DOGE_1H_B:13,xrp:121;doge:106;other:63;paxg:56;sol:51;quiet:37;btc:34;stress:13;shift:9,0.600436,0.223495,0.129541,0.212843
