preview_symbol,world,occurrences,target_profile_hits,target_profile_share,first_tick,last_tick,before_effects,anchor_effects,after_effects,before_preview_symbols,after_preview_symbols,anchor_families,anchor_avg_rekopplung,anchor_avg_strain,anchor_avg_afterimage,anchor_avg_recurrence,anchor_avg_form_stability,anchor_avg_energy_shift,anchor_avg_tension,anchor_reading
dio_mcm_episode_183drjy,STABLE10K_AFTER,6107,676,0.110693,728,9994,stabil:31209;tragend_unruhig:4083;kippend:1350,stabil:5190;tragend_unruhig:688;kippend:229,stabil:30847;tragend_unruhig:4178;kippend:1478;gespannt:112,dio_mcm_episode_183drjy:35609;dio_mcm_episode_1t5bcxp:563;dio_mcm_episode_1hjbx8p:324;dio_mcm_episode_03xfov3:53,dio_mcm_episode_183drjy:35609;dio_mcm_episode_1t5bcxp:344;dio_mcm_episode_1hjbx8p:249;dio_mcm_episode_0pclaui:25,dio_1xk5:19;dio_0n1p:15;dio_1p73:15;dio_12w3:14,0.658442,0.171057,0.003282,0.120595,0.046875,0.000269,0.189166,oberflaechenanker
dio_mcm_episode_183drjy,STRESS10K_AFTER,5933,681,0.114782,166,9726,stabil:30859;tragend_unruhig:3772;kippend:967,stabil:5133;tragend_unruhig:636;kippend:164,stabil:30401;tragend_unruhig:4015;kippend:1065;gespannt:117,dio_mcm_episode_183drjy:34802;dio_mcm_episode_1t5bcxp:484;dio_mcm_episode_1hjbx8p:115;dio_mcm_episode_03xfov3:94,dio_mcm_episode_183drjy:34802;dio_mcm_episode_1t5bcxp:276;dio_mcm_episode_1hjbx8p:94;dio_mcm_episode_0ipx085:30,dio_1yp1:17;dio_14sk:14;dio_0n1p:13;dio_05cj:12,0.658572,0.169046,0.003793,0.126699,0.009929,0.000727,0.184905,oberflaechenanker
dio_mcm_episode_183drjy,EXPANSION10K_AFTER,5779,688,0.119052,1081,9994,stabil:29806;tragend_unruhig:3958;kippend:910,stabil:4946;tragend_unruhig:668;kippend:165,stabil:29308;tragend_unruhig:4167;kippend:1074;gespannt:104,dio_mcm_episode_183drjy:33808;dio_mcm_episode_1t5bcxp:530;dio_mcm_episode_1hjbx8p:181;dio_mcm_episode_03xfov3:69,dio_mcm_episode_183drjy:33808;dio_mcm_episode_1t5bcxp:370;dio_mcm_episode_1hjbx8p:122;dio_mcm_episode_0wxdilw:22,dio_1yp1:13;dio_0n1p:12;dio_1ibc:9;dio_1cx7:9,0.657739,0.171334,0.002879,0.106681,0.046635,0.001524,0.188232,oberflaechenanker
dio_mcm_episode_183drjy,EXPANSION10K_REPRO,5779,688,0.119052,1081,9994,stabil:29806;tragend_unruhig:3958;kippend:910,stabil:4946;tragend_unruhig:668;kippend:165,stabil:29308;tragend_unruhig:4167;kippend:1074;gespannt:104,dio_mcm_episode_183drjy:33808;dio_mcm_episode_1t5bcxp:530;dio_mcm_episode_1hjbx8p:181;dio_mcm_episode_03xfov3:69,dio_mcm_episode_183drjy:33808;dio_mcm_episode_1t5bcxp:370;dio_mcm_episode_1hjbx8p:122;dio_mcm_episode_0wxdilw:22,dio_1yp1:13;dio_0n1p:12;dio_1ibc:9;dio_1cx7:9,0.657739,0.171334,0.002879,0.106681,0.046635,0.001524,0.188232,oberflaechenanker
dio_mcm_episode_1t5bcxp,STRESS10K_AFTER,2960,503,0.169932,90,9994,stabil:14418;tragend_unruhig:2640;kippend:702,stabil:2408;tragend_unruhig:433;kippend:119,stabil:14401;tragend_unruhig:2500;kippend:750;gespannt:88,dio_mcm_episode_1t5bcxp:16935;dio_mcm_episode_183drjy:276;dio_mcm_episode_02xikfk:214;dio_mcm_episode_0vkdfwc:182,dio_mcm_episode_1t5bcxp:16935;dio_mcm_episode_183drjy:484;dio_mcm_episode_1fc319h:25;dio_mcm_episode_02xikfk:22,dio_1duy:8;dio_1xk5:8;dio_078c:5;dio_1sle:5,0.648979,0.182718,0.001953,0.050867,0.028603,0.001129,0.207132,oberflaechenanker
dio_mcm_episode_1t5bcxp,STABLE10K_AFTER,2599,460,0.176991,368,9379,stabil:12378;tragend_unruhig:2497;kippend:719,stabil:2085;tragend_unruhig:406;kippend:108,stabil:12581;tragend_unruhig:2362;kippend:634;gespannt:17,dio_mcm_episode_1t5bcxp:14915;dio_mcm_episode_183drjy:344;dio_mcm_episode_02xikfk:127;dio_mcm_episode_0vkdfwc:88,dio_mcm_episode_1t5bcxp:14915;dio_mcm_episode_183drjy:563;dio_mcm_episode_1slrx1m:36;dio_mcm_episode_02xikfk:15,dio_16vq:5;dio_08fz:5;dio_0r0t:5;dio_0zjz:5,0.648933,0.184893,0.001687,0.049774,0.060773,-0.002736,0.214733,oberflaechenanker
dio_mcm_episode_1t5bcxp,EXPANSION10K_AFTER,2002,331,0.165335,1044,9881,stabil:9416;tragend_unruhig:2035;kippend:561,stabil:1589;tragend_unruhig:326;kippend:87,stabil:9607;tragend_unruhig:1871;kippend:490;gespannt:44,dio_mcm_episode_1t5bcxp:11303;dio_mcm_episode_183drjy:370;dio_mcm_episode_02xikfk:170;dio_mcm_episode_0vkdfwc:94,dio_mcm_episode_1t5bcxp:11303;dio_mcm_episode_183drjy:530;dio_mcm_episode_02xikfk:29;dio_mcm_episode_08k98i3:18,dio_1vld:4;dio_0jyx:4;dio_1836:3;dio_1hyc:3,0.648920,0.187142,0.001777,0.072012,0.053928,-0.002530,0.223890,oberflaechenanker
dio_mcm_episode_1t5bcxp,EXPANSION10K_REPRO,2002,331,0.165335,1044,9881,stabil:9416;tragend_unruhig:2035;kippend:561,stabil:1589;tragend_unruhig:326;kippend:87,stabil:9607;tragend_unruhig:1871;kippend:490;gespannt:44,dio_mcm_episode_1t5bcxp:11303;dio_mcm_episode_183drjy:370;dio_mcm_episode_02xikfk:170;dio_mcm_episode_0vkdfwc:94,dio_mcm_episode_1t5bcxp:11303;dio_mcm_episode_183drjy:530;dio_mcm_episode_02xikfk:29;dio_mcm_episode_08k98i3:18,dio_1vld:4;dio_0jyx:4;dio_1836:3;dio_1hyc:3,0.648920,0.187142,0.001777,0.072012,0.053928,-0.002530,0.223890,oberflaechenanker
dio_mcm_episode_183drjy,SIDEWAYS,804,93,0.115672,1087,1969,stabil:4154;tragend_unruhig:525;kippend:145,stabil:692;tragend_unruhig:87;kippend:25,stabil:4126;tragend_unruhig:539;kippend:147;gespannt:12,dio_mcm_episode_183drjy:4697;dio_mcm_episode_1t5bcxp:76;dio_mcm_episode_1hjbx8p:27;dio_mcm_episode_03xfov3:15,dio_mcm_episode_183drjy:4697;dio_mcm_episode_1t5bcxp:68;dio_mcm_episode_1hjbx8p:17;dio_mcm_episode_0kluhxc:6,dio_1p73:4;dio_0f8u:4;dio_1lqo:3;dio_0cet:3,0.653510,0.171249,0.002413,0.042945,0.048466,-0.001228,0.173422,oberflaechenanker
dio_mcm_episode_1t5bcxp,SIDEWAYS,656,116,0.176829,448,1994,stabil:3310;tragend_unruhig:526;kippend:100,stabil:556;tragend_unruhig:84;kippend:16,stabil:3328;tragend_unruhig:498;kippend:85;gespannt:6,dio_mcm_episode_1t5bcxp:3805;dio_mcm_episode_183drjy:68;dio_mcm_episode_02xikfk:25;dio_mcm_episode_0vkdfwc:13,dio_mcm_episode_1t5bcxp:3805;dio_mcm_episode_183drjy:76;dio_mcm_episode_1hjbx8p:10;dio_mcm_episode_0rt4pw4:9,dio_1yp1:3;dio_0ezz:3;dio_15cp:3;dio_10ng:2,0.647826,0.179154,0.001525,0.014881,0.041717,0.000276,0.187466,oberflaechenanker
