preview_symbol,field_function_class,field_function_variant,field_function_confidence,depth_score,depth_state,world_count,count,avg_afterimage,avg_recurrence,avg_rekopplung,avg_strain,avg_sensory_coupling,last_world,worlds,effects,passive_only,influences_action,is_gate,is_motoric
dio_mcm_episode_1k1vudq,milieu_island,quiet_deep_recoupling,0.678438,0.888153,multiworld_depth_seed,5,6,0.851926,0.98239,0.737449,0.160208,0.864497,FF_BTC_2024_10K,REAL_FOLLOW_XRP_6000:2; FF_BTC_2024_10K:1; PAXG_1846_A:1; REAL_FOLLOW_PAXG_6000:1; REAL_TIME_2024_BTC_5M:1,stabil:6,1,0,0,0
dio_mcm_episode_0j5jlak,milieu_island,quiet_deep_recoupling,0.668747,0.888138,multiworld_depth_seed,6,11,0.85926,0.977391,0.73566,0.146861,0.860667,FF_PAXG_2024_10K,REAL_TIME_2024_SOL_ALTSEQ_A:3; FF_PAXG_2024_10K:2; REAL_FOLLOW_BTC_6000:2; REAL_FOLLOW_DOGE_6000:2; PAXG_1846_A:1; REAL_TIME_2024_PAXG:1,stabil:11,1,0,0,0
dio_mcm_episode_1qmlwcr,active_recoupling,compact_carried_recoupling,0.676302,0.873017,multiworld_depth_seed,13,21,0.844385,0.923561,0.734465,0.155176,0.864991,FF_DOGE_2024_10K,FOLLOW_EQ10K_PAXG_2024_5M:4; FOLLOW_EQ10K_XRP_2024_5M:3; REAL_FOLLOW_XRP_6000:3; PAXG_1846_A:2; BTC_10K_A:1; BTC_FIELD_QUIET_02:1; BTC_LONG_2024_5M_QUIET:1; BTC_STRESS_2025_5M:1,stabil:21,1,0,0,0
dio_mcm_episode_1dxx3n8,active_recoupling,compact_carried_recoupling,0.675914,0.87006,multiworld_depth_seed,10,26,0.850008,0.91817,0.726694,0.163299,0.861151,FF_PAXG_2024_10K,REAL_TIME_2024_SOL_ALTSEQ_A:5; FF_PAXG_2024_10K:4; FF_BTC_2024_10K:3; PAXG_1846_A:3; REAL_FOLLOW_PAXG_6000:3; REAL_TIME_2024_BTC_5M:3; REAL_FOLLOW_BTC_6000:2; BTC_LONG_2025_5M_QUIET:1,stabil:26,1,0,0,0
dio_mcm_episode_103jy5j,milieu_island,quiet_deep_recoupling,0.661213,0.87006,multiworld_depth_seed,5,5,0.84132,0.957332,0.713346,0.17808,0.822369,FF_PAXG_2024_10K,FF_BTC_2024_10K:1; FF_PAXG_2024_10K:1; PAXG_1846_A:1; REAL_TIME_2024_BTC_5M:1; REAL_TIME_2024_SOL_ALTSEQ_A:1,stabil:5,1,0,0,0
dio_mcm_episode_1rf1k15,milieu_island,quiet_deep_recoupling,0.668657,0.867487,multiworld_depth_seed,5,21,0.857416,0.922638,0.716652,0.173201,0.835234,FF_SOL_STABLE_2026_10K,FOLLOW_EQ10K_XRP_2024_5M:11; FOLLOW_EQ10K_DOGE_2024_5M:5; BTC_STRESS_2025_5M:2; FF_SOL_STABLE_2026_10K:2; SOL_10K_A:1,stabil:21,1,0,0,0
dio_mcm_episode_0pvq9jm,active_recoupling,compact_carried_recoupling,0.675963,0.86618,multiworld_depth_seed,6,13,0.84936,0.89322,0.729164,0.156496,0.874289,FF_BTC_2024_10K,REAL_FOLLOW_PAXG_6000:4; FF_SOL_STABLE_2026_10K:3; PAXG_1846_A:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; FF_BTC_2024_10K:1; REAL_TIME_2024_BTC_5M:1,stabil:13,1,0,0,0
dio_mcm_episode_07a7zoq,active_recoupling,compact_carried_recoupling,0.677818,0.862018,multiworld_depth_seed,8,25,0.820897,0.908809,0.726107,0.164664,0.858628,FF_PAXG_2024_10K,FF_BTC_2024_10K:5; FF_PAXG_2024_10K:5; REAL_TIME_2024_BTC_5M:5; PAXG_1846_A:3; REAL_FOLLOW_PAXG_6000:3; REAL_FOLLOW_BTC_6000:2; BTC_LONG_2025_5M_QUIET:1; QUIET_NEAR_BTC_1869:1,stabil:25,1,0,0,0
dio_mcm_episode_06eyd53,active_recoupling,compact_carried_recoupling,0.672621,0.861702,multiworld_depth_seed,8,16,0.832226,0.901703,0.724044,0.160711,0.852947,FF_BTC_2024_10K,FF_BTC_2024_10K:3; FF_SOL_STABLE_2026_10K:3; REAL_TIME_2024_BTC_5M:3; FOLLOW_EQ10K_XRP_2024_5M:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; BTC_10K_A:1; BTC_STRESS_2025_5M:1; REAL_FOLLOW_DOGE_6000:1,stabil:16,1,0,0,0
dio_mcm_episode_159zeqh,active_recoupling,compact_carried_recoupling,0.682979,0.860722,multiworld_depth_seed,8,23,0.803937,0.902317,0.733521,0.149955,0.871027,FF_PAXG_2024_10K,FF_PAXG_2024_10K:7; REAL_TIME_2024_SOL_ALTSEQ_A:4; PAXG_1846_A:3; REAL_FOLLOW_BTC_6000:3; REAL_FOLLOW_PAXG_6000:3; FF_BTC_2024_10K:1; REAL_TIME_2024_BTC_5M:1; REAL_TIME_2024_PAXG:1,stabil:23,1,0,0,0
