preview_symbol,old_role,new_role,old_count,new_count,count_delta,old_world_count,new_world_count,world_count_delta,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score
dio_mcm_episode_12tgchq,breite_grundrolle,breite_grundrolle,21382,32949,11567,23,26,3,FOLLOW_EQ10K_DOGE_2024_5M,0.1431,FOLLOW_EQ10K_DOGE_2024_5M:4715;FOLLOW_EQ10K_XRP_2024_5M:4040;FOLLOW_EQ10K_PAXG_2024_5M:2812;SOL_10K_A:2722;REAL_FOLLOW_XRP_6000:2518;REAL_FOLLOW_SOL_6000:2256;REAL_TIME_2024_SOL_ALTSEQ_A:2172;BTC_10K_A:1848;FOLLOW_XRP_2024_5M_2000:1645;REAL_TIME_2023_SOL_ALTSEQ_A:1535,xrp:8936;sol:8685;doge:6978;btc:3255;paxg:3152;quiet:1360;stress:578;shift:5,0.801278,0.231052,0.215116,0.020969
dio_mcm_episode_1qlxgj7,breite_grundrolle,breite_grundrolle,10973,16884,5911,38,41,3,FOLLOW_EQ10K_XRP_2024_5M,0.143331,FOLLOW_EQ10K_XRP_2024_5M:2420;FOLLOW_EQ10K_DOGE_2024_5M:2338;FOLLOW_EQ10K_PAXG_2024_5M:1153;FOLLOW_DOGE_2024_5M_2000:1109;REAL_FOLLOW_SOL_6000:1032;REAL_FOLLOW_DOGE_6000:921;REAL_FOLLOW_XRP_6000:890;FOLLOW_XRP_2024_5M_2000:719;REAL_TIME_2024_XRP:700;REAL_TIME_2023_SOL_ALTSEQ_A:683,xrp:4824;doge:4504;sol:2440;btc:1705;paxg:1304;quiet:1281;shift:470;stress:249;other:107,0.857508,0.30802,0.222857,0.0
dio_mcm_episode_0icnf2v,breite_grundrolle,breite_grundrolle,90718,94381,3663,36,39,3,REAL_TIME_2023_SOL_ALTSEQ_A,0.072822,REAL_TIME_2023_SOL_ALTSEQ_A:6873;FOLLOW_DOGE_2024_5M_2000:6679;REAL_FOLLOW_DOGE_6000:6538;FOLLOW_XRP_2024_5M_2000:6192;REAL_FOLLOW_BTC_6000:5866;BTC_10K_A:5850;SOL_10K_A:5602;REAL_FOLLOW_SOL_6000:5581;REAL_FOLLOW_XRP_6000:4315;REAL_TIME_2024_BTC_5M:4261,sol:21480;btc:16165;xrp:14825;doge:13691;quiet:11832;paxg:11178;stress:4643;other:461;shift:106,0.903151,0.337476,0.177519,0.0
dio_mcm_episode_0iwh9d2,breite_grundrolle,breite_grundrolle,11006,14304,3298,20,23,3,REAL_FOLLOW_PAXG_6000,0.197917,REAL_FOLLOW_PAXG_6000:2831;PAXG_1846_A:2460;FOLLOW_EQ10K_PAXG_2024_5M:1844;FOLLOW_EQ10K_DOGE_2024_5M:852;BTC_LONG_2025_5M_QUIET:742;QUIET_NEAR_BTC_1869:742;REAL_FOLLOW_XRP_6000:649;FOLLOW_EQ10K_XRP_2024_5M:602;REAL_TIME_2024_BTC_5M:565;BTC_10K_A:545,paxg:7315;quiet:2616;xrp:2216;btc:1113;doge:979;sol:65,0.727678,0.170325,0.409609,0.033351
dio_mcm_episode_1rj8742,breite_grundrolle,breite_grundrolle,17014,18021,1007,37,40,3,REAL_FOLLOW_BTC_6000,0.085844,REAL_FOLLOW_BTC_6000:1547;BTC_STRESS_2025_5M:870;FOLLOW_EQ10K_PAXG_2024_5M:858;REAL_FOLLOW_XRP_6000:838;REAL_FOLLOW_DOGE_6000:750;BTC_FIELD_QUIET_04:718;BTC_LONG_2024_5M_QUIET:694;REAL_FOLLOW_SOL_6000:682;FOLLOW_KAS_2024_5M_2000:660;PAXG_1H_A:645,quiet:3766;btc:3646;paxg:2795;xrp:2004;doge:1746;shift:1478;sol:993;stress:933;other:660,0.934001,0.554243,0.163003,0.0
dio_mcm_episode_1yxc2ug,breite_grundrolle,breite_grundrolle,958,1464,506,21,24,3,FOLLOW_EQ10K_DOGE_2024_5M,0.20082,FOLLOW_EQ10K_DOGE_2024_5M:294;FOLLOW_EQ10K_XRP_2024_5M:210;REAL_FOLLOW_XRP_6000:168;FOLLOW_DOGE_2024_5M_2000:126;REAL_FOLLOW_DOGE_6000:115;REAL_FOLLOW_SOL_6000:113;SOL_10K_A:100;QUIET_NEAR_PAXG2024_1H:62;FOLLOW_XRP_2024_5M_2000:44;REAL_TIME_2024_XRP:44,doge:535;xrp:466;sol:254;btc:87;quiet:86;other:25;stress:9;paxg:2,0.567758,0.139852,0.230859,0.164652
dio_mcm_episode_1b57ksv,neu,nebenrolle,0,406,406,0,4,4,FOLLOW_EQ10K_XRP_2024_5M,0.359606,FOLLOW_EQ10K_XRP_2024_5M:146;FOLLOW_EQ10K_PAXG_2024_5M:143;FOLLOW_EQ10K_DOGE_2024_5M:108;QUIET_NEAR_PAXG2025_1H:9,xrp:146;paxg:143;doge:108;quiet:9,0.208637,0.055133,0.213873,0.436115
dio_mcm_episode_1eav7xq,breite_grundrolle,breite_grundrolle,304,501,197,36,39,3,FOLLOW_EQ10K_XRP_2024_5M,0.177645,FOLLOW_EQ10K_XRP_2024_5M:89;FOLLOW_EQ10K_DOGE_2024_5M:81;FOLLOW_EQ10K_PAXG_2024_5M:27;FOLLOW_XRP_2024_5M_2000:24;REAL_FOLLOW_DOGE_6000:23;REAL_TIME_2024_XRP:21;SOL_10K_A:17;FOLLOW_DOGE_2024_5M_2000:16;REAL_FOLLOW_SOL_6000:16;REAL_TIME_2024_BTC_5M:15,xrp:158;doge:128;btc:54;sol:51;quiet:44;paxg:41;shift:14;stress:11,0.584122,0.225886,0.166032,0.211276
dio_mcm_episode_0m8cxz1,milieurolle,breite_grundrolle,1016,1198,182,20,22,2,BTC_LONG_2025_5M_QUIET,0.275459,BTC_LONG_2025_5M_QUIET:330;QUIET_NEAR_BTC_1869:330;FOLLOW_EQ10K_XRP_2024_5M:99;FOLLOW_EQ10K_PAXG_2024_5M:83;BTC_FIELD_QUIET_05:55;BTC_FIELD_QUIET_04:47;BTC_FIELD_QUIET_02:40;BTC_STRESS_2024_5M:39;BTC_10K_A:35;QUIET_NEAR_SOL_SIDEWAYS:23,quiet:848;paxg:121;xrp:119;stress:53;btc:40;shift:17,0.472796,0.193693,0.437877,0.187591
dio_mcm_episode_0bsaqu1,breite_grundrolle,breite_grundrolle,284,455,171,37,40,3,FOLLOW_EQ10K_XRP_2024_5M,0.171429,FOLLOW_EQ10K_XRP_2024_5M:78;FOLLOW_EQ10K_DOGE_2024_5M:65;FOLLOW_EQ10K_PAXG_2024_5M:28;SOL_10K_A:22;FOLLOW_XRP_2024_5M_2000:20;REAL_FOLLOW_DOGE_6000:19;REAL_TIME_2024_XRP:16;REAL_FOLLOW_SOL_6000:15;FOLLOW_DOGE_2024_5M_2000:13;REAL_TIME_2023_SOL_ALTSEQ_A:13,xrp:132;doge:109;sol:54;paxg:48;btc:45;quiet:37;stress:18;shift:11;other:1,0.571225,0.241947,0.150368,0.218073
