asset,phase,rows,unique_families,dominant_family,dominant_family_share,dominant_role,avg_rekopplung,avg_strain,avg_afterimage,avg_temporal_trust,top20
BTC,frueh,5665,593,dio_104t,0.060370697263901145,field_stabil,0.7390705525154457,0.16934783071491616,0.5691714319505737,0.7601274663724625,dio_104t dio_155c dio_0m9z dio_0l7p dio_0h9h dio_14wj dio_00ja dio_00ly dio_0oc3 dio_0pz6 dio_17ct dio_06s7 dio_1ewh dio_1gp2 dio_0g2r dio_1lsu dio_1q85 dio_1kpz dio_04uf dio_0obq
BTC,mitte,5665,480,dio_104t,0.07608120035304501,field_stabil,0.7459466827890556,0.17305027325684025,0.7716896144748455,0.8944214656663725,dio_104t dio_155c dio_0m9z dio_0l7p dio_0h9h dio_14wj dio_0oc3 dio_00ly dio_17ct dio_0obq dio_1lsu dio_1kpz dio_1ewh dio_00ja dio_0pz6 dio_06s7 dio_0dd2 dio_09bn dio_169a dio_1q85
BTC,spaet,5664,514,dio_104t,0.07538841807909605,field_stabil,0.7470698527542372,0.17359609728107345,0.8186919343220339,0.9164523914194916,dio_104t dio_155c dio_0m9z dio_0l7p dio_0h9h dio_14wj dio_00ly dio_0oc3 dio_1lsu dio_1kpz dio_17ct dio_06s7 dio_1ewh dio_00ja dio_0pz6 dio_1q85 dio_0obq dio_06er dio_0dd2 dio_0tay
DOGE,frueh,5665,549,dio_104t,0.06372462488967344,field_stabil,0.7403817985878198,0.16926208578993823,0.5810469290379524,0.7699654977934687,dio_104t dio_0m9z dio_155c dio_0l7p dio_0h9h dio_14wj dio_00ly dio_00ja dio_1lsu dio_1q85 dio_17ct dio_06s7 dio_0oc3 dio_0pz6 dio_1ewh dio_09bn dio_0obq dio_1kpz dio_0nlj dio_0g2r
DOGE,mitte,5665,507,dio_104t,0.07890556045895852,field_stabil,0.7474582204766108,0.17165509267431597,0.7755719092674316,0.8940657825242719,dio_104t dio_0l7p dio_155c dio_0m9z dio_0h9h dio_14wj dio_00ly dio_0oc3 dio_0dd2 dio_1lsu dio_17ct dio_0obq dio_06er dio_0pz6 dio_1q85 dio_0z9t dio_1ewh dio_06s7 dio_0tay dio_1r55
DOGE,spaet,5664,585,dio_104t,0.0715042372881356,field_stabil,0.7460128532838983,0.17397217814265536,0.8010445683262711,0.9022875986935027,dio_104t dio_0m9z dio_155c dio_0l7p dio_0h9h dio_14wj dio_00ly dio_0oc3 dio_1lsu dio_17ct dio_06er dio_06s7 dio_0dd2 dio_0pz6 dio_0tay dio_09bn dio_1ewh dio_1q85 dio_0nlj dio_00ja
PAXG,frueh,5665,472,dio_104t,0.062312444836716684,field_stabil,0.7487996598411297,0.16451798764342454,0.6022337110326567,0.7873916180052958,dio_104t dio_14wj dio_0l7p dio_0m9z dio_155c dio_0h9h dio_1u5i dio_1fll dio_00ja dio_06er dio_00ly dio_1lsu dio_06s7 dio_1ewh dio_0oc3 dio_1gp2 dio_0g2r dio_1kpz dio_0dd2 dio_1jc2
PAXG,mitte,5665,398,dio_104t,0.05436893203883495,field_stabil,0.754141173521624,0.17220616398940863,0.7986494856134158,0.9087147410414828,dio_104t dio_14wj dio_0m9z dio_0l7p dio_155c dio_1u5i dio_0h9h dio_1fll dio_0oc3 dio_06er dio_00ly dio_1ewh dio_0dd2 dio_1lsu dio_00ja dio_1jc2 dio_0z9t dio_10dv dio_1pij dio_07o8
PAXG,spaet,5664,399,dio_104t,0.06603107344632768,field_stabil,0.7570551795550847,0.16965383880649718,0.8437355833333333,0.9314187687146892,dio_104t dio_14wj dio_0l7p dio_0m9z dio_155c dio_1u5i dio_0h9h dio_1fll dio_06er dio_1ewh dio_00ly dio_0oc3 dio_1jc2 dio_00ja dio_1lsu dio_0dd2 dio_0kx9 dio_0z9t dio_0obq dio_06s7
XRP,frueh,5665,600,dio_104t,0.06425419240953222,field_stabil,0.7383381390997352,0.16936735869373346,0.5678897408649602,0.7592123103265666,dio_104t dio_0m9z dio_155c dio_0l7p dio_0h9h dio_14wj dio_00ja dio_1q85 dio_00ly dio_17ct dio_0oc3 dio_06s7 dio_0pz6 dio_1lsu dio_0obq dio_1kpz dio_0nlj dio_1ewh dio_0g2r dio_0tay
XRP,mitte,5665,466,dio_104t,0.070432480141218,field_stabil,0.7471008255957634,0.17232512656663726,0.7870085560458959,0.900960415710503,dio_104t dio_0l7p dio_155c dio_0m9z dio_0h9h dio_14wj dio_00ly dio_1q85 dio_1lsu dio_17ct dio_0oc3 dio_1ewh dio_0pz6 dio_0dd2 dio_00ja dio_06er dio_1kpz dio_06s7 dio_0obq dio_09bn
XRP,spaet,5664,548,dio_104t,0.06638418079096045,field_stabil,0.746586731108757,0.17373274576271186,0.8109863402189266,0.9098074957627118,dio_104t dio_0m9z dio_0l7p dio_155c dio_0h9h dio_14wj dio_1lsu dio_00ly dio_0pz6 dio_1q85 dio_17ct dio_0oc3 dio_00ja dio_09bn dio_1ewh dio_0tay dio_1kpz dio_06s7 dio_06er dio_1492
