world,start_tick,end_tick,length,top_family,field_top,temporal_top,range_avg,volume_avg,ret_sum
PAXG_10K,154,156,3,dio_00ja,field_carried,temporal_far_return,0.000985383531567315,1.0478333333333334,0.001478318082386674
PAXG_10K,401,403,3,dio_0h9h,field_carried,temporal_far_return,0.0014714700533563707,4.531766666666666,0.0014715501113950198
PAXG_10K,535,537,3,dio_1w94,field_carried,temporal_far_return,0.0008185988753455225,0.5253666666666666,-0.0014732365247829165
PAXG_10K,788,790,3,dio_0h9h,field_carried,temporal_far_return,0.000998502246630055,1.4829333333333332,0.0
PAXG_10K,1865,1867,3,dio_19pg,field_carried,temporal_far_return,0.0008274584114671247,1.0990333333333333,0.0009928022453249094
DOGE_10K,772,774,3,dio_0u2x,field_carried,temporal_first_contact,0.005465444756074648,14314944.333333334,-0.003617743943976604
DOGE_10K,1405,1407,3,dio_1w94,field_carried,temporal_far_return,0.003535984806437181,2983992.0,-0.0015768540716718047
DOGE_10K,1932,1934,3,dio_1foq,field_carried,temporal_first_contact,0.004881060886380879,5774271.666666667,0.004419080104210277
DOGE_10K,2154,2156,3,dio_1jc2,field_mixed,temporal_far_return,0.0028206780921177146,2232369.6666666665,-0.00359010632762594
DOGE_10K,2207,2209,3,dio_0m9z,field_carried,temporal_far_return,0.002947117049579961,3598963.3333333335,0.0031594402784614582
XRP_10K,577,579,3,dio_1u5i,field_carried,temporal_far_return,0.0014395653198678812,1602263.0,0.00032092131360613406
XRP_10K,885,887,3,dio_0hcc,field_carried,temporal_far_return,0.0042365658653057085,1160419.6666666667,1.7482394845761995e-05
XRP_10K,1263,1265,3,dio_09bn,field_carried,temporal_far_return,0.0020820783878433063,914506.3333333334,0.0017355083786442516
XRP_10K,1286,1288,3,dio_18kx,field_carried,temporal_far_return,0.003920762824215103,1945437.0,0.001760989502290332
XRP_10K,1932,1934,3,dio_11z2,field_carried,temporal_far_return,0.003081904528651997,1272096.0,0.003909691297798532
KAS_10K,112,114,3,dio_0oc3,field_carried,temporal_far_return,0.0023923246331772254,209576.33333333334,0.003859166770547981
KAS_10K,284,286,3,dio_0obq,field_carried,temporal_far_return,0.0035174776912213533,520595.0,0.0011174333779756561
KAS_10K,425,427,3,dio_1ydr,field_carried,temporal_far_return,0.004499833542345876,741630.0,-0.006413718903857395
KAS_10K,517,519,3,dio_1gp2,field_carried,temporal_far_return,0.004932085446401788,645582.0,-0.002814653058475793
KAS_10K,604,606,3,dio_1l99,field_carried,temporal_first_contact,0.011343167813183294,2820009.0,-0.001618641443910648
XLM_10K,523,525,3,dio_05mh,field_carried,temporal_far_return,0.0023138239021045803,128721.0,-0.001540829297190388
XLM_10K,584,586,3,dio_0h9h,field_carried,temporal_far_return,0.0023124360709138735,89824.33333333333,-0.0015414260477836575
XLM_10K,1170,1172,3,dio_1ewh,field_carried,temporal_far_return,0.003030077428734945,537851.6666666666,1.3660278437455792e-06
XLM_10K,1280,1282,3,dio_0u2x,field_carried,temporal_far_return,0.002520540788382524,233378.0,-0.005041317163009755
XLM_10K,1736,1738,3,dio_1udx,field_carried,temporal_far_return,0.0019393664674785074,78137.33333333333,2.7639427089953122e-06
TRX_10K,1002,1004,3,dio_104t,field_carried,temporal_first_contact,0.001558360604643916,1613763.2000000002,-0.001028517999064974
TRX_10K,1101,1103,3,dio_18kx,field_carried,temporal_far_return,0.0009662944087832562,431510.0333333333,-0.0008416722004676099
TRX_10K,2267,2269,3,dio_05mh,field_carried,temporal_far_return,0.0009942713918505036,461167.2,0.0005777653423698816
