row_type,phase_pairs,baseline_sources,baseline_phase_keys,followup_phase_keys,phase_repro_states,phase_transitions,phase_state_profile,phase_repro_state,count,share,asset,family,phase,baseline_attachment_quality,followup_attachment_quality,baseline_profile,followup_profile,baseline_observations,followup_observations,baseline_share,followup_share,baseline_rekopplung,followup_rekopplung,baseline_afterimage,followup_afterimage,baseline_temporal,followup_temporal
summary,618,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv; docs\befunde\1848_ANSCHLUSSQUALITAET_NEUE_FENSTER.csv,621,618,phase_offen_wird_spezifisch:333; phase_spezifisch_wird_offen:114; phase_nachhall_wird_kernnah:105; neu_ohne_phasenbaseline:30; phase_reproduziert:27; phase_kontextdrift:9,offen_gemischt->kernnah:228; kernnah->offen_gemischt:114; nachhallnah_ohne_kern->kernnah:105; offen_gemischt->nullnah:90; offen_gemischt->kernnah_ohne_feldzeit:15; neu_ohne_phasenbaseline->kernnah:12; kernnah->kernnah:12; neu_ohne_phasenbaseline->nullnah:12; offen_gemischt->offen_gemischt:9; neu_ohne_phasenbaseline->offen_gemischt:6; kernnah_ohne_feldzeit->nullnah:6; kernnah_ohne_feldzeit->kernnah_ohne_feldzeit:6; nullnah->kernnah:3,frueh::phase_offen_wird_spezifisch:111; mitte::phase_offen_wird_spezifisch:111; spaet::phase_offen_wird_spezifisch:111; frueh::phase_spezifisch_wird_offen:38; mitte::phase_spezifisch_wird_offen:38; spaet::phase_spezifisch_wird_offen:38; frueh::phase_nachhall_wird_kernnah:35; mitte::phase_nachhall_wird_kernnah:35; spaet::phase_nachhall_wird_kernnah:35; frueh::neu_ohne_phasenbaseline:10; mitte::neu_ohne_phasenbaseline:10; spaet::neu_ohne_phasenbaseline:10; frueh::phase_reproduziert:9; mitte::phase_reproduziert:9; spaet::phase_reproduziert:9; frueh::phase_kontextdrift:3; mitte::phase_kontextdrift:3; spaet::phase_kontextdrift:3,,,,,,,,,,,,,,,,,,,,
phase_state_summary,,,,,,,,phase_offen_wird_spezifisch,333,0.538835,,,,,,,,,,,,,,,,,
phase_state_summary,,,,,,,,phase_spezifisch_wird_offen,114,0.184466,,,,,,,,,,,,,,,,,
phase_state_summary,,,,,,,,phase_nachhall_wird_kernnah,105,0.169903,,,,,,,,,,,,,,,,,
phase_state_summary,,,,,,,,neu_ohne_phasenbaseline,30,0.048544,,,,,,,,,,,,,,,,,
phase_state_summary,,,,,,,,phase_reproduziert,27,0.043689,,,,,,,,,,,,,,,,,
phase_state_summary,,,,,,,,phase_kontextdrift,9,0.014563,,,,,,,,,,,,,,,,,
phase_repro_detail,,,,,,,,phase_nachhall_wird_kernnah,,,BTC,dio_104t,frueh,nachhallnah_ohne_kern,kernnah,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,kernnah:2,4,2,0.062413,0.067539,0.754513,0.751477,0.772,0.762742,0.913535,0.908886
phase_repro_detail,,,,,,,,phase_nachhall_wird_kernnah,,,BTC,dio_104t,mitte,nachhallnah_ohne_kern,kernnah,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,kernnah:2,4,2,0.062948,0.055127,0.755686,0.75523,0.834379,0.83545,0.946776,0.946028
phase_repro_detail,,,,,,,,phase_nachhall_wird_kernnah,,,BTC,dio_104t,spaet,nachhallnah_ohne_kern,kernnah,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,kernnah:2,4,2,0.072023,0.076148,0.756716,0.756692,0.832216,0.832885,0.947572,0.947314
phase_repro_detail,,,,,,,,phase_nachhall_wird_kernnah,,,BTC,dio_155c,frueh,nachhallnah_ohne_kern,kernnah,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,kernnah:2,4,2,0.046505,0.045669,0.749274,0.746242,0.761759,0.743251,0.904017,0.894552
phase_repro_detail,,,,,,,,phase_nachhall_wird_kernnah,,,BTC,dio_155c,mitte,nachhallnah_ohne_kern,kernnah,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,kernnah:2,4,2,0.04715,0.043544,0.751265,0.751017,0.842735,0.840919,0.945852,0.944537
phase_repro_detail,,,,,,,,phase_nachhall_wird_kernnah,,,BTC,dio_155c,spaet,nachhallnah_ohne_kern,kernnah,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,kernnah:2,4,2,0.045226,0.047405,0.75264,0.750141,0.844061,0.844497,0.948621,0.94784
phase_repro_detail,,,,,,,,phase_nachhall_wird_kernnah,,,BTC,dio_0l7p,frueh,nachhallnah_ohne_kern,kernnah,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,kernnah:2,4,2,0.035287,0.037521,0.761992,0.756885,0.746403,0.730619,0.89632,0.88907
