world,window_rank,start_tick,end_tick,window_length,target_profile_hits,target_profile_share,before_effects,cluster_effects,after_effects,before_families,cluster_families,after_families,before_preview_symbols,cluster_preview_symbols,after_preview_symbols,cluster_avg_rekopplung,cluster_avg_strain,cluster_avg_form_flow,cluster_avg_form_stability,cluster_avg_energy_tone,cluster_avg_energy_shift,cluster_avg_tension,context_reading
SIDEWAYS,1,201,300,100,31,0.310000,stabil:18;tragend_unruhig:6;kippend:1,stabil:59;tragend_unruhig:31;kippend:10,stabil:20;kippend:3;tragend_unruhig:2,dio_12zt:1;dio_0z2z:1;dio_0g0y:1,dio_0ovb:2;dio_0r0d:1;dio_0lic:1,dio_1xfw:1;dio_1og7:1;dio_0f10:1,dio_mcm_episode_0y50lf3:25,dio_mcm_episode_0y50lf3:100,dio_mcm_episode_0y50lf3:25,0.633502,0.216577,-0.133550,0.112512,0.013052,0.006177,0.283238,lokal_verdichteter_nebelraum
SIDEWAYS,2,401,500,100,29,0.290000,tragend_unruhig:11;kippend:7;stabil:7,stabil:79;tragend_unruhig:19;kippend:2,stabil:24;tragend_unruhig:1,dio_0z87:1;dio_0qkr:1;dio_0j6h:1,dio_13dx:2;dio_12dx:1;dio_0yc8:1,dio_0ezz:2;dio_0ldd:1;dio_15un:1,dio_mcm_episode_0af2iiu:13;dio_mcm_episode_1h04rtw:3;dio_mcm_episode_1d26rcr:3,dio_mcm_episode_1t5bcxp:53;dio_mcm_episode_02xikfk:24;dio_mcm_episode_037i64j:22,dio_mcm_episode_1t5bcxp:25,0.643047,0.192837,0.055533,0.099186,-0.010275,-0.002642,0.222738,lokal_verdichteter_nebelraum
SIDEWAYS,3,1401,1500,100,24,0.240000,stabil:25,stabil:76;tragend_unruhig:21;kippend:3,stabil:25,dio_1vli:1;dio_05dm:1;dio_0bja:1,dio_1guv:1;dio_0ezz:1;dio_0sy1:1,dio_12jw:1;dio_1bvu:1;dio_06gy:1,dio_mcm_episode_183drjy:25,dio_mcm_episode_183drjy:100,dio_mcm_episode_183drjy:25,0.650021,0.182329,0.059339,0.101110,-0.015457,-0.006465,0.203575,lokal_verdichteter_nebelraum
SIDEWAYS,4,1,100,100,21,0.210000,,stabil:68;tragend_unruhig:26;kippend:6,stabil:17;tragend_unruhig:7;kippend:1,,dio_1j6v:1;dio_1gbo:1;dio_0vp5:1,dio_157b:1;dio_0fnt:1;dio_1th6:1,,dio_mcm_episode_0y50lf3:85;dio_mcm_episode_0u1i1ff:3;dio_mcm_episode_009px6q:3,dio_mcm_episode_0y50lf3:25,0.637881,0.202966,0.011339,0.078127,-0.007708,0.000272,0.246875,lokal_verdichteter_nebelraum
SIDEWAYS,5,601,700,100,19,0.190000,stabil:20;tragend_unruhig:4;kippend:1,stabil:90;tragend_unruhig:9;kippend:1,stabil:19;tragend_unruhig:5;kippend:1,dio_0400:2;dio_0m14:1;dio_0n4v:1,dio_1sxq:2;dio_15cp:2;dio_0cbu:2,dio_1jei:1;dio_13wt:1;dio_0zjz:1,dio_mcm_episode_1t5bcxp:25,dio_mcm_episode_1t5bcxp:100,dio_mcm_episode_1t5bcxp:25,0.650882,0.177606,0.041289,0.084672,-0.007976,-0.000210,0.189602,breite_offene_vorform
EXPANSION10K_AFTER,1,4451,4550,100,29,0.290000,stabil:17;kippend:4;tragend_unruhig:3,stabil:80;tragend_unruhig:12;kippend:7,stabil:23;tragend_unruhig:2,dio_07ss:1;dio_01pv:1;dio_1gho:1,dio_13v9:1;dio_1rm8:1;dio_1l1f:1,dio_04im:1;dio_0smb:1;dio_0e3y:1,dio_mcm_episode_183drjy:17;dio_mcm_episode_1fin3kd:2;dio_mcm_episode_09y1vv7:1,dio_mcm_episode_1t5bcxp:91;dio_mcm_episode_17ebt9q:3;dio_mcm_episode_1cugys5:2,dio_mcm_episode_183drjy:9;dio_mcm_episode_0vkdfwc:3;dio_mcm_episode_1t5bcxp:3,0.646644,0.193685,0.048632,0.092329,-0.021474,-0.007965,0.241055,lokal_verdichteter_nebelraum
EXPANSION10K_AFTER,2,5151,5250,100,28,0.280000,stabil:18;tragend_unruhig:6;kippend:1,stabil:59;tragend_unruhig:30;kippend:11,stabil:17;tragend_unruhig:7;kippend:1,dio_0z42:1;dio_1owz:1;dio_1hi9:1,dio_0ctj:1;dio_1d9d:1;dio_15en:1,dio_18l3:1;dio_1joy:1;dio_0r1l:1,dio_mcm_episode_1t5bcxp:25,dio_mcm_episode_1t5bcxp:100,dio_mcm_episode_1t5bcxp:25,0.635930,0.210436,0.082229,0.040077,-0.002148,0.002137,0.276994,lokal_verdichteter_nebelraum
EXPANSION10K_AFTER,3,5451,5550,100,27,0.270000,stabil:15;tragend_unruhig:9;kippend:1,stabil:54;tragend_unruhig:34;kippend:11,stabil:18;tragend_unruhig:7,dio_10hx:1;dio_1suz:1;dio_11g3:1,dio_142o:1;dio_183b:1;dio_1una:1,dio_1ojb:1;dio_07wm:1;dio_1mve:1,dio_mcm_episode_02xikfk:12;dio_mcm_episode_0magw2b:3;dio_mcm_episode_1yv9fvu:3,dio_mcm_episode_02xikfk:67;dio_mcm_episode_1t5bcxp:12;dio_mcm_episode_0ap247t:4,dio_mcm_episode_02xikfk:25,0.635323,0.218264,0.027975,0.149269,-0.003725,0.004129,0.292962,lokal_verdichteter_nebelraum
EXPANSION10K_AFTER,4,5051,5150,100,26,0.260000,stabil:17;tragend_unruhig:5;kippend:2,stabil:78;tragend_unruhig:17;kippend:5,stabil:15;tragend_unruhig:10,dio_0i3y:1;dio_01uf:1;dio_1qgz:1,dio_00ao:1;dio_1h46:1;dio_1gr7:1,dio_0ctj:1;dio_1d9d:1;dio_15en:1,dio_mcm_episode_1t5bcxp:12;dio_mcm_episode_0x7d4av:3;dio_mcm_episode_1y00xwb:3,dio_mcm_episode_1t5bcxp:83;dio_mcm_episode_183drjy:15;dio_mcm_episode_0vkdfwc:2,dio_mcm_episode_1t5bcxp:25,0.648201,0.185863,-0.034121,0.030602,0.007942,0.007575,0.216198,lokal_verdichteter_nebelraum
EXPANSION10K_AFTER,5,7851,7950,100,24,0.240000,stabil:19;tragend_unruhig:5;kippend:1,stabil:72;tragend_unruhig:25;kippend:3,stabil:16;tragend_unruhig:7;kippend:2,dio_03rt:1;dio_1o8h:1;dio_1hwl:1,dio_0e4e:1;dio_1djg:1;dio_1ogx:1,dio_0kh0:1;dio_1lek:1;dio_1v8n:1,dio_mcm_episode_02xikfk:25,dio_mcm_episode_02xikfk:100,dio_mcm_episode_02xikfk:22;dio_mcm_episode_1t5bcxp:3,0.646379,0.193316,0.068734,0.057411,-0.004350,-0.002716,0.244735,lokal_verdichteter_nebelraum
STABLE10K_AFTER,1,6151,6250,100,31,0.310000,stabil:16;tragend_unruhig:6;kippend:3,stabil:67;tragend_unruhig:25;kippend:7,stabil:22;tragend_unruhig:3,dio_1ix6:1;dio_1ew4:1;dio_0i35:1,dio_0ja8:1;dio_0zk9:1;dio_18mw:1,dio_1opc:1;dio_07hp:1;dio_06ve:1,dio_mcm_episode_183drjy:25,dio_mcm_episode_183drjy:69;dio_mcm_episode_037i64j:8;dio_mcm_episode_02xikfk:8,dio_mcm_episode_1t5bcxp:19;dio_mcm_episode_02xikfk:6,0.645527,0.197625,-0.154609,0.093724,0.006227,0.003877,0.249498,lokal_verdichteter_nebelraum
STABLE10K_AFTER,2,51,150,100,28,0.280000,stabil:11;tragend_unruhig:10;kippend:4,stabil:79;tragend_unruhig:18;kippend:3,stabil:22;tragend_unruhig:2;kippend:1,dio_15h4:1;dio_0kub:1;dio_0rpl:1,dio_1x44:2;dio_1q26:1;dio_1ib4:1,dio_111k:1;dio_14i1:1;dio_0ac8:1,dio_mcm_episode_0y50lf3:25,dio_mcm_episode_0y50lf3:100,dio_mcm_episode_0y50lf3:25,0.643457,0.191908,0.014502,0.079112,-0.019400,-0.004775,0.220117,lokal_verdichteter_nebelraum
STABLE10K_AFTER,3,551,650,100,27,0.270000,stabil:22;tragend_unruhig:3,stabil:71;tragend_unruhig:22;kippend:7,stabil:18;tragend_unruhig:7,dio_08i2:1;dio_1qr7:1;dio_1u4j:1,dio_0p4n:2;dio_1ac2:2;dio_00jq:1,dio_0cqc:1;dio_1h0d:1;dio_1jr1:1,dio_mcm_episode_1t5bcxp:25,dio_mcm_episode_1t5bcxp:100,dio_mcm_episode_1t5bcxp:25,0.641763,0.198333,0.051596,0.084174,-0.008702,-0.001224,0.243905,lokal_verdichteter_nebelraum
STABLE10K_AFTER,4,301,400,100,25,0.250000,stabil:20;tragend_unruhig:3;kippend:2,stabil:70;tragend_unruhig:22;kippend:7,stabil:25,dio_0bh9:1;dio_12mm:1;dio_10hl:1,dio_1u4n:1;dio_0itv:1;dio_10b0:1,dio_0sy1:1;dio_07c9:1;dio_0qme:1,dio_mcm_episode_0y50lf3:25,dio_mcm_episode_0y50lf3:52;dio_mcm_episode_1t5bcxp:33;dio_mcm_episode_1yv9fvu:3,dio_mcm_episode_1t5bcxp:23;dio_mcm_episode_1slrx1m:2,0.637741,0.202469,0.004197,0.062422,-0.004857,0.001822,0.245531,lokal_verdichteter_nebelraum
STABLE10K_AFTER,5,1601,1700,100,25,0.250000,tragend_unruhig:13;stabil:10;kippend:2,stabil:76;tragend_unruhig:23;kippend:1,stabil:17;tragend_unruhig:7;kippend:1,dio_0d95:1;dio_1mhm:1;dio_0pp9:1,dio_190c:1;dio_1fk6:1;dio_0m59:1,dio_0r0t:2;dio_0d7w:1;dio_1sle:1,dio_mcm_episode_1t5bcxp:25,dio_mcm_episode_1t5bcxp:100,dio_mcm_episode_1t5bcxp:25,0.644758,0.191484,-0.050404,0.069180,-0.005546,-0.004590,0.226169,lokal_verdichteter_nebelraum
STRESS10K_AFTER,1,4501,4600,100,30,0.300000,stabil:15;tragend_unruhig:8;kippend:2,stabil:76;tragend_unruhig:16;kippend:7,stabil:24;tragend_unruhig:1,dio_18as:1;dio_1o3c:1;dio_022b:1,dio_10gi:2;dio_1fh1:1;dio_0sdr:1,dio_0wc7:1;dio_0ty6:1;dio_1sld:1,dio_mcm_episode_02xikfk:25,dio_mcm_episode_1t5bcxp:68;dio_mcm_episode_183drjy:8;dio_mcm_episode_02xikfk:7,dio_mcm_episode_1t5bcxp:22;dio_mcm_episode_183drjy:3,0.646489,0.192940,-0.051371,0.057476,-0.003009,0.001841,0.238388,lokal_verdichteter_nebelraum
STRESS10K_AFTER,2,3101,3200,100,28,0.280000,stabil:21;kippend:3;tragend_unruhig:1,stabil:89;tragend_unruhig:8;kippend:3,stabil:13;tragend_unruhig:10;kippend:2,dio_0n8z:1;dio_1ue0:1;dio_0h23:1,dio_16q8:1;dio_00j7:1;dio_15o6:1,dio_1dim:1;dio_0bkk:1;dio_0dp1:1,dio_mcm_episode_183drjy:25,dio_mcm_episode_183drjy:100,dio_mcm_episode_183drjy:25,0.649651,0.179385,0.095650,-0.004878,-0.008164,-0.001485,0.202068,lokal_verdichteter_nebelraum
