source,token,world_names,dominant_family,dominant_role,condensation_zone,observations,worlds,neighbor_count,incoming_count,outgoing_count,avg_rekopplung,avg_strain,avg_sensory,center_share,open_share,rand_share,top_previous,top_next,network_axis_reading
854_MCM_VERDICHTUNGSZONEN.csv,dio_mcm_episode_1aavr7r,SYNTH_BRUCH_RAND,dio_1492,zentrum_stabil,junge_spur,1,1,2,1,1,0.738538,0.127713,0.88413,1.0,0.0,0.0,dio_mcm_episode_1yy9dcm,dio_mcm_episode_1ytjvg8,zentrumsachse_mit_nachbarschaft
854_MCM_VERDICHTUNGSZONEN.csv,dio_mcm_episode_1yy9dcm,"SYNTH_BRUCH_RAND,SYNTH_RAND",dio_1492,zentrum_stabil,rekopplungszone,4,2,3,2,2,0.741418,0.12471,0.896241,1.0,0.0,0.0,dio_mcm_episode_0k1pid9,dio_mcm_episode_1aavr7r,zentrumsachse_mit_nachbarschaft
854_MCM_VERDICHTUNGSZONEN.csv,dio_mcm_episode_1ytjvg8,SYNTH_BRUCH_RAND,dio_1492,zentrum_stabil,rekopplungszone,2,1,2,1,1,0.728702,0.130323,0.881411,1.0,0.0,0.0,dio_mcm_episode_1aavr7r,dio_mcm_episode_0vff3w6,zentrumsachse_mit_nachbarschaft
854_MCM_VERDICHTUNGSZONEN.csv,dio_mcm_episode_1hdpu9s,SYNTH_RAND,dio_1492,zentrum_stabil,stabile_bedeutungsinsel,390,1,2,2,2,0.708583,0.149817,0.851792,0.733333,0.266667,0.0,dio_mcm_episode_1q3us3f,dio_mcm_episode_0e7qvj1,zentrumsinsel_mit_offener_varianz
854_MCM_VERDICHTUNGSZONEN.csv,dio_mcm_episode_0ze6erg,SYNTH_BRUCH_RAND,dio_1492,zentrum_stabil,stabile_bedeutungsinsel,42,1,2,1,1,0.706359,0.14303,0.841146,0.666667,0.333333,0.0,dio_mcm_episode_1pwdejt,dio_mcm_episode_0x6cqpn,zentrumsinsel_mit_offener_varianz
855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,dio_mcm_episode_1aavr7r,SYNTH_BRUCH_RAND,dio_1492,zentrum_stabil,junge_spur,1,1,2,1,1,0.738561,0.127663,0.884135,1.0,0.0,0.0,dio_mcm_episode_1yy9dcm,dio_mcm_episode_1ytjvg8,zentrumsachse_mit_nachbarschaft
855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,dio_mcm_episode_1chjrvj,"DOGE_2024_5M,PAXG_2024_5M,XRP_2024_5M",dio_1492,zentrum_stabil,rekopplungszone,4,3,5,3,3,0.723671,0.128575,0.870367,1.0,0.0,0.0,dio_mcm_episode_1pmt8u2,dio_mcm_episode_0a5a0d4,zentrumsachse_mit_nachbarschaft
855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,dio_mcm_episode_1yy9dcm,"SYNTH_BRUCH_RAND,SYNTH_RAND",dio_1492,zentrum_stabil,rekopplungszone,4,2,3,2,2,0.741437,0.124666,0.896246,1.0,0.0,0.0,dio_mcm_episode_0k1pid9,dio_mcm_episode_1aavr7r,zentrumsachse_mit_nachbarschaft
855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,dio_mcm_episode_1ytjvg8,SYNTH_BRUCH_RAND,dio_1492,zentrum_stabil,rekopplungszone,2,1,2,1,1,0.728717,0.130286,0.881415,1.0,0.0,0.0,dio_mcm_episode_1aavr7r,dio_mcm_episode_0vff3w6,zentrumsachse_mit_nachbarschaft
855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,dio_mcm_episode_1hdpu9s,"SYNTH_RAND,XRP_2024_5M",dio_1492,zentrum_stabil,stabile_bedeutungsinsel,390,2,2,3,3,0.708471,0.149996,0.851406,0.733333,0.266667,0.0,dio_mcm_episode_1q3us3f,dio_mcm_episode_0e7qvj1,zentrumsinsel_mit_offener_varianz
