preview_symbol,count,world_count,top_worlds,top_states,top_effects,top_families,avg_depth,avg_profile,avg_carry,avg_strain,avg_rekopplung,avg_sensory,avg_visual_gap,avg_hearing_gap,avg_coherence,avg_tension,avg_asymmetry,avg_visual_salience,avg_field_pressure,raw_phase_reading
dio_mcm_episode_0icnf2v,4360,6,BTC_LONG_2024_5M_QUIET:1815;BTC_LONG_2025_5M_QUIET:816;BTC_FIELD_QUIET_05:721;BTC_FIELD_QUIET_02:642;BTC_FIELD_QUIET_04:310,multiworld_depth_seed:4360,stabil:4360,dio_104t:369;dio_0l7p:333;dio_14wj:220;dio_155c:180;dio_0m9z:162,0.829446,0.77034,0.565427,0.15742,0.717292,0.857513,0.160102,0.079039,0.638703,0.084755,0.000548,0.244437,0.084755,ruhig_getragene_nahe
dio_mcm_episode_1rj8742,2728,6,BTC_FIELD_QUIET_04:718;BTC_LONG_2024_5M_QUIET:694;BTC_FIELD_QUIET_05:571;BTC_FIELD_QUIET_03:419;BTC_FIELD_QUIET_02:303,multiworld_depth_seed:2728,stabil:2728,dio_104t:212;dio_0l7p:207;dio_14wj:128;dio_155c:104;dio_0m9z:100,0.729139,0.715926,0.543945,0.15412,0.709385,0.857248,0.156002,0.084199,0.638522,0.088562,-0.001984,0.23899,0.088562,ruhig_getragene_nahe
dio_mcm_episode_1i3ov0z,1472,4,BTC_FIELD_QUIET_03:927;BTC_FIELD_QUIET_05:384;BTC_LONG_2024_5M_QUIET:147;BTC_FIELD_QUIET_02:14,multiworld_depth_seed:1472,stabil:1472,dio_0l7p:146;dio_104t:106;dio_14wj:88;dio_0m9z:50;dio_06er:49,0.758043,0.736766,0.553457,0.151426,0.714882,0.862558,0.146486,0.077801,0.641853,0.083543,0.005559,0.224097,0.083543,ruhig_getragene_nahe
dio_mcm_episode_12fuh1y,5,3,BTC_FIELD_QUIET_02:2;BTC_LONG_2024_5M_QUIET:2;BTC_LONG_2025_5M_QUIET:1,multiworld_depth_seed:5,stabil:5,dio_04uf:1;dio_1r55:1;dio_0gfm:1;dio_18kx:1;dio_1rg9:1,0.742056,0.62376,0.505848,0.148985,0.69443,0.867661,0.120423,0.078168,0.640857,0.092477,-0.222621,0.343044,0.092477,zentrumsnah_getragen
