row_type,source,family_phase_pairs,stability_states,dominant_phase_qualities,asset_state_profile,phase_state_profile,stability_state,count,share,asset,family,phase,observations,dominant_phase_quality,dominant_count,second_phase_quality,second_count,dominance_gap,matches_window,differs_from_window,local_quality_profile,inherited_quality_profile,mean_share_edge,mean_rekopplung_edge,mean_afterimage_edge,mean_temporal_edge
summary,docs\befunde\1857_PHASENLOKALE_ANSCHLUSSQUALITAET.csv,651,phasenlokal_eigenstaendig:446; geteilt_offen:101; einzelbeleg:57; fenstergetragen_stabil:47,phase_nullnah:303; phase_offen_gemischt:204; phase_ohne_nullfamilie:79; phase_nachhallnah_ohne_kern:42; phase_kernnah:23,XRP::phasenlokal_eigenstaendig:101; BTC::phasenlokal_eigenstaendig:100; DOGE::phasenlokal_eigenstaendig:88; SOL::phasenlokal_eigenstaendig:85; PAXG::phasenlokal_eigenstaendig:72; PAXG::geteilt_offen:25; SOL::fenstergetragen_stabil:24; DOGE::geteilt_offen:24; PAXG::fenstergetragen_stabil:20; BTC::geteilt_offen:19; PAXG::einzelbeleg:18; XRP::einzelbeleg:18; SOL::geteilt_offen:17; XRP::geteilt_offen:16; SOL::einzelbeleg:9; BTC::einzelbeleg:6; DOGE::einzelbeleg:6; DOGE::fenstergetragen_stabil:2; BTC::fenstergetragen_stabil:1,mitte::phasenlokal_eigenstaendig:155; frueh::phasenlokal_eigenstaendig:147; spaet::phasenlokal_eigenstaendig:144; spaet::geteilt_offen:35; frueh::geteilt_offen:33; mitte::geteilt_offen:33; frueh::einzelbeleg:19; mitte::einzelbeleg:19; spaet::einzelbeleg:19; spaet::fenstergetragen_stabil:19; frueh::fenstergetragen_stabil:18; mitte::fenstergetragen_stabil:10,,,,,,,,,,,,,,,,,,,,
stability_state_summary,,,,,,,phasenlokal_eigenstaendig,446,0.6851,,,,,,,,,,,,,,,,,
stability_state_summary,,,,,,,geteilt_offen,101,0.155146,,,,,,,,,,,,,,,,,
stability_state_summary,,,,,,,einzelbeleg,57,0.087558,,,,,,,,,,,,,,,,,
stability_state_summary,,,,,,,fenstergetragen_stabil,47,0.072197,,,,,,,,,,,,,,,,,
family_phase_stability_detail,,,,,,,phasenlokal_eigenstaendig,,,BTC,dio_06s7,frueh,6,phase_nullnah,6,-,0,6,1,5,phase_nullnah:6,kernnah:3; nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1,-0.003766196,-0.004459001,-0.052001843,-0.026285689
family_phase_stability_detail,,,,,,,phasenlokal_eigenstaendig,,,BTC,dio_09bn,frueh,6,phase_nullnah,6,-,0,6,1,5,phase_nullnah:6,kernnah:3; nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1,-0.00580662,-0.004374129,-0.139049144,-0.072635075
family_phase_stability_detail,,,,,,,phasenlokal_eigenstaendig,,,BTC,dio_09bn,mitte,6,phase_nullnah,6,-,0,6,1,5,phase_nullnah:6,kernnah:3; nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1,-0.001638934,-0.003531018,-0.029964226,-0.016981255
family_phase_stability_detail,,,,,,,phasenlokal_eigenstaendig,,,BTC,dio_0g2r,frueh,6,phase_offen_gemischt,6,-,0,6,1,5,phase_offen_gemischt:6,kernnah:3; nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1,0.002410287,-0.003025508,0.058810394,0.028321927
family_phase_stability_detail,,,,,,,phasenlokal_eigenstaendig,,,BTC,dio_0g2r,spaet,6,phase_offen_gemischt,6,-,0,6,1,5,phase_offen_gemischt:6,kernnah:3; nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1,0.001093966,-0.003531319,-0.014542992,-0.000817056
