world,group,asset,run_dir,candles,unique_symbols,unique_families,adaptive_rekopplung,rekopplung,strain,afterimage,temporal_trust,temporal_caution,sensory_coupling,role_entropy,milieu_entropy,episode_rows,meaning_breadth,role_variance,fieldtime_pressure,nullwelt_abstand,maturity_pressure,dominant_reifezustand,druck_jung,druck_schmal_stabil,druck_breit_getragen,druck_nachhallend_offen,druck_nullweltnah,druck_feldzeit_reif
BTC_2024_5M_17K,realwelt_2024,BTC,debug/1837_btc_17k/dio_mini_lauf_1,17000.0,780.0,776.0,0.7440288542082574,0.7096264093229672,0.1719979780117834,0.7198451777675762,0.8569969405648694,0.16780329965539084,0.8407446176923318,0.06683168635604711,1.4271085872009945,16994.0,0.944174428400582,0.5334158431780236,0.8030129395590183,0.6262225463493218,0.7464761056139033,feldzeit_reif,0.2528126320403997,0.7998544258076754,2.221619125786863,1.125546432747448,0.4296030252500962,2.805663877236623
DOGE_2024_5M_17K,realwelt_2024,DOGE,debug/1837_doge_17k/dio_mini_lauf_1,17000.0,826.0,822.0,0.7446175434065567,0.710103035059251,0.1716296473094534,0.7192163225182518,0.8554368681467833,0.16809333689905206,0.841953248739449,0.07291010037584088,1.306499768483134,16994.0,1.0,0.49419869359405677,0.8021866179219943,1.0,0.8115622012688591,feldzeit_reif,0.1978133820780057,0.7446175434065567,2.2388162370006137,1.0492859647190227,0.0,3.820206241992827
PAXG_2024_5M_17K,realwelt_2024,PAXG,debug/1837_paxg_17k/dio_mini_lauf_1,17000.0,606.0,601.0,0.7533317884170236,0.7192271193985048,0.1687926108251209,0.7482006376541114,0.8758384334476864,0.15903052137786694,0.8515652824557474,0.027487690797963947,1.1802237045290054,16994.0,0.732399863322788,0.42724556317779255,0.8216695165746436,0.5334286681864724,0.6832137981422665,feldzeit_reif,0.44593062010256845,1.0209319250942357,1.912977214917604,1.3028924348407518,0.7341714684907397,2.384534516343118
XRP_2024_5M_17K,realwelt_2024,XRP,debug/1837_xrp_17k/dio_mini_lauf_1,17000.0,812.0,807.0,0.7440084149510068,0.7101737103433099,0.17180829999666322,0.721956311094399,0.8566569439184855,0.16893180093472812,0.8413858896210085,0.07807352415649954,1.37391718255726,16994.0,0.9824013361375727,0.5204006873181436,0.8032271513593855,0.9898077941290486,0.8113395139830822,feldzeit_reif,0.21437151250304176,0.761607078813434,2.2468104384067233,1.0810261588808845,0.02779086973337863,3.7686727735834427
BTC_NULL_RANDOM_SIGN_2024_5M_17K,nullwelt_17k,BTC,debug/1837_btc_null_random_17k/dio_mini_lauf_1,17000.0,784.0,778.0,0.7476115107194176,0.7130387489119836,0.17079674410264914,0.7217995744026651,0.8576153109556908,0.16748799000192502,0.8446362816180919,0.06477458316735052,1.2781709044332328,16994.0,0.9478122809188008,0.4802056692097692,0.803975631785477,0.16865449824099546,0.6629104744619685,breit_getragen,0.2482120872957222,0.7997992298006168,2.1756294608479876,1.096266185471561,0.8835332208402038,1.6712346673732041
BTC_NULL_SHUFFLE_2024_5M_17K,nullwelt_17k,BTC,debug/1837_btc_null_shuffle_17k/dio_mini_lauf_1,17000.0,680.0,674.0,0.744001866375007,0.710729243454264,0.1735188705834109,0.7341993230065522,0.8654400321061396,0.16728532497542728,0.8413540827943551,0.06228428119928397,1.318175791247008,16994.0,0.8215979451288125,0.4929765809039927,0.8107846767124215,0.0,0.6159736997561371,breit_getragen,0.36761737815876605,0.9224039212461945,2.0585763924078124,1.2356750220356054,1.1784020548711875,1.1881922441081203
DOGE_NULL_RANDOM_SIGN_2024_5M_17K,nullwelt_17k,DOGE,debug/1837_doge_null_random_17k/dio_mini_lauf_1,17000.0,821.0,818.0,0.7488655446853989,0.714143313169253,0.1696443038848723,0.7203329530578106,0.8562885990485923,0.16751596786919162,0.8469368299524713,0.061448720500635906,1.3107587127568776,16994.0,0.9945402755931025,0.48996016210604243,0.8030351947457371,0.23646278540896143,0.6838699431090617,breit_getragen,0.2024245296611603,0.7543252690922964,2.233365982384544,1.0534750002056559,0.7689969389979361,1.8753590428043736
DOGE_NULL_SHUFFLE_2024_5M_17K,nullwelt_17k,DOGE,debug/1837_doge_null_shuffle_17k/dio_mini_lauf_1,17000.0,674.0,671.0,0.7458281527536275,0.712654888441444,0.171567219186472,0.7356915481803966,0.8669942057822825,0.16484168115010603,0.8437831337728491,0.0639471697401292,1.3454595854809197,16994.0,0.8161411663514843,0.5033671415859505,0.8126146909375244,0.00019889424106887856,0.6177638044471973,breit_getragen,0.3712441427109914,0.9296869864021432,2.0653364606910625,1.2481570953790153,1.183659939407447,1.1877642961058499
PAXG_NULL_RANDOM_SIGN_2024_5M_17K,nullwelt_17k,PAXG,debug/1837_paxg_null_random_17k/dio_mini_lauf_1,17000.0,590.0,585.0,0.7518765683912907,0.7182380762126357,0.16697973444767758,0.7491620383093267,0.8754955307820016,0.16186089757071806,0.8550489324319823,0.024965041252201545,1.179440970737067,16994.0,0.7129822732012513,0.42571000076141374,0.8209322238402034,0.07969007997897067,0.6040352352875754,breit_getragen,0.46608550295854534,1.0388942951900395,1.8905688423539557,1.320804951019659,1.207327646819778,1.3250504055359247
PAXG_NULL_SHUFFLE_2024_5M_17K,nullwelt_17k,PAXG,debug/1837_paxg_null_shuffle_17k/dio_mini_lauf_1,17000.0,540.0,536.0,0.7511341520727295,0.7168582721248452,0.16749614725727846,0.7585542894452433,0.8802684520413202,0.1636847986826885,0.8538267495567712,0.021346546547738317,1.2246788838157894,16994.0,0.6529105765775319,0.4397502526990182,0.825045980934625,0.0,0.5835574691711044,breit_getragen,0.5220434424878431,1.0982235754951977,1.8437949813492795,1.3920105307066022,1.3470894234224682,1.114545354792443
XRP_NULL_RANDOM_SIGN_2024_5M_17K,nullwelt_17k,XRP,debug/1837_xrp_null_random_17k/dio_mini_lauf_1,17000.0,773.0,769.0,0.747550543605681,0.7138346492808028,0.17053705211262557,0.7242913761764673,0.8590895273580281,0.16693480521300022,0.8456712611059941,0.07089890254090306,1.3683876960949917,16994.0,0.9356792327224097,0.514876072470604,0.8054820327738318,0.12537713267986322,0.6597379936899607,breit_getragen,0.2588387345037585,0.8118713108832712,2.1981058487986944,1.1272408362867241,0.9389436345977271,1.5563834552426752
XRP_NULL_SHUFFLE_2024_5M_17K,nullwelt_17k,XRP,debug/1837_xrp_null_shuffle_17k/dio_mini_lauf_1,17000.0,695.0,692.0,0.7454623070441684,0.7115629340466674,0.1720490188184139,0.7344143583111749,0.8651496259669926,0.1673026556249604,0.842646710185246,0.06683168635604711,1.4048960287577013,16994.0,0.8416267533860011,0.5256334786675348,0.8107537762177358,0.0,0.6252378827495044,breit_getragen,0.34761947039626306,0.9038355536581673,2.112722539097704,1.231943762165502,1.1583732466139989,1.1989214183239527
