neighbor_token,count,previous_count,next_count,world_count,worlds,source_count,sources,axis_readings,connected_dio1492_tokens,neighbor_stability
dio_mcm_episode_1aavr7r,4,2,2,2,"SYNTH_BRUCH_RAND,SYNTH_RAND",2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsachse_mit_nachbarschaft:4,"dio_mcm_episode_1ytjvg8,dio_mcm_episode_1yy9dcm",stabil_mehrweltlich
dio_mcm_episode_0e7qvj1,3,1,2,3,"EXPANSION2023,SYNTH_RAND,XRP_2024_5M",3,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE.csv",zentrumsinsel_mit_offener_varianz:2;zentrumsachse_mit_nachbarschaft:1,"dio_mcm_episode_1ej5zl7,dio_mcm_episode_1hdpu9s",stabil_mehrweltlich
dio_mcm_episode_1yy9dcm,2,2,0,1,SYNTH_BRUCH_RAND,2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsachse_mit_nachbarschaft:2,dio_mcm_episode_1aavr7r,einzelanschluss
dio_mcm_episode_1ytjvg8,2,0,2,1,SYNTH_BRUCH_RAND,2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsachse_mit_nachbarschaft:2,dio_mcm_episode_1aavr7r,einzelanschluss
dio_mcm_episode_0k1pid9,2,2,0,2,"SYNTH_BRUCH_RAND,SYNTH_RAND",2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsachse_mit_nachbarschaft:2,dio_mcm_episode_1yy9dcm,mehrweltlich_duenn
dio_mcm_episode_0vff3w6,2,0,2,1,SYNTH_BRUCH_RAND,2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsachse_mit_nachbarschaft:2,dio_mcm_episode_1ytjvg8,einzelanschluss
dio_mcm_episode_1q3us3f,2,2,0,2,"SYNTH_RAND,XRP_2024_5M",2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsinsel_mit_offener_varianz:2,dio_mcm_episode_1hdpu9s,mehrweltlich_duenn
dio_mcm_episode_1pwdejt,2,2,0,1,SYNTH_BRUCH_RAND,2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsinsel_mit_offener_varianz:2,dio_mcm_episode_0ze6erg,einzelanschluss
dio_mcm_episode_0x6cqpn,2,0,2,1,SYNTH_BRUCH_RAND,2,"854_MCM_VERDICHTUNGSZONEN.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv",zentrumsinsel_mit_offener_varianz:2,dio_mcm_episode_0ze6erg,einzelanschluss
dio_mcm_episode_1pmt8u2,2,2,0,6,"DOGE_2024_5M,DOGE_FIELD,PAXG_2024_5M,PAXG_FIELD,XRP_2024_5M,XRP_FIELD",2,"855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE.csv",zentrumsachse_mit_nachbarschaft:2,dio_mcm_episode_1chjrvj,mehrweltlich_duenn
dio_mcm_episode_0a5a0d4,2,0,2,6,"DOGE_2024_5M,DOGE_FIELD,PAXG_2024_5M,PAXG_FIELD,XRP_2024_5M,XRP_FIELD",2,"855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE.csv",zentrumsachse_mit_nachbarschaft:2,dio_mcm_episode_1chjrvj,mehrweltlich_duenn
dio_mcm_episode_0dsrwv5,1,0,1,1,STRESS2025,1,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE.csv,zentrumsachse_schmal:1,dio_mcm_episode_0khjbll,einzelanschluss
dio_mcm_episode_06fpntj,1,0,1,1,EXPANSION2023,1,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE.csv,zentrumsachse_mit_nachbarschaft:1,dio_mcm_episode_1ej5zl7,einzelanschluss
dio_mcm_episode_0qkg6nj,1,1,0,1,BTC2024_CROSS,1,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE.csv,zentrumsachse_mit_nachbarschaft:1,dio_mcm_episode_0mb95f2,einzelanschluss
dio_mcm_episode_17wwyn1,1,0,1,1,BTC2024_CROSS,1,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE.csv,zentrumsachse_mit_nachbarschaft:1,dio_mcm_episode_0mb95f2,einzelanschluss
dio_mcm_episode_0g8g2vk,1,1,0,1,XRP2024_5M,1,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE.csv,zentrumsachse_mit_nachbarschaft:1,dio_mcm_episode_0vff3w6,einzelanschluss
dio_mcm_episode_0gc6ffz,1,0,1,1,XRP2024_5M,1,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE.csv,zentrumsachse_mit_nachbarschaft:1,dio_mcm_episode_0vff3w6,einzelanschluss
