source,asset,present_phases,stable_phases,axis_state,qualities,states,mean_baseline_rekopplung_edge,mean_followup_rekopplung_edge,mean_baseline_afterimage_edge,mean_followup_afterimage_edge,mean_baseline_temporal_edge,mean_followup_temporal_edge
1861_PHASENLOKALE_FAMILIEN_REPRO_FOLGEFENSTER.csv,BTC,frueh|mitte|spaet,frueh|mitte|spaet,vollstaendige_nullnaehe_achse,phase_nullnah|phase_nullnah|phase_nullnah,lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert,-0.004929,-0.006015,-0.039663,-0.041082,-0.020064,-0.020516
1861_PHASENLOKALE_FAMILIEN_REPRO_FOLGEFENSTER.csv,DOGE,frueh|mitte|spaet,frueh|mitte|spaet,vollstaendige_nullnaehe_achse,phase_nullnah|phase_nullnah|phase_nullnah,lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert,-0.003501,-0.004289,-0.032001,-0.066904,-0.02039,-0.034236
1861_PHASENLOKALE_FAMILIEN_REPRO_FOLGEFENSTER.csv,SOL,frueh|mitte|spaet,frueh|spaet,teilachse_oder_varianz,phase_nullnah|phase_offen_gemischt|phase_nullnah,lokale_qualitaet_reproduziert|lokale_qualitaet_wird_offen|lokale_qualitaet_reproduziert,-0.005748,-0.005422,-0.03828,-0.030997,-0.019353,-0.017528
1861_PHASENLOKALE_FAMILIEN_REPRO_FOLGEFENSTER.csv,XRP,frueh|mitte|spaet,frueh|mitte|spaet,vollstaendige_nullnaehe_achse,phase_nullnah|phase_nullnah|phase_nullnah,lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert,-0.005038,-0.002512,-0.06526,-0.032038,-0.034198,-0.015536
1864_LOKALE_REIFEGRUPPE_REPRO_WEITERE_FENSTER.csv,BTC,frueh|mitte|spaet,frueh|mitte|spaet,vollstaendige_nullnaehe_achse,phase_nullnah|phase_nullnah|phase_nullnah,lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert,-0.004929,-0.006416,-0.039663,-0.077716,-0.020064,-0.03571
1864_LOKALE_REIFEGRUPPE_REPRO_WEITERE_FENSTER.csv,DOGE,frueh|mitte|spaet,frueh|mitte|spaet,vollstaendige_nullnaehe_achse,phase_nullnah|phase_nullnah|phase_nullnah,lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert,-0.003501,-0.002992,-0.032001,-0.019065,-0.02039,-0.012606
1864_LOKALE_REIFEGRUPPE_REPRO_WEITERE_FENSTER.csv,SOL,frueh|mitte|spaet,frueh|mitte|spaet,vollstaendige_nullnaehe_achse,phase_nullnah|phase_nullnah|phase_nullnah,lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert|lokale_qualitaet_reproduziert,-0.005748,-0.007439,-0.03828,-0.113391,-0.019353,-0.067703
1864_LOKALE_REIFEGRUPPE_REPRO_WEITERE_FENSTER.csv,XRP,frueh|mitte|spaet,mitte,teilachse_oder_varianz,phase_kernnah|phase_nullnah|phase_offen_gemischt,lokale_qualitaet_wird_kernnah|lokale_qualitaet_reproduziert|lokale_qualitaet_wird_offen,-0.005038,-0.003108,-0.06526,-0.074343,-0.034198,-0.033895
