row_type,baseline,followup,compared_family_phase_pairs,repro_states,baseline_states,eigenstaendig_repro_states,asset_repro_profile,repro_state,count,share,asset,family,phase,baseline_stability_state,baseline_dominant_phase_quality,baseline_quality_profile,followup_dominant_phase_quality,followup_quality_profile,followup_observations,baseline_mean_rekopplung_edge,followup_mean_rekopplung_edge,baseline_mean_afterimage_edge,followup_mean_afterimage_edge,baseline_mean_temporal_edge,followup_mean_temporal_edge
summary,docs\befunde\1858_PHASENLOKALE_FAMILIENSTABILITAET.csv,docs\befunde\1860_PHASENLOKALE_FAMILIEN_FOLGEFENSTER.csv,651,lokale_qualitaet_reproduziert:254; lokale_qualitaet_wird_offen:110; lokale_qualitaet_wird_nullnah:78; qualitaet_reproduziert:69; lokale_qualitaet_wird_nachhallnah:51; fehlt_im_folgefenster:48; lokale_qualitaet_wird_kernnah:23; lokale_qualitaet_driftet:18,phasenlokal_eigenstaendig:446; geteilt_offen:101; einzelbeleg:57; fenstergetragen_stabil:47,lokale_qualitaet_reproduziert:254; lokale_qualitaet_wird_offen:81; lokale_qualitaet_wird_nullnah:42; lokale_qualitaet_wird_nachhallnah:40; lokale_qualitaet_wird_kernnah:13; lokale_qualitaet_driftet:11; fehlt_im_folgefenster:5,BTC::lokale_qualitaet_reproduziert:56; SOL::lokale_qualitaet_reproduziert:52; DOGE::lokale_qualitaet_reproduziert:51; PAXG::lokale_qualitaet_reproduziert:48; XRP::lokale_qualitaet_reproduziert:47; XRP::lokale_qualitaet_wird_offen:31; SOL::qualitaet_reproduziert:27; PAXG::lokale_qualitaet_wird_nullnah:24; DOGE::lokale_qualitaet_wird_offen:21; PAXG::qualitaet_reproduziert:21; SOL::lokale_qualitaet_wird_offen:20; BTC::lokale_qualitaet_wird_offen:19; PAXG::lokale_qualitaet_wird_offen:19; XRP::lokale_qualitaet_wird_nullnah:17; BTC::lokale_qualitaet_wird_nullnah:14; DOGE::lokale_qualitaet_wird_nullnah:12; BTC::lokale_qualitaet_wird_nachhallnah:12; SOL::lokale_qualitaet_wird_nachhallnah:12; BTC::fehlt_im_folgefenster:12; XRP::fehlt_im_folgefenster:12; DOGE::lokale_qualitaet_wird_nachhallnah:11; XRP::lokale_qualitaet_wird_nachhallnah:11; SOL::lokale_qualitaet_wird_nullnah:11; DOGE::qualitaet_reproduziert:10; PAXG::lokale_qualitaet_wird_kernnah:9; XRP::lokale_qualitaet_driftet:9; DOGE::fehlt_im_folgefenster:9; PAXG::fehlt_im_folgefenster:9; SOL::lokale_qualitaet_wird_kernnah:7; DOGE::lokale_qualitaet_driftet:6; BTC::qualitaet_reproduziert:6; SOL::fehlt_im_folgefenster:6; PAXG::lokale_qualitaet_wird_nachhallnah:5; XRP::qualitaet_reproduziert:5; BTC::lokale_qualitaet_wird_kernnah:4; XRP::lokale_qualitaet_wird_kernnah:3; BTC::lokale_qualitaet_driftet:3,,,,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_reproduziert,254,0.390169,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_offen,110,0.168971,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_nullnah,78,0.119816,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,qualitaet_reproduziert,69,0.105991,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_nachhallnah,51,0.078341,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,fehlt_im_folgefenster,48,0.073733,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_kernnah,23,0.03533,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_driftet,18,0.02765,,,,,,,,,,,,,,,
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,BTC,dio_00ja,frueh,phasenlokal_eigenstaendig,phase_nullnah,phase_nullnah:3; phase_offen_gemischt:2; phase_kernnah:1,phase_nullnah,phase_nullnah:1; phase_offen_gemischt:1,2,-0.003415958,-0.005832681,-0.045479104,-0.054963202,-0.024381875,-0.026899074
