world,source,rekopplung_factor,candles,unique_symbols,episodes,dominant_effect_class,dominant_episode_state,unique_episode_families,top_family_count,avg_mcm_carry_quality,avg_mcm_strain_quality,avg_mcm_rekopplung_quality,avg_mcm_adaptive_rekopplung_quality,avg_mcm_sensory_coupling,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_mini_temporal_caution_support
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,1.0,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.707487,0.742768,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.5,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.353743,0.744165,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.45,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.318369,0.744257,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.4,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.282995,0.744372,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.35,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.24762,0.744598,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.3,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.212246,0.744615,0.842395,0.659037,0.819309,0.179513
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,1.0,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.716769,0.751996,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.5,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.358385,0.747078,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.45,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.322546,0.74658,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.4,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.286708,0.746093,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.35,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.250869,0.745754,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.3,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.215031,0.745154,0.851705,0.686865,0.840761,0.168696
