source,recoupling_factor,episodes,stress_state,dominant_role,avg_static_rekopplung,avg_damped_rekopplung,zentrum_share,rekopplung_share,open_share,rand_share,diffuse_share,mixed_share,delta_zentrum,delta_rekopplung,delta_open,delta_rand,delta_diffuse,family_stability,top_rekopplung_families,top_center_families,top_rand_families
debug/1398_holdout_smooth_control/dio_mini_lauf_1/episodes.csv,1.0,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.757632,0.757632,0.00503,0.99497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_0g3b;dio_0n0i;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0n0i;dio_1fll;dio_1ygx,
debug/1398_holdout_smooth_control/dio_mini_lauf_1/episodes.csv,0.9,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.757632,0.681869,0.00503,0.99497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_0g3b;dio_0n0i;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0n0i;dio_1fll;dio_1ygx,
debug/1398_holdout_smooth_control/dio_mini_lauf_1/episodes.csv,0.75,994,topologie_stabil_mit_daempfung,zentrum_stabil,0.757632,0.568224,0.998994,0.0,0.0,0.0,0.0,0.001006,0.993964,-0.99497,0.0,0.0,0.0,0.666667,,dio_02n3;dio_0g3b;dio_0n0i;dio_1fll;dio_1ygx,
debug/1398_holdout_smooth_control/dio_mini_lauf_1/episodes.csv,0.5,994,geordnete_verschiebung,offene_variante,0.757632,0.378816,0.0,0.0,0.998994,0.0,0.001006,0.0,-0.00503,-0.99497,0.998994,0.0,0.001006,0.333333,,,
debug/1402_holdout_noisy_drift/dio_mini_lauf_1/episodes.csv,1.0,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.753951,0.753951,0.011066,0.988934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0jt7;dio_0kx9;dio_0n0i;dio_14wj;dio_15vu;dio_1fll,
debug/1402_holdout_noisy_drift/dio_mini_lauf_1/episodes.csv,0.9,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.753951,0.678556,0.011066,0.988934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0jt7;dio_0kx9;dio_0n0i;dio_14wj;dio_15vu;dio_1fll,
debug/1402_holdout_noisy_drift/dio_mini_lauf_1/episodes.csv,0.75,994,geordnete_verschiebung,zentrum_stabil,0.753951,0.565463,0.997988,0.0,0.0,0.0,0.0,0.002012,0.986922,-0.988934,0.0,0.0,0.0,0.533333,,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,
debug/1402_holdout_noisy_drift/dio_mini_lauf_1/episodes.csv,0.5,994,geordnete_verschiebung,offene_variante,0.753951,0.376976,0.0,0.0,0.997988,0.0,0.002012,0.0,-0.011066,-0.988934,0.997988,0.0,0.002012,0.333333,,,
debug/1403_holdout_high_noisy_drift/dio_mini_lauf_1/episodes.csv,1.0,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.751626,0.751626,0.012072,0.987928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_14wj;dio_15vu;dio_1fll;dio_1ygx,
debug/1403_holdout_high_noisy_drift/dio_mini_lauf_1/episodes.csv,0.9,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.751626,0.676463,0.012072,0.987928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_14wj;dio_15vu;dio_1fll;dio_1ygx,
debug/1403_holdout_high_noisy_drift/dio_mini_lauf_1/episodes.csv,0.75,994,geordnete_verschiebung,zentrum_stabil,0.751626,0.563719,0.996982,0.0,0.001006,0.0,0.0,0.002012,0.984909,-0.987928,0.001006,0.0,0.0,0.592593,,dio_02n3;dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,
debug/1403_holdout_high_noisy_drift/dio_mini_lauf_1/episodes.csv,0.5,994,geordnete_verschiebung,offene_variante,0.751626,0.375813,0.0,0.0,0.997988,0.0,0.002012,0.0,-0.012072,-0.987928,0.997988,0.0,0.002012,0.333333,,,
debug/1404_holdout_combined_stress/dio_mini_lauf_1/episodes.csv,1.0,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.749448,0.749448,0.018109,0.981891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_13s0;dio_15vu;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0n0i;dio_14wj;dio_1fll;dio_1mjc;dio_1u5i;dio_1ygx,
debug/1404_holdout_combined_stress/dio_mini_lauf_1/episodes.csv,0.9,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.749448,0.674503,0.018109,0.981891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_13s0;dio_15vu;dio_1fll;dio_1ygx,dio_02n3;dio_0g3b;dio_0n0i;dio_14wj;dio_1fll;dio_1mjc;dio_1u5i;dio_1ygx,
debug/1404_holdout_combined_stress/dio_mini_lauf_1/episodes.csv,0.75,994,geordnete_verschiebung,zentrum_stabil,0.749448,0.562086,0.990946,0.0,0.006036,0.0,0.0,0.003018,0.972837,-0.981891,0.006036,0.0,0.0,0.444444,,dio_0g3b;dio_0jt7;dio_0n0i;dio_13o0;dio_13s0;dio_15vu;dio_1fll;dio_1ygx,
debug/1404_holdout_combined_stress/dio_mini_lauf_1/episodes.csv,0.5,994,geordnete_verschiebung,offene_variante,0.749448,0.374724,0.0,0.0,0.996982,0.0,0.003018,0.0,-0.018109,-0.981891,0.996982,0.0,0.003018,0.333333,,,
