asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,window_start,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score,reading,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
DOGE,start0_null_random_1000,36,34,1,1,0.5849056603773585,0.2127659574468085,0.3956368498449275,0.3062469361396705,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,null_random,0,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE,start0_null_shuffle_1000,36,35,1,0,0.5272727272727272,0.16,0.43419713689558903,0.3656772114401031,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,null_shuffle,0,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE,start0_real_1000,36,34,2,0,0.6153846153846154,0.2391304347826087,0.4185807826796207,0.36757436406708305,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,real,0,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.4185807826796207,0.36757436406708305,,,real,,kind_summary,1,34.0,0.6153846153846154,0.2391304347826087,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.3956368498449275,0.3062469361396705,,,null_random,,kind_summary,1,34.0,0.5849056603773585,0.2127659574468085,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.43419713689558903,0.3656772114401031,,,null_shuffle,,kind_summary,1,35.0,0.5272727272727272,0.16,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE,,,,,,,,,,,,,0,window_summary,,,,,,0.030478955007256947,0.02636447733580019,-0.015616354215968353,0.0018971526269799255,0.01742587331457606,graduell_kernnaehe_ohne_feldzeitvorsprung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE,start0_real_1000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_104t,58,3,field_stabil,18,0.05421686746987952,0.7054261111111111,0.15452833333333332,0.4245035,0.7397477222222223,20,0.06042296072507553,0.75372085,0.16140125,0.7626777,0.90549295,20,0.06042296072507553,0.7535855,0.16427865,0.7985994,0.9236542999999999,0.006206093255196013,0.3740959,0.18390657777777764,0.009750316666666675,kernfamilie_mit_feldzeitverdichtung
DOGE,start0_real_1000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0m9z,48,3,field_stabil,17,0.05120481927710843,0.6975283529411764,0.16756435294117647,0.39799823529411765,0.7278931176470589,17,0.0513595166163142,0.7436911176470589,0.17418852941176471,0.7258591176470589,0.8913049411764706,14,0.04229607250755287,0.7406894285714286,0.18160128571428572,0.8005857857142857,0.9197328571428571,-0.00890874676955556,0.4025875504201681,0.19183973949579824,0.014036932773109245,kernfamilie_mit_feldzeitverdichtung
DOGE,start0_real_1000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0l7p,43,3,field_stabil,15,0.045180722891566265,0.7125414,0.13872859999999998,0.3673158,0.7136049333333333,14,0.04229607250755287,0.7602462857142857,0.1504457857142857,0.7211965714285714,0.8889583571428571,14,0.04229607250755287,0.7625517142857143,0.15080321428571428,0.7998069285714285,0.9193895714285715,-0.002884650384013393,0.4324911285714285,0.20578463809523817,0.012074614285714297,kernfamilie_mit_feldzeitverdichtung
DOGE,start0_real_1000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0h9h,39,3,field_stabil,15,0.045180722891566265,0.7261061333333333,0.1409004666666667,0.39312966666666666,0.7176556000000001,13,0.03927492447129909,0.7592629230769231,0.15240653846153845,0.7019755384615384,0.8809588461538461,11,0.03323262839879154,0.7600131818181818,0.1555577272727273,0.7846943636363637,0.9147911818181818,-0.011948094492774723,0.39156469696969703,0.1971355818181817,0.014657260606060596,kernfamilie_mit_feldzeitverdichtung
DOGE,start0_real_1000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_155c,37,3,field_stabil,11,0.03313253012048193,0.695894,0.164633,0.3192287272727273,0.6728775454545454,8,0.02416918429003021,0.7486265,0.164392125,0.650879,0.854065625,18,0.054380664652567974,0.7511067222222222,0.16699444444444445,0.7594524444444445,0.9037236111111111,0.021248134532086044,0.4402237171717172,0.23084606565656574,0.002361444444444444,kernfamilie_mit_feldzeitverdichtung
DOGE,start0_real_1000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_00ja,18,3,field_stabil,6,0.018072289156626505,0.6856816666666666,0.166699,0.1857385,0.5729808333333334,7,0.021148036253776436,0.7343831428571429,0.1695242857142857,0.537031,0.8143587142857143,5,0.015105740181268883,0.7288248,0.18262620000000002,0.6969206,0.871003,-0.002966548975357622,0.5111821,0.2980221666666666,0.015927200000000002,kernfamilie_mit_feldzeitverdichtung
DOGE,start0_real_1000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_09bn,18,3,field_stabil,3,0.009036144578313253,0.7022013333333333,0.131654,0.09296700000000001,0.429179,9,0.027190332326283987,0.7666735555555556,0.13449655555555556,0.46265633333333334,0.7829585555555556,6,0.01812688821752266,0.7691686666666667,0.14094666666666666,0.6817705,0.8659408333333333,0.009090743639209408,0.5888034999999999,0.4367618333333333,0.009292666666666671,kernfamilie_mit_feldzeitverdichtung
