preview_symbol,reading,total_count,world_count,target_profile_hits,target_profile_share,worlds,effects,families,avg_rekopplung,avg_strain,avg_form_stability,avg_energy_shift
dio_mcm_episode_1t5bcxp,mehrweltlicher_preview_anker,982,4,260,0.264766,STRESS10K_AFTER:310;EXPANSION10K_AFTER:286;STABLE10K_AFTER:233;SIDEWAYS:153,stabil:774;tragend_unruhig:165;kippend:43,dio_1sxq:3;dio_08fz:3;dio_1f1s:3;dio_0305:3;dio_13dx:2;dio_0bat:2,0.646022,0.189788,0.058648,-0.003262
dio_mcm_episode_183drjy,mehrweltlicher_preview_anker,296,4,71,0.239865,STRESS10K_AFTER:112;SIDEWAYS:100;STABLE10K_AFTER:69;EXPANSION10K_AFTER:15,stabil:237;tragend_unruhig:48;kippend:11,dio_0wad:2;dio_0f8u:2;dio_1vu8:2;dio_0obe:2;dio_1guv:1;dio_0ezz:1,0.650554,0.181762,0.051383,0.003692
dio_mcm_episode_02xikfk,mehrweltlicher_preview_anker,208,4,55,0.264423,EXPANSION10K_AFTER:167;SIDEWAYS:24;STRESS10K_AFTER:9;STABLE10K_AFTER:8,stabil:140;tragend_unruhig:57;kippend:11,dio_13dx:1;dio_01so:1;dio_0rtr:1;dio_0xtt:1;dio_13si:1;dio_1gyh:1,0.642871,0.202208,0.119830,0.004449
dio_mcm_episode_0vkdfwc,mehrweltlicher_preview_anker,10,3,5,0.500000,STRESS10K_AFTER:5;EXPANSION10K_AFTER:3;STABLE10K_AFTER:2,stabil:10,dio_05s1:1;dio_00ao:1;dio_1h46:1;dio_1roz:1;dio_0ows:1;dio_1iyx:1,0.644358,0.187277,0.022164,0.069449
dio_mcm_episode_0y50lf3,wiederkehrender_preview_anker,337,2,87,0.258160,SIDEWAYS:185;STABLE10K_AFTER:152,stabil:229;tragend_unruhig:84;kippend:24,dio_0ovb:2;dio_1x44:2;dio_0r0d:1;dio_0lic:1;dio_0itk:1;dio_0qjk:1,0.638010,0.204898,0.093621,0.004168
dio_mcm_episode_037i64j,wiederkehrender_preview_anker,30,2,12,0.400000,SIDEWAYS:22;STABLE10K_AFTER:8,stabil:26;tragend_unruhig:3;kippend:1,dio_0yc8:1;dio_0bo2:1;dio_0sp0:1;dio_1ftz:1;dio_0341:1;dio_0owu:1,0.641462,0.188718,0.000108,-0.017252
dio_mcm_episode_1b68xzt,wiederkehrender_preview_anker,6,2,2,0.333333,EXPANSION10K_AFTER:3;STABLE10K_AFTER:3,tragend_unruhig:5;stabil:1,dio_03ho:1;dio_0jlm:1;dio_1oep:1;dio_1yrr:1;dio_041n:1;dio_1hwv:1,0.624177,0.240947,0.208215,-0.126589
dio_mcm_episode_1h04rtw,wiederkehrender_preview_anker,6,2,1,0.166667,EXPANSION10K_AFTER:3;STABLE10K_AFTER:3,kippend:2;tragend_unruhig:2;stabil:2,dio_1gnz:1;dio_0kol:1;dio_1bx8:1;dio_1hfi:1;dio_19gw:1;dio_1ud3:1,0.638554,0.230815,0.282183,0.052031
dio_mcm_episode_1so7ez5,wiederkehrender_preview_anker,4,2,1,0.250000,STRESS10K_AFTER:3;STABLE10K_AFTER:1,tragend_unruhig:2;stabil:2,dio_0sqy:1;dio_1kuu:1;dio_0o4d:1;dio_14py:1,0.631144,0.223006,0.103912,-0.007097
dio_mcm_episode_1yv9fvu,wiederkehrender_preview_anker,4,2,0,0.000000,STABLE10K_AFTER:3;STRESS10K_AFTER:1,stabil:3;tragend_unruhig:1,dio_0p68:1;dio_03e2:1;dio_00zv:1;dio_0hb6:1,0.645935,0.184344,-0.059243,-0.122143
dio_mcm_episode_009px6q,lokaler_vorform_anker,3,1,2,0.666667,SIDEWAYS:3,stabil:1;kippend:1;tragend_unruhig:1,dio_116e:1;dio_00gl:1;dio_1hza:1,0.629076,0.234245,0.062393,-0.049419
dio_mcm_episode_0pclaui,lokaler_vorform_anker,3,2,2,0.666667,EXPANSION10K_AFTER:2;STRESS10K_AFTER:1,tragend_unruhig:2;kippend:1,dio_0oex:1;dio_1mpg:1;dio_0g5y:1,0.607507,0.299642,0.273348,0.238126
dio_mcm_episode_14wxqua,einzelspur,7,1,3,0.428571,STRESS10K_AFTER:7,stabil:6;tragend_unruhig:1,dio_04wh:1;dio_0x1v:1;dio_0svs:1;dio_1fi9:1;dio_17rw:1;dio_0gg3:1,0.644867,0.198783,0.191591,-0.025216
dio_mcm_episode_1y00xwb,einzelspur,7,1,0,0.000000,STRESS10K_AFTER:7,stabil:7,dio_185n:1;dio_1fq2:1;dio_0hb7:1;dio_0p0b:1;dio_0iit:1;dio_1yv4:1,0.672190,0.158998,0.354913,-0.033741
dio_mcm_episode_0x7d4av,einzelspur,5,1,1,0.200000,STRESS10K_AFTER:5,tragend_unruhig:4;stabil:1,dio_173m:1;dio_0bft:1;dio_0d8p:1;dio_0ase:1;dio_1cyx:1,0.630933,0.233603,0.268917,0.042293
dio_mcm_episode_0wxdilw,einzelspur,5,1,0,0.000000,STRESS10K_AFTER:5,stabil:5,dio_1n1a:1;dio_04nf:1;dio_0u8e:1;dio_0c3d:1;dio_19r4:1,0.646717,0.188010,0.054405,0.017959
dio_mcm_episode_0ap247t,einzelspur,4,1,2,0.500000,EXPANSION10K_AFTER:4,tragend_unruhig:2;stabil:2,dio_0ur6:1;dio_136t:1;dio_197z:1;dio_1acb:1,0.631717,0.220541,0.133866,-0.091495
dio_mcm_episode_03xfov3,einzelspur,4,1,0,0.000000,STRESS10K_AFTER:4,stabil:3;tragend_unruhig:1,dio_1cbu:1;dio_1lqv:1;dio_1ncy:1;dio_002n:1,0.664675,0.170399,0.339061,0.069556
dio_mcm_episode_1fc319h,einzelspur,3,2,2,0.666667,STRESS10K_AFTER:2;STABLE10K_AFTER:1,gespannt:3,dio_06sd:1;dio_1g4x:1;dio_0eaw:1,0.568871,0.388315,0.276741,0.745703
dio_mcm_episode_0u1i1ff,einzelspur,3,1,1,0.333333,SIDEWAYS:3,stabil:3,dio_0vp5:1;dio_1m5v:1;dio_0tjx:1,0.629904,0.195319,-0.192851,-0.078632
dio_mcm_episode_17ebt9q,einzelspur,3,1,1,0.333333,EXPANSION10K_AFTER:3,stabil:3,dio_1rm8:1;dio_1l1f:1;dio_056n:1,0.645938,0.196493,0.165236,-0.013404
dio_mcm_episode_0magw2b,einzelspur,3,2,1,0.333333,STABLE10K_AFTER:2;STRESS10K_AFTER:1,stabil:2;tragend_unruhig:1,dio_0wck:1;dio_18jz:1;dio_1m0g:1,0.643834,0.192248,0.057026,0.155031
dio_mcm_episode_0af2iiu,einzelspur,3,2,0,0.000000,EXPANSION10K_AFTER:2;SIDEWAYS:1,tragend_unruhig:2;kippend:1,dio_12dx:1;dio_15zq:1;dio_1mri:1,0.605189,0.248811,-0.138755,-0.012951
dio_mcm_episode_0m0hadc,einzelspur,3,2,0,0.000000,STRESS10K_AFTER:2;STABLE10K_AFTER:1,stabil:2;tragend_unruhig:1,dio_1dn8:1;dio_0n5a:1;dio_0j48:1,0.645802,0.173253,-0.227051,-0.095611
dio_mcm_episode_1aw9cau,einzelspur,3,1,0,0.000000,STRESS10K_AFTER:3,tragend_unruhig:2;stabil:1,dio_0pg4:1;dio_1q2m:1;dio_15b0:1,0.623964,0.221262,-0.145341,-0.159560
dio_mcm_episode_1hjbx8p,einzelspur,2,1,2,1.000000,STRESS10K_AFTER:2,stabil:2,dio_0moq:1;dio_0t2s:1,0.645081,0.168653,-0.168793,0.001596
dio_mcm_episode_0y0oxs9,einzelspur,2,1,1,0.500000,SIDEWAYS:2,stabil:2,dio_0lvw:1;dio_17r0:1,0.641734,0.174153,-0.214737,-0.131609
dio_mcm_episode_1cs75ns,einzelspur,2,1,1,0.500000,EXPANSION10K_AFTER:2,stabil:1;kippend:1,dio_1tw0:1;dio_0w1x:1,0.613912,0.254446,-0.214492,0.382103
dio_mcm_episode_1a3ydyn,einzelspur,2,2,1,0.500000,STABLE10K_AFTER:1;STRESS10K_AFTER:1,tragend_unruhig:1;kippend:1,dio_1rwq:1;dio_0d76:1,0.613968,0.267304,0.270033,-0.568176
dio_mcm_episode_0p2lp5j,einzelspur,2,1,1,0.500000,STABLE10K_AFTER:2,kippend:1;tragend_unruhig:1,dio_0t7y:1;dio_0t2w:1,0.617918,0.277800,0.531878,-0.133610
dio_mcm_episode_1se7ta6,einzelspur,2,1,1,0.500000,STABLE10K_AFTER:2,stabil:1;tragend_unruhig:1,dio_0c6b:1;dio_0996:1,0.649063,0.193402,0.079224,0.031554
dio_mcm_episode_0ypvrpf,einzelspur,2,1,1,0.500000,STRESS10K_AFTER:2,tragend_unruhig:1;stabil:1,dio_0tc6:1;dio_0jb3:1,0.644589,0.231202,0.426227,0.056169
dio_mcm_episode_1ha4div,einzelspur,2,1,1,0.500000,STRESS10K_AFTER:2,tragend_unruhig:2,dio_1e4x:1;dio_11g3:1,0.629950,0.256122,0.389547,-0.071631
dio_mcm_episode_03724m4,einzelspur,2,1,0,0.000000,SIDEWAYS:2,stabil:2,dio_0l6u:1;dio_1n5s:1,0.650597,0.180457,0.122600,0.024630
dio_mcm_episode_1cugys5,einzelspur,2,1,0,0.000000,EXPANSION10K_AFTER:2,stabil:1;tragend_unruhig:1,dio_0dbd:1;dio_00rl:1,0.632762,0.215685,0.004573,-0.135269
dio_mcm_episode_0x44t5z,einzelspur,2,2,0,0.000000,EXPANSION10K_AFTER:1;STABLE10K_AFTER:1,kippend:2,dio_1p5w:1;dio_00x9:1,0.593530,0.350521,0.772181,0.188834
dio_mcm_episode_1d26rcr,einzelspur,2,2,0,0.000000,EXPANSION10K_AFTER:1;STABLE10K_AFTER:1,tragend_unruhig:2,dio_0ygi:1;dio_0zj7:1,0.610831,0.234586,-0.172992,-0.094729
dio_mcm_episode_1leh5qu,einzelspur,2,1,0,0.000000,STABLE10K_AFTER:2,kippend:1;stabil:1,dio_0zr7:1;dio_0di0:1,0.607650,0.256582,-0.265925,0.285000
dio_mcm_episode_0xi103f,einzelspur,2,1,0,0.000000,STABLE10K_AFTER:2,tragend_unruhig:1;stabil:1,dio_01z0:1;dio_0ttv:1,0.623273,0.214400,-0.238737,-0.045371
dio_mcm_episode_0ifxej6,einzelspur,2,1,0,0.000000,STRESS10K_AFTER:2,tragend_unruhig:1;stabil:1,dio_1yyc:1;dio_1gw0:1,0.631763,0.224521,0.095485,-0.476477
dio_mcm_episode_177kjvc,einzelspur,2,1,0,0.000000,STRESS10K_AFTER:2,stabil:2,dio_19r4:1;dio_0l45:1,0.679666,0.144192,0.328406,-0.042742
dio_mcm_episode_043vlrj,einzelspur,1,1,1,1.000000,EXPANSION10K_AFTER:1,tragend_unruhig:1,dio_13v9:1,0.633364,0.225690,0.096712,-0.377486
dio_mcm_episode_166xs5s,einzelspur,1,1,1,1.000000,EXPANSION10K_AFTER:1,gespannt:1,dio_0bm8:1,0.560034,0.407458,0.139576,0.846427
dio_mcm_episode_1borwyu,einzelspur,1,1,1,1.000000,EXPANSION10K_AFTER:1,kippend:1,dio_1fa1:1,0.587131,0.293568,-0.092128,-0.855155
dio_mcm_episode_0d3lkd6,einzelspur,1,1,1,1.000000,STABLE10K_AFTER:1,gespannt:1,dio_14pw:1,0.607058,0.352580,0.220685,0.615916
dio_mcm_episode_1l4hk1v,einzelspur,1,1,1,1.000000,STABLE10K_AFTER:1,kippend:1,dio_10um:1,0.583489,0.306200,-0.149637,-0.685477
dio_mcm_episode_0ipx085,einzelspur,1,1,1,1.000000,STRESS10K_AFTER:1,stabil:1,dio_0tgr:1,0.631058,0.217686,-0.036590,-0.223206
dio_mcm_episode_1a4mo28,einzelspur,1,1,1,1.000000,STRESS10K_AFTER:1,tragend_unruhig:1,dio_1q46:1,0.643956,0.238161,0.477372,-0.248065
dio_mcm_episode_08bg8gu,einzelspur,1,1,1,1.000000,STRESS10K_AFTER:1,tragend_unruhig:1,dio_0ihk:1,0.641314,0.257358,0.813944,0.061911
dio_mcm_episode_00i7zy5,einzelspur,1,1,0,0.000000,SIDEWAYS:1,stabil:1,dio_1j6v:1,0.656862,0.183718,0.505315,0.000000
dio_mcm_episode_1nxcm89,einzelspur,1,1,0,0.000000,SIDEWAYS:1,stabil:1,dio_1gbo:1,0.641395,0.183944,-0.273374,0.124567
dio_mcm_episode_10zn8hd,einzelspur,1,1,0,0.000000,SIDEWAYS:1,tragend_unruhig:1,dio_0phr:1,0.618655,0.192210,-0.342980,-0.142650
