row_type,first,second,baseline_pairs,core_state_profile,asset_core_profile,quality_core_profile,asset,family,phase,baseline_dominant_phase_quality,core_state,first_repro_state,second_repro_state,first_followup_quality,second_followup_quality,first_observations,second_observations,first_mean_rekopplung_edge,second_mean_rekopplung_edge,first_mean_afterimage_edge,second_mean_afterimage_edge,first_mean_temporal_edge,second_mean_temporal_edge
core_intersection_detail,,,,,,,BTC,dio_06s7,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.007454163,-0.006445243,-0.073393264,-0.120415503,-0.034927609,-0.06010978
core_intersection_detail,,,,,,,BTC,dio_06s7,mitte,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_nullnah,phase_nachhallnah_ohne_kern,2,2,-0.004459981,-0.002156853,-0.018084796,-0.00997655,-0.009514169,-0.009860044
core_intersection_detail,,,,,,,BTC,dio_06s7,spaet,phase_nullnah,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_nachhallnah,lokale_qualitaet_reproduziert,phase_nachhallnah_ohne_kern,phase_nullnah,2,2,-0.00348935,-0.001163093,0.000287091,-0.008522068,-0.003501248,-0.004253718
core_intersection_detail,,,,,,,BTC,dio_07uk,mitte,phase_offen_gemischt,kein_harter_kern,lokale_qualitaet_wird_nachhallnah,lokale_qualitaet_wird_nullnah,phase_nachhallnah_ohne_kern,phase_nullnah,2,2,0.00014525,-0.002342646,-0.003923052,-0.022541257,-0.001353086,-0.009645526
core_intersection_detail,,,,,,,BTC,dio_07uk,spaet,phase_offen_gemischt,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_offen_gemischt,2,2,-0.001292053,0.000778869,0.009554081,0.019188621,7.6683e-05,0.001797215
core_intersection_detail,,,,,,,BTC,dio_09bn,frueh,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_offen,phase_nullnah,phase_offen_gemischt,2,2,-0.007728438,-0.006153029,-0.051526136,-0.016572803,-0.028626824,-0.009513761
core_intersection_detail,,,,,,,BTC,dio_09bn,mitte,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_nullnah,phase_nachhallnah_ohne_kern,2,2,-0.003209182,-0.004972711,-0.005805414,-0.0017237,-0.008134687,-0.000749779
core_intersection_detail,,,,,,,BTC,dio_09bn,spaet,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.001653168,-0.003717016,-0.002632862,-0.009578907,-0.001936882,-0.004468469
core_intersection_detail,,,,,,,BTC,dio_0dd2,frueh,phase_nullnah,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_offen,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_nullnah,2,2,-0.016062727,-0.009761457,-0.092586294,-0.028210086,-0.045647095,-0.013264142
core_intersection_detail,,,,,,,BTC,dio_0dd2,mitte,phase_nullnah,kein_harter_kern,lokale_qualitaet_wird_nachhallnah,lokale_qualitaet_wird_offen,phase_nachhallnah_ohne_kern,phase_offen_gemischt,2,2,-0.003052995,-0.003527234,-0.018248316,-0.008795147,-0.00767019,0.0010429
core_intersection_detail,,,,,,,BTC,dio_0dd2,spaet,phase_offen_gemischt,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_offen_gemischt,2,2,-0.00202744,-0.001440832,-0.029819497,-0.005342368,-0.003191372,0.003574417
core_intersection_detail,,,,,,,BTC,dio_0g2r,frueh,phase_offen_gemischt,kein_harter_kern,lokale_qualitaet_wird_nullnah,lokale_qualitaet_wird_nullnah,phase_nullnah,phase_nullnah,2,2,-0.003499307,-0.006826865,-0.021537883,-0.029115036,-0.011114293,-0.014418335
core_intersection_detail,,,,,,,BTC,dio_0g2r,mitte,phase_offen_gemischt,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_offen_gemischt,2,2,-0.001621353,0.001751854,-0.011604022,-0.025262631,-0.003230228,-0.005158048
core_intersection_detail,,,,,,,BTC,dio_0g2r,spaet,phase_offen_gemischt,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_offen_gemischt,2,2,-1.8271e-05,-0.001569408,-0.017076293,-0.015171284,-0.003097726,-0.002140618
core_intersection_detail,,,,,,,BTC,dio_0h9h,frueh,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_offen,phase_nullnah,phase_offen_gemischt,2,2,-0.006613292,-0.003723441,-0.012733601,0.0104546,-0.00786243,0.004795703
core_intersection_detail,,,,,,,BTC,dio_0h9h,mitte,phase_offen_gemischt,kein_harter_kern,lokale_qualitaet_wird_nullnah,lokale_qualitaet_wird_nullnah,phase_nullnah,phase_nullnah,2,2,-0.001504438,-0.0008786,-0.009082151,-0.007966186,-0.000931344,-0.000416309
core_intersection_detail,,,,,,,BTC,dio_0h9h,spaet,phase_nachhallnah_ohne_kern,kein_harter_kern,lokale_qualitaet_wird_nullnah,lokale_qualitaet_wird_nullnah,phase_nullnah,phase_nullnah,2,2,-0.001893051,-0.001378785,0.001160957,0.000634649,0.000294759,0.000418728
