world,preview_symbol,rows,segments,longest_segment,segment_concentration,field_carried_share,field_mixed_share,far_return_share,top_family,top_family_share,carry_avg,strain_avg,rekopplung_avg,sensory_coupling_avg,visual_gap_avg,hearing_gap_avg,afterimage_avg,recurrence_avg,visual_contact_avg,auditory_loudness_avg,visual_sharpness_avg,raw_range_avg,raw_volume_avg,raw_volume_ratio,raw_range_ratio,active_recoupling_score
PEPE_B_10K,dio_mcm_episode_0hvxln3,40,26,3,0.075,0.925,0.075,0.725,dio_1w94,0.05,0.50637605,0.164765275,0.68733125,0.83603115,0.189385575,0.099475775,0.3211252,0.375464525,0.3931242,0.20928415,0.62931335,0.021280111879806923,810417893740.9,2.6118287583466553,1.9290740503511086,0.9200306817647059
PEPE_B_10K,dio_mcm_episode_14sn1ov,61,29,3,0.04918032786885246,0.8524590163934426,0.14754098360655737,0.9016393442622951,dio_155c,0.06557377049180328,0.5356569016393442,0.16650447540983607,0.6978113442622951,0.825049,0.24397760655737705,0.07678931147540984,0.5116292950819672,0.5851740983606557,0.3552995081967213,0.16955796721311475,0.5968054590163935,0.019257184919853055,664286787763.3279,2.1408749109193304,1.7456926881550905,0.9169786808100289
KAS_10K,dio_mcm_episode_0hvxln3,49,28,3,0.061224489795918366,0.9591836734693877,0.04081632653061224,0.8367346938775511,dio_0h9h,0.061224489795918366,0.5267098367346938,0.15936822448979593,0.698652469387755,0.842872081632653,0.1787733469387755,0.08558048979591837,0.43287857142857145,0.497636,0.34680438775510203,0.18356195918367346,0.6336972857142857,0.006572799248182214,1158782.0612244897,2.1700279322452287,1.5451171595674247,0.9123037736923342
PEPE_B_10K,dio_mcm_episode_0bsaqu1,95,35,3,0.031578947368421054,0.8526315789473684,0.14736842105263157,0.8,dio_0m9z,0.042105263157894736,0.5177249684210526,0.17074425263157894,0.6892623263157894,0.8292777368421053,0.2025663052631579,0.1127448947368421,0.4107459789473684,0.4780786842105263,0.34553193684210526,0.2266047157894737,0.6218915789473685,0.017340406360131212,542863041120.2737,1.7495483670733973,1.5719338376042387,0.9118283296594428
TRX_10K,dio_mcm_episode_14sn1ov,69,32,3,0.043478260869565216,0.8260869565217391,0.17391304347826086,0.8405797101449275,dio_155c,0.07246376811594203,0.5323086376811594,0.17621855072463768,0.6927976521739131,0.8188391449275363,0.2501550434782609,0.09317318840579711,0.5444954782608695,0.5989034347826087,0.36067382608695653,0.19501097101449275,0.5814591449275363,0.0017646425080345433,1728047.6217391305,1.3858388779364414,1.5071636048927037,0.9114827788887537
DOGE_10K,dio_mcm_episode_14sn1ov,57,27,3,0.05263157894736842,0.7719298245614035,0.22807017543859648,0.8771929824561403,dio_0m9z,0.05263157894736842,0.5248273333333333,0.17500329824561403,0.6889352982456141,0.8103064210526316,0.2779606666666667,0.08623715789473685,0.48084175438596494,0.5366954912280701,0.39353208771929826,0.18508073684210527,0.5701147894736842,0.0043986327682089274,6711038.98245614,2.1047534970906105,1.6399521829228523,0.9087793931888545
XRP_10K,dio_mcm_episode_0hvxln3,55,30,3,0.05454545454545454,0.9454545454545454,0.05454545454545454,0.8545454545454545,dio_155c,0.09090909090909091,0.5362628,0.16173845454545455,0.7009064545454545,0.8421667454545455,0.1828944909090909,0.08673821818181818,0.4970137636363636,0.5646958,0.3466678181818182,0.18601523636363637,0.6237774545454545,0.0037330378051295935,2101891.2,1.797095866062077,1.6339146665631432,0.9068825238808251
XRP_10K,dio_mcm_episode_0vcr3lw,76,34,3,0.039473684210526314,0.868421052631579,0.13157894736842105,0.8026315789473685,dio_0pq6,0.06578947368421052,0.5260177236842105,0.16725688157894736,0.6943696184210526,0.8327430657894737,0.2021017105263158,0.10037631578947369,0.4517469078947368,0.52284825,0.3351191052631579,0.20630127631578948,0.6404538421052631,0.0033974728073892725,1736068.1184210526,1.4843208053854746,1.4870411013825986,0.9059137492260062
DOGE_10K,dio_mcm_episode_08g1nk4,44,28,3,0.06818181818181818,0.7727272727272727,0.22727272727272727,0.9090909090909091,dio_1gp2,0.09090909090909091,0.5271278636363637,0.17300152272727273,0.6923870454545454,0.8169772272727273,0.25498784090909093,0.08818836363636363,0.49236695454545454,0.5479772954545454,0.3954615454545454,0.19041336363636363,0.59023875,0.004770641939490818,6613419.0227272725,2.0741373805455714,1.7786492018966538,0.9050232171122995
TRX_10K,dio_mcm_episode_0hvxln3,47,30,3,0.06382978723404255,0.8936170212765957,0.10638297872340426,0.723404255319149,dio_0m9z,0.0851063829787234,0.5213738936170212,0.16731053191489362,0.6937764468085106,0.839176,0.18941372340425533,0.09352631914893617,0.44222040425531917,0.4998902978723404,0.3440395744680851,0.19545042553191488,0.6470700638297873,0.0017916873458902961,2165988.723404255,1.7370536230040787,1.5302623317627793,0.9039311284105133
XLM_10K,dio_mcm_episode_08g1nk4,46,27,3,0.06521739130434782,0.7391304347826086,0.2608695652173913,0.8478260869565217,dio_1o4z,0.043478260869565216,0.5163395869565217,0.17879534782608697,0.6867464130434783,0.8076639130434783,0.2702045869565217,0.09955065217391304,0.45257152173913046,0.5106843913043478,0.41590565217391307,0.2112872391304348,0.5537344782608695,0.0035813394801859073,441352.52173913043,2.0565324533438787,1.513528948392569,0.9039267723785166
