world,source,rekopplung_factor,candles,unique_symbols,episodes,dominant_effect_class,dominant_episode_state,unique_episode_families,top_family_count,avg_mcm_carry_quality,avg_mcm_strain_quality,avg_mcm_rekopplung_quality,avg_mcm_adaptive_rekopplung_quality,avg_mcm_sensory_coupling,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_mini_temporal_caution_support
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,1.0,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.707487,0.742768,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.7,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.495241,0.741448,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.65,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.459866,0.741236,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.6,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.424492,0.741016,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.55,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.389118,0.740785,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.5,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.353743,0.744165,0.842395,0.659037,0.819309,0.179513
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,1.0,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.716769,0.751996,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.7,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.501739,0.749008,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.65,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.4659,0.748493,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.6,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.430062,0.748023,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.55,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.394223,0.747535,0.851705,0.686865,0.840761,0.168696
PAXG_2024_5M_10K,data/kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,0.5,10000,520,9994,stabil,-,516,620,0.556354,0.166791,0.358385,0.747078,0.851705,0.686865,0.840761,0.168696
