row_type,baseline,followup,compared_family_phase_pairs,repro_states,baseline_states,eigenstaendig_repro_states,asset_repro_profile,repro_state,count,share,asset,family,phase,baseline_stability_state,baseline_dominant_phase_quality,baseline_quality_profile,followup_dominant_phase_quality,followup_quality_profile,followup_observations,baseline_mean_rekopplung_edge,followup_mean_rekopplung_edge,baseline_mean_afterimage_edge,followup_mean_afterimage_edge,baseline_mean_temporal_edge,followup_mean_temporal_edge
summary,docs\befunde\1858_PHASENLOKALE_FAMILIENSTABILITAET.csv,docs\befunde\1863_LOKALE_REIFEGRUPPE_WEITERE_FOLGEFENSTER.csv,651,lokale_qualitaet_reproduziert:220; lokale_qualitaet_wird_offen:122; lokale_qualitaet_wird_nullnah:84; qualitaet_reproduziert:64; lokale_qualitaet_wird_nachhallnah:61; fehlt_im_folgefenster:60; lokale_qualitaet_wird_kernnah:25; lokale_qualitaet_driftet:15,phasenlokal_eigenstaendig:446; geteilt_offen:101; einzelbeleg:57; fenstergetragen_stabil:47,lokale_qualitaet_reproduziert:220; lokale_qualitaet_wird_offen:94; lokale_qualitaet_wird_nullnah:50; lokale_qualitaet_wird_nachhallnah:40; lokale_qualitaet_wird_kernnah:18; fehlt_im_folgefenster:15; lokale_qualitaet_driftet:9,XRP::lokale_qualitaet_reproduziert:51; BTC::lokale_qualitaet_reproduziert:46; DOGE::lokale_qualitaet_reproduziert:45; PAXG::lokale_qualitaet_reproduziert:39; SOL::lokale_qualitaet_reproduziert:39; DOGE::lokale_qualitaet_wird_offen:27; SOL::lokale_qualitaet_wird_offen:26; XRP::lokale_qualitaet_wird_offen:24; PAXG::lokale_qualitaet_wird_offen:23; BTC::lokale_qualitaet_wird_offen:22; SOL::fehlt_im_folgefenster:21; XRP::lokale_qualitaet_wird_nullnah:20; PAXG::qualitaet_reproduziert:19; SOL::lokale_qualitaet_wird_nullnah:18; PAXG::fehlt_im_folgefenster:18; BTC::lokale_qualitaet_wird_nullnah:17; DOGE::lokale_qualitaet_wird_nullnah:16; SOL::qualitaet_reproduziert:16; DOGE::lokale_qualitaet_wird_nachhallnah:15; BTC::qualitaet_reproduziert:14; PAXG::lokale_qualitaet_wird_nullnah:13; XRP::lokale_qualitaet_wird_nachhallnah:13; BTC::lokale_qualitaet_wird_nachhallnah:12; BTC::fehlt_im_folgefenster:12; SOL::lokale_qualitaet_wird_nachhallnah:11; PAXG::lokale_qualitaet_wird_kernnah:10; PAXG::lokale_qualitaet_wird_nachhallnah:10; XRP::fehlt_im_folgefenster:9; XRP::qualitaet_reproduziert:8; DOGE::qualitaet_reproduziert:7; DOGE::lokale_qualitaet_driftet:6; XRP::lokale_qualitaet_driftet:6; XRP::lokale_qualitaet_wird_kernnah:4; DOGE::lokale_qualitaet_wird_kernnah:4; SOL::lokale_qualitaet_wird_kernnah:4; BTC::lokale_qualitaet_wird_kernnah:3; PAXG::lokale_qualitaet_driftet:3,,,,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_reproduziert,220,0.337942,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_offen,122,0.187404,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_nullnah,84,0.129032,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,qualitaet_reproduziert,64,0.09831,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_nachhallnah,61,0.093702,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,fehlt_im_folgefenster,60,0.092166,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_wird_kernnah,25,0.038402,,,,,,,,,,,,,,,
repro_state_summary,,,,,,,,lokale_qualitaet_driftet,15,0.023041,,,,,,,,,,,,,,,
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,BTC,dio_00ly,mitte,phasenlokal_eigenstaendig,phase_nachhallnah_ohne_kern,phase_nachhallnah_ohne_kern:3; phase_offen_gemischt:2; phase_nullnah:1,phase_nachhallnah_ohne_kern,phase_nachhallnah_ohne_kern:1; phase_offen_gemischt:1,2,-0.001307236,-0.002370275,-0.001269035,0.002211079,7.6979e-05,0.000926948
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,BTC,dio_00ly,spaet,phasenlokal_eigenstaendig,phase_offen_gemischt,phase_offen_gemischt:5; phase_nachhallnah_ohne_kern:1,phase_offen_gemischt,phase_offen_gemischt:1; phase_nullnah:1,2,-0.001401319,-0.003299389,-0.009509119,-0.021395251,-0.000895276,-0.002360916
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,BTC,dio_05yg,frueh,phasenlokal_eigenstaendig,phase_nullnah,phase_nullnah:3; phase_offen_gemischt:1,phase_nullnah,phase_nullnah:2,2,-0.002819772,-0.008457377,-0.092079669,-0.030714699,-0.046547334,-0.01543574
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,BTC,dio_06er,frueh,phasenlokal_eigenstaendig,phase_nullnah,phase_nullnah:5; phase_offen_gemischt:1,phase_nullnah,phase_nullnah:2,2,-0.005108754,-0.012193646,-0.058189407,-0.140458561,-0.031960858,-0.082076272
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,BTC,dio_06er,mitte,phasenlokal_eigenstaendig,phase_nullnah,phase_nullnah:4; phase_nachhallnah_ohne_kern:2,phase_nullnah,phase_nullnah:2,2,-0.004290699,-0.004474264,-0.022251641,-0.075654831,-0.010939149,-0.027057248
family_phase_repro_detail,,,,,,,,lokale_qualitaet_reproduziert,,,BTC,dio_06er,spaet,phasenlokal_eigenstaendig,phase_nullnah,phase_nullnah:3; phase_nachhallnah_ohne_kern:2; phase_offen_gemischt:1,phase_nullnah,phase_nullnah:1; phase_offen_gemischt:1,2,-0.003881318,-0.003586536,-0.014955602,-0.04291032,-0.004865045,-0.011555654
