preview_symbol,field_function_class,field_function_variant,field_function_confidence,depth_score,depth_state,world_count,count,avg_afterimage,avg_recurrence,avg_rekopplung,avg_strain,avg_sensory_coupling,last_world,world_binding_quality,world_binding_confidence,real_world_count,null_world_count,synthetic_world_count,real_observation_share,null_observation_share,synthetic_observation_share,worlds,effects,passive_only,influences_action,is_gate,is_motoric
dio_mcm_episode_1k1vudq,milieu_island,quiet_deep_recoupling,0.734895,0.743068,local_depth_seed,1,1,0.878744,0.978992,0.735494,0.152804,0.879621,WB_FRESH_REAL_BTC_10K,realworld_bound,0.716638,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:1,stabil:1,1,0,0,0
dio_mcm_episode_1dxx3n8,milieu_island,quiet_deep_recoupling,0.733224,0.740047,local_depth_seed,1,3,0.884025,0.960803,0.73473,0.155652,0.884583,WB_FRESH_REAL_BTC_10K,realworld_bound,0.71586,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:3,stabil:3,1,0,0,0
dio_mcm_episode_1amcian,milieu_island,quiet_deep_recoupling,0.726416,0.73554,local_depth_seed,1,1,0.85299,0.970588,0.734794,0.14649,0.865825,WB_FRESH_REAL_BTC_10K,realworld_bound,0.714095,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:1,stabil:1,1,0,0,0
dio_mcm_episode_0o47ti3,milieu_island,quiet_deep_recoupling,0.726514,0.735332,local_depth_seed,1,1,0.846942,0.982578,0.730252,0.158484,0.868493,WB_FRESH_REAL_BTC_10K,realworld_bound,0.714072,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:1,stabil:1,1,0,0,0
dio_mcm_episode_07a7zoq,milieu_island,quiet_deep_recoupling,0.727889,0.733516,local_depth_seed,1,5,0.877974,0.946333,0.730435,0.157406,0.869812,WB_FRESH_REAL_BTC_10K,realworld_bound,0.713937,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:5,stabil:5,1,0,0,0
dio_mcm_episode_14pd6eb,milieu_island,quiet_deep_recoupling,0.726002,0.732376,local_depth_seed,1,3,0.87704,0.957495,0.723875,0.166138,0.850777,WB_FRESH_REAL_BTC_10K,realworld_bound,0.713468,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:3,stabil:3,1,0,0,0
dio_mcm_episode_0y7hhur,milieu_island,quiet_deep_recoupling,0.726183,0.73226,local_depth_seed,1,4,0.871235,0.95879,0.725877,0.162398,0.85115,WB_FRESH_REAL_BTC_10K,realworld_bound,0.713472,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:4,stabil:4,1,0,0,0
dio_mcm_episode_1avuyqc,milieu_island,quiet_deep_recoupling,0.722449,0.729843,local_depth_seed,1,3,0.847409,0.96729,0.72671,0.161236,0.853631,WB_FRESH_REAL_BTC_10K,realworld_bound,0.712515,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:3,stabil:3,1,0,0,0
dio_mcm_episode_159zeqh,milieu_island,quiet_deep_recoupling,0.720344,0.729117,local_depth_seed,1,1,0.827609,0.992481,0.722492,0.166512,0.838194,WB_FRESH_REAL_BTC_10K,realworld_bound,0.712089,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:1,stabil:1,1,0,0,0
dio_mcm_episode_0bygq81,milieu_island,quiet_deep_recoupling,0.719535,0.726291,local_depth_seed,1,3,0.854129,0.957981,0.720098,0.171323,0.8455,WB_FRESH_REAL_BTC_10K,realworld_bound,0.711467,1,0,0,1.0,0.0,0.0,WB_FRESH_REAL_BTC_10K:3,stabil:3,1,0,0,0
