metric,0hiolzy_PEPE_A,1yxc2ug_PEPE_C,delta_1yxc2ug_minus_0hiolzy
rows,769,304,-465
segments,10,26,16
longest_segment,668,31,-637
avg_segment_length,76.9,11.692307692307692,-65.20769230769231
mcm_carry_quality,0.5922161573472041,0.5441008157894737,-0.04811534155773045
mcm_strain_quality,0.1516910832249675,0.17357209539473684,0.021881012169769343
mcm_rekopplung_quality,0.7326097230169051,0.7002227467105263,-0.03238697630637877
mcm_sensory_coupling,0.8580329011703511,0.8262295756578948,-0.03180332551245635
mcm_visual_field_gap,0.19337409362808844,0.2322035,0.03882940637191157
mcm_hearing_field_gap,0.03397836801040312,0.08942246381578947,0.055444095805386354
mini_afterimage,0.8275954954486346,0.6165945493421052,-0.21100094610652942
mini_recurrence_strength,0.9405211586475942,0.6661574210526315,-0.2743637375949627
rezeptor_visual_contact,0.30248070481144346,0.3521053486842105,0.04962464387276705
rezeptor_auditory_contact,0.07637953315994798,0.18906940789473684,0.11268987473478885
rezeptor_contact_pressure,0.0557794499349805,0.10063900328947369,0.04485955335449319
mcm_feldwirkung_mcm_coherence,0.5719494538361508,0.573985072368421,0.002035618532270189
mcm_feldwirkung_mcm_tension,0.0557794499349805,0.10063900328947369,0.04485955335449319
mcm_feldwirkung_mcm_asymmetry,-0.0006376736020806241,-0.008272769736842106,-0.0076350961347614816
perception_focus_strength,0.6431520013003901,0.6383690164473684,-0.0047829848530216434
perception_visual_sharpness,0.6423774174252276,0.6045864506578947,-0.037790966767332845
perception_auditory_loudness,0.07637953315994798,0.18906940789473684,0.11268987473478885
perception_felt_pressure,0.08397777373211963,0.11859168092105263,0.034613907188932994
perception_felt_relaxation,0.791571733420026,0.7748230888157894,-0.01674864460423653
sehen_form_flow,-0.0017602080624187287,0.0001402861842105264,0.0019004942466292552
sehen_form_stability,-0.031224276983094927,0.0037182796052631596,0.034942556588358084
sehen_form_change,0.0010741326397919384,0.004953194078947368,0.0038790614391554295
hoeren_energy_tone,-0.003318628088426528,-0.04548101644736842,-0.04216238835894189
hoeren_energy_shift,0.0016412028608582573,-0.00973478947368421,-0.011375992334542468
raw_ret,5.242436012084933e-05,0.0001030547964393862,5.0630436318536864e-05
raw_range,0.011373781727373498,0.010423201736447155,-0.0009505799909263427
raw_volume,22153923985.175552,300016078068.7039,277862154083.5284
raw_close,9.28257477243173e-07,1.1147434210526316e-05,1.0219176733283142e-05
