preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_0wyzu1s,nebenrolle,20,11,0.450299,FOLLOW_EQ10K_PEPE_B_2024_5M,0.3,FOLLOW_EQ10K_PEPE_B_2024_5M:6;FOLLOW_EQ10K_KAS_2024_5M:4;FOLLOW_EQ10K_DOGE_2024_5M:2;BTC_LONG_2024_5M_QUIET:1;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_EQ10K_PEPE_2024_5M:1;FOLLOW_EQ10K_TRX_2024_5M:1;FOLLOW_EQ10K_XLM_2024_5M:1;FOLLOW_EQ10K_XRP_2024_5M:1;REAL_FOLLOW_PAXG_6000:1,other:13;doge:3;quiet:1;xrp:1;paxg:1;sol:1,0.162583,0.03654,0.179236,0.546422,0.05,0.0,0.0,0.0,0.65,0.649486
dio_mcm_episode_15wf5gt,nebenrolle,18,10,0.635015,FOLLOW_EQ10K_TRX_2024_5M,0.277778,FOLLOW_EQ10K_TRX_2024_5M:5;FOLLOW_EQ10K_PEPE_B_2024_5M:4;FOLLOW_EQ10K_XRP_2024_5M:2;BTC_10K_A:1;BTC_STRESS_2024_5M:1;FOLLOW_EQ10K_DOGE_2024_5M:1;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_EQ10K_PEPE_2024_5M:1;REAL_FOLLOW_BTC_6000:1;SOL_10K_A:1,other:10;btc:2;xrp:2;stress:1;doge:1;paxg:1;sol:1,0.162222,0.066831,0.148861,0.563483,0.0,0.055556,0.0,0.055556,0.555556,0.748814
dio_mcm_episode_01jolqf,nebenrolle,13,10,0.439939,FOLLOW_EQ10K_DOGE_2024_5M,0.153846,FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_EQ10K_KAS_2024_5M:2;FOLLOW_EQ10K_PEPE_B_2024_5M:2;BTC_STRESS_2024_5M:1;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_EQ10K_TRX_2024_5M:1;FOLLOW_EQ10K_XLM_2024_5M:1;FOLLOW_XRP_2024_5M_2000:1;REAL_TIME_2024_XRP:1;SOL_10K_A:1,other:6;doge:3;xrp:2;stress:1;sol:1,0.161203,0.073757,0.109745,0.586449,0.0,0.076923,0.0,0.076923,0.461538,0.856087
dio_mcm_episode_1avuyqc,nebenrolle,22,7,0.853806,REAL_TIME_2024_SOL_ALTSEQ_A,0.318182,REAL_TIME_2024_SOL_ALTSEQ_A:7;FOLLOW_EQ10K_PEPE_B_2024_5M:3;PAXG_1846_A:3;REAL_FOLLOW_DOGE_6000:3;REAL_TIME_2024_BTC_5M:3;REAL_TIME_2024_PAXG:2;REAL_FOLLOW_XRP_6000:1,sol:7;paxg:5;other:3;doge:3;btc:3;xrp:1,0.160505,0.043557,0.093593,0.585341,0.0,0.0,0.0,0.0,0.318182,0.924608
dio_mcm_episode_0jk5x97,nebenrolle,19,8,0.657516,FOLLOW_EQ10K_XLM_2024_5M,0.210526,FOLLOW_EQ10K_XLM_2024_5M:4;FOLLOW_EQ10K_PEPE_B_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:3;REAL_FOLLOW_DOGE_6000:3;FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_EQ10K_KAS_2024_5M:2;FOLLOW_EQ10K_PEPE_2024_5M:1;QUIET_NEAR_PAXG2024_1H:1,other:10;doge:5;xrp:3;quiet:1,0.160004,0.03928,0.146047,0.582203,0.052632,0.0,0.0,0.0,0.526316,0.819127
dio_mcm_episode_16da5fv,nebenrolle,20,7,0.440226,FOLLOW_EQ10K_PAXG_2024_5M,0.2,FOLLOW_EQ10K_PAXG_2024_5M:4;FOLLOW_EQ10K_TRX_2024_5M:4;FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_KAS_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:3;FOLLOW_EQ10K_PEPE_B_2024_5M:2;FOLLOW_EQ10K_XLM_2024_5M:1,other:10;paxg:4;doge:3;xrp:3,0.15982,0.040759,0.14254,0.592068,0.0,0.0,0.0,0.0,0.5,0.892738
dio_mcm_episode_1ekutmp,nebenrolle,37,6,0.728728,FOLLOW_EQ10K_TRX_2024_5M,0.297297,FOLLOW_EQ10K_TRX_2024_5M:11;FOLLOW_EQ10K_DOGE_2024_5M:7;FOLLOW_EQ10K_PEPE_B_2024_5M:6;FOLLOW_EQ10K_XLM_2024_5M:5;FOLLOW_EQ10K_XRP_2024_5M:5;FOLLOW_EQ10K_KAS_2024_5M:3,other:25;doge:7;xrp:5,0.159028,0.039222,0.23477,0.56422,0.0,0.0,0.0,0.0,0.675676,0.774036
dio_mcm_episode_0f8b5wa,nebenrolle,12,10,0.432258,FOLLOW_EQ10K_KAS_2024_5M,0.166667,FOLLOW_EQ10K_KAS_2024_5M:2;FOLLOW_EQ10K_XRP_2024_5M:2;BTC_1H_C:1;BTC_SHIFT_2025_1H_4000_5000:1;FOLLOW_EQ10K_DOGE_2024_5M:1;FOLLOW_EQ10K_PEPE_B_2024_5M:1;FOLLOW_EQ10K_TRX_2024_5M:1;FOLLOW_EQ10K_XLM_2024_5M:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_SOL_6000:1,other:5;doge:2;xrp:2;btc:1;shift:1;sol:1,0.157989,0.075447,0.095984,0.592098,0.0,0.0,0.083333,0.083333,0.416667,0.883633
dio_mcm_episode_023ecmg,nebenrolle,15,10,0.486351,FOLLOW_EQ10K_TRX_2024_5M,0.266667,FOLLOW_EQ10K_TRX_2024_5M:4;FOLLOW_EQ10K_XRP_2024_5M:3;BTC_LONG_2024_5M_QUIET:1;FOLLOW_EQ10K_DOGE_2024_5M:1;FOLLOW_EQ10K_KAS_2024_5M:1;FOLLOW_EQ10K_PEPE_2024_5M:1;FOLLOW_EQ10K_XLM_2024_5M:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_BTC_5M:1;SOL_10K_A:1,other:7;xrp:4;quiet:1;doge:1;btc:1;sol:1,0.15746,0.038984,0.117155,0.57635,0.066667,0.0,0.0,0.0,0.466667,0.798255
dio_mcm_episode_0goqj8y,nebenrolle,14,9,0.808808,REAL_TIME_2024_SOL_ALTSEQ_A,0.285714,REAL_TIME_2024_SOL_ALTSEQ_A:4;FOLLOW_EQ10K_PEPE_B_2024_5M:2;REAL_TIME_2024_PAXG:2;BTC_LONG_2025_5M_QUIET:1;PAXG_1846_A:1;QUIET_NEAR_BTC_1869:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_BTC_5M:1,sol:4;paxg:3;quiet:2;other:2;doge:1;xrp:1;btc:1,0.157188,0.042231,0.070448,0.591859,0.142857,0.0,0.0,0.0,0.285714,0.929906
dio_mcm_episode_0nleev0,nebenrolle,18,7,0.608738,FOLLOW_DOGE_2024_5M_2000,0.166667,FOLLOW_DOGE_2024_5M_2000:3;FOLLOW_EQ10K_PAXG_2024_5M:3;FOLLOW_EQ10K_PEPE_B_2024_5M:3;FOLLOW_PAXG_2024_5M_2000:3;REAL_TIME_2024_PAXG:3;REAL_FOLLOW_SOL_6000:2;FOLLOW_EQ10K_KAS_2024_5M:1,paxg:9;other:4;doge:3;sol:2,0.15521,0.03888,0.137527,0.599503,0.0,0.0,0.0,0.0,0.5,0.882623
dio_mcm_episode_08w107d,nebenrolle,13,10,0.477818,FOLLOW_EQ10K_PEPE_B_2024_5M,0.153846,FOLLOW_EQ10K_PEPE_B_2024_5M:2;FOLLOW_EQ10K_XLM_2024_5M:2;REAL_FOLLOW_SOL_6000:2;BTC_STRESS_2025_5M:1;FOLLOW_EQ10K_DOGE_2024_5M:1;FOLLOW_EQ10K_KAS_2024_5M:1;FOLLOW_EQ10K_PEPE_2024_5M:1;FOLLOW_KAS_2024_5M_2000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1,other:7;sol:3;stress:1;doge:1;xrp:1,0.154371,0.070475,0.128036,0.586449,0.0,0.076923,0.0,0.076923,0.538462,0.785135
