asset,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
BTC,dio_104t,1200,3,field_stabil,342,0.060370697263901145,0.7551473654970761,0.16285209356725147,0.8027801608187134,0.9291328099415205,431,0.07608120035304501,0.7569647424593967,0.16246708816705335,0.8272517563805104,0.9466010974477959,427,0.07538841807909605,0.7558468196721312,0.16354343091334894,0.8326196791569086,0.9487993583138172,0.015017720815194903,0.029839518338195203,0.019666548372296755,0.0006913373460974703,anschlussfaehige_oberflaeche
BTC,dio_155c,830,3,field_stabil,237,0.04183583406884378,0.749545,0.17185682700421942,0.800974611814346,0.9231035021097047,305,0.05383936451897617,0.7515252229508197,0.17233975409836066,0.8378651737704919,0.9470070327868854,288,0.05084745762711865,0.7517482465277777,0.17214247222222223,0.8439970729166667,0.9497191180555556,0.009011623558274867,0.043022461102320664,0.026615615945850934,0.0002856452180028113,anschlussfaehige_oberflaeche
BTC,dio_0m9z,737,3,field_stabil,215,0.03795233892321271,0.7406652744186046,0.18125913023255816,0.7980289162790698,0.9208188139534884,278,0.04907325684024713,0.7428054748201439,0.1818864748201439,0.8441531726618705,0.9473944892086331,244,0.04307909604519774,0.7431904303278688,0.18137502049180326,0.8513074098360656,0.9515927868852458,0.005126757121985029,0.053278493556995765,0.030773972931757432,0.00011589025924510499,anschlussfaehige_oberflaeche
BTC,dio_0l7p,659,3,field_stabil,211,0.037246248896734335,0.762297625592417,0.1519563222748815,0.8005232890995261,0.9235456872037915,217,0.0383053839364519,0.7648477142857143,0.15304018433179722,0.8542753502304147,0.9526779677419355,231,0.04078389830508475,0.764755354978355,0.15365893506493505,0.8596427532467532,0.9551361904761905,0.003537649408350413,0.05911946414722713,0.031590503272398984,0.0017026127900535426,anschlussfaehige_oberflaeche
BTC,dio_0h9h,467,3,field_stabil,171,0.030185348631950572,0.7599591578947368,0.15641639766081872,0.8039361929824561,0.9200262222222223,145,0.02559576345984113,0.7606481517241379,0.16020492413793105,0.8780125379310345,0.9568774482758621,151,0.026659604519774012,0.7622322582781457,0.158812178807947,0.8741530927152318,0.9575589668874173,-0.0035257441121765605,0.07021689973277567,0.03753274466519496,0.0023957811471282953,anschlussfaehige_oberflaeche
BTC,dio_14wj,356,3,field_stabil,108,0.01906443071491615,0.7679448148148148,0.14298293518518518,0.7785112685185185,0.9051679166666666,116,0.020476610767872903,0.7708094224137931,0.14638872413793103,0.8792652931034484,0.9564807068965517,132,0.023305084745762712,0.771150446969697,0.14624109848484848,0.8795551439393939,0.9591125303030302,0.004240654030846561,0.10104387542087545,0.0539446136363636,0.0032581632996633025,anschlussfaehige_oberflaeche
BTC,dio_00ly,304,3,field_stabil,94,0.016593115622241836,0.7596166489361702,0.15633470212765957,0.7850989680851064,0.9029366276595744,109,0.019240953221535746,0.7615888256880734,0.1586718348623853,0.882343137614679,0.9550932201834862,101,0.0178319209039548,0.7604687227722772,0.1597008910891089,0.8887950891089109,0.9589726138613861,0.0012388052817129645,0.10369612102380454,0.056035986201811716,0.003366188961449329,anschlussfaehige_oberflaeche
BTC,dio_0oc3,289,3,field_stabil,89,0.015710503089143867,0.7347773370786517,0.18834414606741573,0.7638204719101124,0.8972479775280898,111,0.019593998234774933,0.7368651171171171,0.19283322522522522,0.8754758468468469,0.9552136036036036,89,0.015713276836158193,0.7371540786516854,0.19339091011235957,0.8930485168539326,0.961838213483146,2.7737470143264498e-06,0.12922804494382023,0.0645902359550562,0.005046764044943836,anschlussfaehige_oberflaeche
BTC,dio_17ct,263,3,field_stabil,83,0.014651368049426301,0.754662048192771,0.16619318072289158,0.7711879638554217,0.8935034457831326,100,0.0176522506619594,0.75789202,0.16890447000000003,0.8763797099999999,0.9522319400000001,80,0.014124293785310734,0.7577384875,0.1707227375,0.90133755,0.9601424749999999,-0.0005270742641155669,0.1301495861445784,0.06663902921686737,0.004529556777108423,anschlussfaehige_oberflaeche
BTC,dio_00ja,238,3,field_stabil,94,0.016593115622241836,0.7337537340425533,0.1812422659574468,0.7707460744680851,0.8982057446808511,72,0.012709620476610768,0.7373331666666667,0.18417711111111112,0.8924127777777778,0.9565232222222222,72,0.012711864406779662,0.7361893749999999,0.18597016666666666,0.8997639444444445,0.9608782083333334,-0.0038812512154621746,0.12901786997635944,0.06267246365248225,0.004727900709219857,anschlussfaehige_oberflaeche
