phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig,900,0.991111,0.002222,0.001111,0.005556,0.75979,0.620988,0.1195,0.014375,0.01553,0.839956
expansion,900,0.988889,0.007778,0.0,0.003333,0.756188,0.616247,0.119788,0.021224,0.023145,0.836683
unruhe,900,0.98,0.011111,0.0,0.008889,0.75486,0.613739,0.118818,0.020679,0.019442,0.834055
kippnaehe,900,0.958889,0.016667,0.001111,0.023333,0.750808,0.606893,0.119568,0.02785,0.028639,0.827164
rekopplung,900,0.993333,0.003333,0.001111,0.002222,0.758248,0.620777,0.119988,0.019735,0.020683,0.836624
ruhe_rueckkehr,894,0.996644,0.002237,0.0,0.001119,0.760754,0.623413,0.119762,0.014847,0.016028,0.839033
