token,path_class,movement,base_zone,follow_zone,base_role,follow_role,base_worlds,follow_worlds,base_observations,follow_observations,contacts,worlds,dominant_prev,dominant_prev_count,dominant_next,dominant_next_count,current_role_profile,neighbor_role_profile,self_prev_share,self_next_share,neighbor_coverage,countercore_class
dio_mcm_episode_02ujuqf,junge_oberflaeche,verjuengung_oberflaeche,hoeherer_cluster_uebergang,junge_spur,zentrum_stabil,zentrum_stabil,2,1,6,1,9,3,dio_mcm_episode_02ujuqf,6,dio_mcm_episode_02ujuqf,6,zentrum_stabil:8; offene_variante:1,zentrum_stabil:16; offene_variante:2,0.6666666666666666,0.6666666666666666,1,kurzlebige_oberflaeche
dio_mcm_episode_1pmt8u2,junge_oberflaeche,verjuengung_oberflaeche,rekopplungszone,junge_spur,zentrum_stabil,zentrum_stabil,2,1,4,1,7,4,dio_mcm_episode_1pmt8u2,2,dio_mcm_episode_1pmt8u2,2,zentrum_stabil:7,zentrum_stabil:13; offene_variante:1,0.2857142857142857,0.2857142857142857,1,kurzlebige_oberflaeche
dio_mcm_episode_0ag2osp,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,zentrum_stabil,offene_variante,2,1,4,1,6,4,dio_mcm_episode_1bnkysm,1,dio_mcm_episode_05lquqm,1,zentrum_stabil:5; offene_variante:1,zentrum_stabil:7; offene_variante:5,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_0ultars,junge_oberflaeche,verjuengung_oberflaeche,hoeherer_cluster_uebergang,junge_spur,offene_variante,zentrum_stabil,2,1,4,1,5,3,dio_mcm_episode_0om13wf,3,dio_mcm_episode_0aztxel,2,offene_variante:3; zentrum_stabil:2,offene_variante:5; zentrum_stabil:4; spannungsrand_kippnaehe:1,0.2,0.2,1,kurzlebige_oberflaeche
dio_mcm_episode_1ig1vs0,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,zentrum_stabil,1,1,1,1,5,4,dio_mcm_episode_1t4qm9w,2,dio_mcm_episode_00oqshz,2,zentrum_stabil:4; offene_variante:1,offene_variante:9; zentrum_stabil:1,0.0,0.0,1,kurzlebige_oberflaeche
dio_mcm_episode_1yzsm16,junge_oberflaeche,verjuengung_oberflaeche,offene_bedeutungszone,junge_spur,zentrum_stabil,zentrum_stabil,2,1,2,1,5,4,dio_mcm_episode_1yzsm16,1,dio_mcm_episode_00i7zy5,2,zentrum_stabil:5,zentrum_stabil:6,0.2,0.2,1,kurzlebige_oberflaeche
dio_mcm_episode_00yl137,junge_oberflaeche,stabil,junge_spur,junge_spur,spannungsrand_kippnaehe,zentrum_stabil,1,1,1,1,4,3,dio_mcm_episode_00er6t0,1,dio_mcm_episode_0ultars,1,zentrum_stabil:3; spannungsrand_kippnaehe:1,offene_variante:5; zentrum_stabil:3,0.25,0.25,1,kurzlebige_oberflaeche
dio_mcm_episode_1v9dvrl,junge_oberflaeche,verjuengung_oberflaeche,offene_bedeutungszone,junge_spur,zentrum_stabil,offene_variante,1,1,3,1,3,1,dio_mcm_episode_1v9dvrl,2,dio_mcm_episode_1v9dvrl,2,zentrum_stabil:3,zentrum_stabil:6,0.6666666666666666,0.6666666666666666,1,kurzlebige_oberflaeche
dio_mcm_episode_1xp8xyu,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,spannungsrand_kippnaehe,zentrum_stabil,1,1,3,1,3,1,dio_mcm_episode_1xp8xyu,2,dio_mcm_episode_1xp8xyu,2,spannungsrand_kippnaehe:1; offene_variante:1; zentrum_stabil:1,zentrum_stabil:3; offene_variante:2; spannungsrand_kippnaehe:1,0.6666666666666666,0.6666666666666666,1,kurzlebige_oberflaeche
dio_mcm_episode_0ml8r41,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,offene_variante,offene_variante,1,1,2,1,2,1,dio_mcm_episode_0mb95f2,1,dio_mcm_episode_0ml8r41,1,offene_variante:1; zentrum_stabil:1,zentrum_stabil:3; offene_variante:1,0.5,0.5,1,kurzlebige_oberflaeche
