passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,node,hit_count,source_profile,role_profile,zone_profile,effect_profile,tone_profile,coupling_profile,world_profile,avg_rekopplung,avg_strain,avg_sensory,reading
1,0,0,0,0,0,0,1jx2k4i,53,404_SINNESACHSEN_EPISODENKARTE_GEGENPROBE.csv:35 | 855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv:6 | 950_MCM_VERDICHTUNGSZONEN_DRIFTLUPE_SIEBTE_WELTGRUPPE.csv:3 | 949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE.csv:2 | 958_MCM_NICHTBRUECKEN_ORDNUNG_SIEBTE_WELT.csv:2,zentrum_stabil:14,stabile_bedeutungsinsel:13 | hoeherer_cluster_uebergang:3 | junge_spur:2 | stabile_insel:1 | nichtbruecke_zentrum_getragen:1,inner_effect_stable:22 | inner_effect_carried_unrest:11 | inner_effect_tipping:4,bruchton:2,offene_klangkopplung:2,KAS_2024_5M_2000:16 | BTC_2025_1H_2000:9 | KAS_2024_1H_2000:6 | KAS_2024_5M:5 | BTC_2024_5M:5,0.667662,0.181723,0.846017,zentrum_getragen_mit_stabiler_rekopplung
1,0,0,0,0,0,0,1xx3u1e,43,835_MARKTMELODIE_MCM_KOPPLUNG.csv:33 | 854_MCM_VERDICHTUNGSZONEN.csv:5 | 855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE.csv:5,zentrum_stabil:9 | offene_variante:1,stabile_bedeutungsinsel:4 | hoeherer_cluster_uebergang:2 | junge_spur:2 | rekopplungszone:2,inner_effect_stable:27 | inner_effect_carried_unrest:6,trageton:9 | aufhellungston:8 | bruchton:6 | spannungston:6 | ruheton:2,einzelkontakt:15 | tragende_klangkopplung:12 | offene_klangkopplung:6,PAXG_2025_5M:5 | PAXG_2024_5M:5 | XRP_2024_5M:3 | XRP_2025_5M:2 | SYNTH_RAND:2,0.707676,0.155181,0.842712,zentrum_getragen_mit_stabiler_rekopplung
