world,episodes,highload_episodes,highload_threshold,zentrum,offen,rand_kipp,rekopplungsnaehe,high_zentrum,high_offen,high_rand_kipp,high_rekopplungsnaehe,auditory_loudness,visual_sharpness,visual_blur,raw_field_intake,adapted_field_intake,intake_reduction,adaptation_ratio,felt_pressure,felt_relaxation,mcm_tension,mcm_coherence,mcm_asymmetry,high_auditory_loudness,high_visual_sharpness,high_visual_blur,high_raw_field_intake,high_adapted_field_intake,high_intake_reduction,high_adaptation_ratio,high_felt_pressure,high_felt_relaxation,high_mcm_tension,high_mcm_coherence,high_mcm_asymmetry
SYNTH_RAND_A,6994,700,0.118534,0.853303,0.105519,0.004289,0.036889,0.211429,0.701429,0.042857,0.044286,0.080653,0.789215,0.210785,0.050999,0.044419,0.00658,0.870978,0.057925,0.851395,0.044419,0.740394,-0.021256,0.35512,0.62515,0.37485,0.199832,0.165142,0.034689,0.826407,0.170872,0.756553,0.165142,0.60489,-0.051245
KAS_2024_5M,1994,200,0.224216,0.378134,0.444333,0.02006,0.157472,0.0,0.81,0.19,0.0,0.213587,0.649151,0.350849,0.127484,0.108574,0.01891,0.851666,0.117595,0.791599,0.108574,0.6089,0.00099,0.515728,0.610033,0.389967,0.293959,0.238644,0.055315,0.811827,0.234047,0.716574,0.238644,0.521442,0.115441
DOGE_2025_5M,9994,1000,0.222224,0.606064,0.261457,0.01621,0.11627,0.002,0.826,0.151,0.021,0.212385,0.65836,0.34164,0.126449,0.107829,0.01862,0.852746,0.11606,0.794482,0.107829,0.611917,-0.002199,0.513921,0.632074,0.367926,0.293651,0.238987,0.054664,0.813846,0.234963,0.715179,0.238987,0.508892,0.089145
XRP_2025_5M,9994,1000,0.219657,0.61637,0.256154,0.01611,0.111367,0.0,0.841,0.145,0.014,0.210644,0.659838,0.340162,0.125413,0.106967,0.018446,0.852918,0.114997,0.795576,0.106967,0.611641,0.000492,0.52038,0.633658,0.366342,0.297638,0.241979,0.055659,0.812996,0.237906,0.71277,0.241979,0.503285,0.098602
