world,feature,fixed_state,relative_state,state_change,fixed_p95_abs,relative_p95_abs,fixed_saturation_ratio,relative_saturation_ratio,fixed_flat_ratio,relative_flat_ratio,fixed_mean_abs,relative_mean_abs
BTC2025_QUIET,sehen.form_flow,tragbar,tragbar,tragbar->tragbar,0.1650601103418295,0.5469531547262121,0.0,0.0,0.26925,0.079,0.05774821281137126,0.20015522473904673
BTC2025_QUIET,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.6202558456147363,0.468,0.0,0.48775,0.03425,0.4900833333333333,0.27025988842495313
BTC2025_QUIET,sehen.form_change,tragbar,tragbar,tragbar->tragbar,0.20714499355604737,0.5211625841625446,0.0,0.0,0.24525,0.0955,0.06758710527889537,0.17696040785177874
BTC2025_QUIET,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.6489159127012288,0.4896960603399538,0.018,0.0,0.04925,0.0585,0.2533209026018631,0.20199936493716156
BTC2025_QUIET,hoeren.energy_shift,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.5511130397715893,0.188,0.0,0.0275,0.06775,0.5125518805431749,0.20681382000158094
BTC2025_QUIET,mcm_feldwirkung.mcm_coherence,tragbar,tragbar,tragbar->tragbar,0.7716866846381045,0.7765283320157985,0.00125,0.0,0.00725,0.00025,0.4338741442674626,0.6079998583203705
BTC2025_QUIET,mcm_feldwirkung.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.4737087702787196,0.2786367654714317,0.0,0.0,0.00375,0.00325,0.22812182336055306,0.1225936758664179
BTC2025_QUIET,mcm_feldwirkung.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.32457055356293385,0.3028253530911614,0.0,0.0,0.0845,0.11475,0.14694434451883498,0.113994409070906
BTC2025_STRESS,sehen.form_flow,tragbar,tragbar,tragbar->tragbar,0.3240733145603604,0.551082984084132,0.00275,0.00225,0.139,0.07125,0.1114256810133862,0.1962443033608698
BTC2025_STRESS,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.6093097577484805,0.4875,0.00025,0.51125,0.039,0.4880833333333333,0.2607168817315246
BTC2025_STRESS,sehen.form_change,tragbar,tragbar,tragbar->tragbar,0.3867075779190191,0.5511086882230386,0.00425,0.0025,0.1245,0.0755,0.1300629179474394,0.19306776432236677
BTC2025_STRESS,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.5446780426390825,0.4861064001004589,0.0105,0.0,0.06275,0.064,0.21279125505890742,0.20266361364392116
BTC2025_STRESS,hoeren.energy_shift,grenznah,tragbar,grenznah->tragbar,1.0,0.5511169829647055,0.09075,0.0,0.0305,0.06,0.41934512566266596,0.2212790555042973
BTC2025_STRESS,mcm_feldwirkung.mcm_coherence,tragbar,tragbar,tragbar->tragbar,0.8361412162186669,0.7811727039179912,0.001,0.0,0.00475,0.00025,0.47293271120828684,0.6066935020480951
BTC2025_STRESS,mcm_feldwirkung.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.4094937770417869,0.27062240454713005,0.0,0.0,0.00325,0.00275,0.1921243931000373,0.12558055808087265
BTC2025_STRESS,mcm_feldwirkung.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.30528182363242357,0.29651421314501775,0.0,0.0,0.09825,0.1205,0.1280557273208383,0.11160020634829566
SOL2024_QUIET,sehen.form_flow,tragbar,tragbar,tragbar->tragbar,0.396340712934319,0.5510906635692889,0.00125,0.0,0.102,0.05575,0.1417017431382175,0.2074911964414728
SOL2024_QUIET,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.6196740159508621,0.4595,0.0,0.46025,0.041,0.4995833333333333,0.2606855369654896
