source,family,bridge_type,anchor_role_analogy,total_ticks,near_ticks,before_ticks,after_ticks,all_stable_share,all_unrest_share,normal_stable_share,near_stable_share,normal_strain,near_strain,strain_delta,normal_trust,near_trust,trust_delta,normal_afterimage,near_afterimage,embedding_delta,before_worlds,after_worlds
821_BLOCK_K_ZWEITE_RANDFAMILIE_BRUECKENTYPEN,dio_104t,balancierte_bruecke,kernnaher_inselanker_aehnlich,3708,13,11,2,0.9854368932038835,0.014563106796116505,0.9856601731601732,0.9230769230769231,0.14850760903679655,0.1525466923076923,0.004039083270895749,0.8390457337662338,0.841965076923077,0.0029193431568431683,0.42797017884199134,0.40536446153846156,-0.022411408160589397,"kontrolliert_2023_positive_expansion_10k_5m_solusdt:7,kontrolliert_btc_2025_5m_10k_btcusdt:2,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1","kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_104t,balancierte_bruecke,kernnaher_inselanker_aehnlich,3708,9,1,8,0.9854368932038835,0.014563106796116505,0.9854014598540146,1.0,0.14850257366855907,0.15492233333333333,0.0064197596647742605,0.839049590429846,0.8417181111111112,0.0026685206812652185,0.42793555717761556,0.41378288888888887,-0.030993815558259086,kontrolliert_sol_2025_5m_test1_2000_solusdt:1,"kontrolliert_2023_negative_stress_10k_5m_solusdt:4,kontrolliert_btc_2025_5m_10k_btcusdt:3,kontrolliert_2023_positive_expansion_10k_5m_solusdt:1"
818_BLOCK_K_BRUECKENTYPEN_VERGLEICH,dio_155c,balancierte_bruecke,kernnaher_inselanker_aehnlich,2612,14,8,6,0.9808575803981623,0.01914241960183767,0.9807544264819091,1.0,0.15548068899153195,0.14953992857142856,-0.005940760420103386,0.8172196585835257,0.8225547142857143,0.005335055702188507,0.3591989599692071,0.3527585714285714,-0.015681780589464345,"kontrolliert_kas_2024_5m_test1_2000_kasusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1","kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
821_BLOCK_K_ZWEITE_RANDFAMILIE_BRUECKENTYPEN,dio_155c,balancierte_bruecke,kernnaher_inselanker_aehnlich,2612,18,13,5,0.9808575803981623,0.01914241960183767,0.9807247494217425,1.0,0.15548076599845798,0.150849,-0.004631765998457965,0.817126865844256,0.8347416111111111,0.017614745266855136,0.3588556580570547,0.40366338888888886,-0.001031478827208221,"kontrolliert_2023_negative_stress_10k_5m_solusdt:4,kontrolliert_2026_sideways_10k_5m_solusdt:3,kontrolliert_btc_2025_5m_10k_btcusdt:3,kontrolliert_btc_2024_5m_test1_2000_btcusdt:1,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_sol_2025_5m_test1_2000_solusdt:1","kontrolliert_2023_negative_stress_10k_5m_solusdt:2,kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:1"
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_155c,balancierte_bruecke,kernnaher_inselanker_aehnlich,2612,27,5,22,0.9808575803981623,0.01914241960183767,0.9810444874274662,0.9629629629629629,0.15544847388781433,0.1554845925925926,3.6118704778265176e-05,0.8171750735009672,0.8242545925925926,0.007079519091625408,0.359061215860735,0.36904722222222225,-0.005897948278529852,"kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1","kontrolliert_2023_negative_stress_10k_5m_solusdt:6,kontrolliert_btc_2025_5m_10k_btcusdt:5,kontrolliert_sol_2024_5m_test1_2000_solusdt:4,kontrolliert_2023_positive_expansion_10k_5m_solusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1,kontrolliert_sol_2025_5m_test1_2000_solusdt:1"
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_0h9h,balancierte_bruecke,kernnaher_inselanker_aehnlich,1623,13,5,8,1.0,0.0,1.0,1.0,0.13823485776397515,0.13870253846153846,0.00046768069756331077,0.7938768099378882,0.7794514615384615,-0.014425348399426774,0.2880861527950311,0.2554605384615385,-0.028380845210224548,"kontrolliert_2023_negative_stress_10k_5m_solusdt:2,kontrolliert_btc_2024_5m_test1_2000_btcusdt:1,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1","kontrolliert_kas_2024_5m_test1_2000_kasusdt:2,kontrolliert_btc_2024_5m_test1_2000_btcusdt:1,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_sol_2025_5m_test1_2000_solusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
825_BLOCK_K_DRITTE_RANDFAMILIE_BRUECKENTYPEN,dio_00ly,balancierte_bruecke,kernnaher_inselanker_aehnlich,968,11,4,7,1.0,0.0,1.0,1.0,0.1357991421107628,0.13864072727272728,0.002841585161964477,0.7626401922675027,0.7628508181818181,0.000210625914315421,0.2077360867293626,0.2163471818181818,-0.021926378056426388,"kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:1,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_2026_sideways_10k_5m_solusdt:1","kontrolliert_kas_2024_5m_test1_2000_kasusdt:2,kontrolliert_2023_negative_stress_10k_5m_solusdt:2,kontrolliert_btc_2024_5m_test1_2000_btcusdt:1,kontrolliert_paxg_2024_5m_test1_2000_paxgusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
818_BLOCK_K_BRUECKENTYPEN_VERGLEICH,dio_17ct,balancierte_bruecke,kernnaher_inselanker_aehnlich,817,10,1,9,1.0,0.0,1.0,1.0,0.14673529615861214,0.1472108,0.0004755038413878643,0.7572565080545229,0.7857643999999999,0.028507891945476982,0.20889445477075588,0.2569862,-0.01006738161090448,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,"kontrolliert_2023_negative_stress_10k_5m_solusdt:3,kontrolliert_2026_sideways_10k_5m_solusdt:3,kontrolliert_sol_2024_5m_test1_2000_solusdt:1,kontrolliert_sol_2025_5m_test1_2000_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1"
821_BLOCK_K_ZWEITE_RANDFAMILIE_BRUECKENTYPEN,dio_17ct,balancierte_bruecke,kernnaher_inselanker_aehnlich,817,14,6,8,1.0,0.0,1.0,1.0,0.14666014819427148,0.1513852142857143,0.0047250660914428255,0.7573055653798256,0.7748055,0.017499934620174407,0.20918261519302614,0.22671764285714285,-0.011633495690268614,"kontrolliert_2026_sideways_10k_5m_solusdt:3,kontrolliert_btc_2024_5m_test1_2000_btcusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1,kontrolliert_btc_2025_5m_10k_btcusdt:1","kontrolliert_btc_2025_5m_10k_btcusdt:3,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_btc_2025_1h_test1_2000_btcusdt:1,kontrolliert_sol_2025_5m_test1_2000_solusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1"
821_BLOCK_K_ZWEITE_RANDFAMILIE_BRUECKENTYPEN,dio_0pz6,balancierte_bruecke,kernnaher_inselanker_aehnlich,771,11,6,5,1.0,0.0,1.0,1.0,0.13086749736842107,0.12994018181818182,-0.0009273155502392549,0.7591121118421053,0.7568762727272728,-0.002235839114832494,0.21630171052631578,0.18792754545454546,-0.027224464360047995,"kontrolliert_kas_2024_5m_test1_2000_kasusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_2026_sideways_test1_2000_5m_solusdt:1,kontrolliert_2023_negative_stress_10k_5m_solusdt:1","kontrolliert_sol_2024_5m_test1_2000_solusdt:2,kontrolliert_2026_sideways_10k_5m_solusdt:2,kontrolliert_btc_2024_5m_test1_2000_btcusdt:1"
