landscape,token,short_token,world,segments,duration_sum,duration_avg,duration_max,direct_pair_enters,direct_pair_exits,direct_pair_contact_share,dominant_enter,dominant_exit,enter_profile,exit_profile,rekopplung_exit_avg,strain_exit_avg,tension_exit_avg
894_basis,dio_mcm_episode_0b7nep9,0b7nep9,EXPANSION2023,2,2965.000000,1482.500000,2034.000000,1,0,0.250000,dio_mcm_episode_0ykar6i,dio_mcm_episode_0fljihc,0ykar6i:1; 1fej2vb:1,0fljihc:1; 0rz7ra9:1,-0.073158,0.096911,0.095177
894_basis,dio_mcm_episode_0b7nep9,0b7nep9,QUIET2026,6,3271.000000,545.166667,1972.000000,0,0,0.000000,dio_mcm_episode_00nzcuc,dio_mcm_episode_00nzcuc,00nzcuc:5; 17c7qwp:1,00nzcuc:4; 0tosxof:1; 0mm85pw:1,-0.026520,0.020139,0.058119
894_basis,dio_mcm_episode_0b7nep9,0b7nep9,STRESS2025,10,2267.000000,226.700000,1141.000000,1,1,0.100000,dio_mcm_episode_0w4x7xs,dio_mcm_episode_0w4x7xs,0w4x7xs:4; 00nzcuc:3; 1f4jh6c:2; 0ykar6i:1,0w4x7xs:5; 00nzcuc:2; 0ykar6i:1; 0mw7rev:1; -:1,-0.084240,-0.000463,0.007138
901_vergleich,dio_mcm_episode_0b7nep9,0b7nep9,DOGE_2024_5M,24,2599.000000,108.291667,1064.000000,24,22,0.958333,dio_mcm_episode_0ykar6i,dio_mcm_episode_0ykar6i,0ykar6i:24,0ykar6i:22; 1pmt8u2:1; 0mw7rev:1,0.006771,-0.009890,-0.017622
901_vergleich,dio_mcm_episode_0b7nep9,0b7nep9,DOGE_2025_5M,2,532.000000,266.000000,471.000000,0,0,0.000000,dio_mcm_episode_01s42m6,dio_mcm_episode_01s42m6,01s42m6:2,01s42m6:1; 0li6lg1:1,-0.086663,0.102040,0.180378
901_vergleich,dio_mcm_episode_0b7nep9,0b7nep9,PAXG_2025_5M,23,1696.000000,73.739130,607.000000,10,12,0.478261,dio_mcm_episode_0ykar6i,dio_mcm_episode_0ykar6i,0ykar6i:10; 1eju9g0:10; 1f4jh6c:1; 17c7qwp:1; 0ybr5e3:1,0ykar6i:12; 1eju9g0:10; 0ybr5e3:1,0.013448,-0.021765,-0.046023
901_vergleich,dio_mcm_episode_0b7nep9,0b7nep9,XRP_2024_5M,12,1898.000000,158.166667,931.000000,9,10,0.791667,dio_mcm_episode_0ykar6i,dio_mcm_episode_0ykar6i,0ykar6i:9; 01s42m6:1; 00nzcuc:1; 0w4x7xs:1,0ykar6i:10; 17eveju:1; 0w4x7xs:1,0.013920,-0.019732,-0.042645
901_vergleich,dio_mcm_episode_0b7nep9,0b7nep9,XRP_2025_5M,9,822.000000,91.333333,499.000000,1,0,0.055556,dio_mcm_episode_0w4x7xs,dio_mcm_episode_0w4x7xs,0w4x7xs:8; 0ykar6i:1,0w4x7xs:7; 0mw7rev:2,-0.026673,0.032881,0.060612
901_vergleich,dio_mcm_episode_0ykar6i,0ykar6i,DOGE_2024_5M,24,464.000000,19.333333,96.000000,22,24,0.958333,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,0b7nep9:22; 1qqnvqf:1; 0geqqo3:1,0b7nep9:24,-0.044609,0.046357,0.064246
901_vergleich,dio_mcm_episode_0ykar6i,0ykar6i,PAXG_2025_5M,21,1319.000000,62.809524,551.000000,12,10,0.523810,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,0b7nep9:12; 0ybr5e3:9,0b7nep9:10; 0ybr5e3:9; 1pmt8u2:1; -:1,-0.037888,-0.002129,-0.004741
901_vergleich,dio_mcm_episode_0ykar6i,0ykar6i,XRP_2024_5M,18,1741.000000,96.722222,944.000000,10,9,0.527778,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,0b7nep9:10; 0geqqo3:8,0b7nep9:9; 0geqqo3:9,-0.035859,0.037439,0.072315
901_vergleich,dio_mcm_episode_0ykar6i,0ykar6i,XRP_2025_5M,1,32.000000,32.000000,32.000000,0,1,0.500000,dio_mcm_episode_1qqnvqf,dio_mcm_episode_0b7nep9,1qqnvqf:1,0b7nep9:1,-0.053506,0.064302,0.046173
