asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
XRP,2024_5M_10K,381,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (13/381),0.007740,-0.002027,-0.005899
XRP,2025_5M_10K,309,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (20/309),0.009142,-0.007659,-0.008836
