axis,world,events,pair_events,tick_min,tick_q1,tick_median,tick_q3,tick_max,phase_profile,dominant_effects,post_states,avg_rekopplung,avg_strain,avg_pressure_delta,avg_rekopplung_delta,reading
183drjy<->1t5bcxp,SOL_2023_NEG_STRESS_10K_RECEPTOR,594,0,116.0,2581.0,4719.0,7537.0,9983.0,frueh_mitte:180 | frueh:150 | spaet:150 | spaet_mitte:114,tragend_unruhig:312 | kippend:268 | stabil:14,offen_getragen_nach_kontaktinsel:280 | rekoppelt_nach_kontaktinsel:249 | kippnah_nach_kontaktinsel:63 | bleibt_kippnah_nach_kontaktinsel:2,0.600829,0.27396,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,SOL_2026_STABLE_5K_RECEPTOR,352,0,437.0,1491.0,2679.0,3804.5,4953.0,frueh:94 | spaet_mitte:88 | spaet:86 | frueh_mitte:84,tragend_unruhig:190 | kippend:158 | stabil:4,offen_getragen_nach_kontaktinsel:166 | rekoppelt_nach_kontaktinsel:138 | kippnah_nach_kontaktinsel:46 | bleibt_kippnah_nach_kontaktinsel:2,0.601709,0.276293,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,SOL_2024_SIDEWAYS_5K_RECEPTOR,298,0,320.0,1575.0,2436.0,3623.0,4990.0,frueh_mitte:90 | spaet_mitte:72 | frueh:70 | spaet:66,tragend_unruhig:162 | kippend:132 | stabil:4,offen_getragen_nach_kontaktinsel:172 | rekoppelt_nach_kontaktinsel:103 | kippnah_nach_kontaktinsel:21 | bleibt_kippnah_nach_kontaktinsel:2,0.600161,0.273573,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,SOL_2025_STRESS_5K_RECEPTOR,268,0,123.0,979.0,2271.5,3707.0,4984.0,frueh:84 | frueh_mitte:64 | spaet:62 | spaet_mitte:58,tragend_unruhig:150 | kippend:110 | stabil:8,offen_getragen_nach_kontaktinsel:151 | rekoppelt_nach_kontaktinsel:96 | kippnah_nach_kontaktinsel:21,0.601934,0.272486,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,BTC_2024_1H_RECEPTOR,76,0,79.0,598.5,1110.5,1662.25,1991.0,spaet_mitte:21 | spaet:21 | frueh:18 | frueh_mitte:16,tragend_unruhig:39 | kippend:36 | stabil:1,offen_getragen_nach_kontaktinsel:52 | kippnah_nach_kontaktinsel:18 | rekoppelt_nach_kontaktinsel:6,0.600351,0.278593,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,SOL_2024_1H_RECEPTOR,70,0,97.0,462.75,1153.5,1598.0,1993.0,spaet:27 | frueh:22 | spaet_mitte:11 | frueh_mitte:10,tragend_unruhig:36 | kippend:33 | stabil:1,offen_getragen_nach_kontaktinsel:51 | kippnah_nach_kontaktinsel:13 | rekoppelt_nach_kontaktinsel:6,0.596858,0.27838,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,SOL_2024_5M_RECEPTOR,61,0,102.0,477.0,1116.0,1440.0,1986.0,spaet_mitte:19 | frueh:18 | spaet:13 | frueh_mitte:11,kippend:33 | tragend_unruhig:28,offen_getragen_nach_kontaktinsel:42 | kippnah_nach_kontaktinsel:13 | rekoppelt_nach_kontaktinsel:6,0.596968,0.280265,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,KAS_2024_1H_RECEPTOR,58,0,166.0,523.0,1039.0,1513.0,1945.0,frueh:18 | spaet:15 | spaet_mitte:13 | frueh_mitte:12,kippend:32 | tragend_unruhig:26,offen_getragen_nach_kontaktinsel:37 | kippnah_nach_kontaktinsel:16 | rekoppelt_nach_kontaktinsel:5,0.593267,0.284944,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,KAS_2024_5M_RECEPTOR,42,0,844.0,1161.0,1376.5,1544.75,1993.0,frueh_mitte:14 | spaet_mitte:13 | frueh:9 | spaet:6,tragend_unruhig:24 | kippend:18,offen_getragen_nach_kontaktinsel:31 | kippnah_nach_kontaktinsel:10 | rekoppelt_nach_kontaktinsel:1,0.599764,0.274579,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,BTC_2024_5M_RECEPTOR,40,0,692.0,1096.25,1453.0,1731.5,1961.0,spaet:14 | frueh_mitte:9 | spaet_mitte:9 | frueh:8,tragend_unruhig:21 | kippend:19,offen_getragen_nach_kontaktinsel:25 | kippnah_nach_kontaktinsel:11 | rekoppelt_nach_kontaktinsel:4,0.598214,0.280545,0.0,0.0,knoten_naehe_ohne_paarverdichtung
183drjy<->1t5bcxp,POS_EXPANSION_2023,17,6,228.0,328.0,341.0,572.0,653.0,frueh:7 | spaet:6 | frueh_mitte:4,rekoppelnde_lage:9 | offene_lage:3 | bewegungsbruch:2 | druck_lage:2 | gehaltene_form:1,rekoppelnde_lage:11 | bewegungsbruch:3 | druck_lage:1 | gehaltene_form:1 | offene_lage:1,0.0,0.0,0.00694,-0.00574,zeitlich_lokalisierte_achse
183drjy<->1t5bcxp,EXT_EXPANSION_2023,14,8,394.0,424.25,508.0,516.5,660.0,frueh_mitte:8 | frueh:4 | spaet:2,rekoppelnde_lage:8 | druck_lage:3 | offene_lage:2 | bewegungsbruch:1,rekoppelnde_lage:8 | bewegungsbruch:5 | offene_lage:1,0.0,0.0,0.00034,-0.00526,zeitlich_lokalisierte_achse
183drjy<->1t5bcxp,NEG_STRESS_2024,8,0,700.0,762.25,967.0,974.25,977.0,spaet:5 | frueh:3,rekoppelnde_lage:3 | offene_lage:3 | bewegungsbruch:1 | druck_lage:1,offene_lage:4 | rekoppelnde_lage:2 | bewegungsbruch:2,0.0,0.0,-0.056982,0.019055,knoten_naehe_ohne_paarverdichtung
