type;group;world;worlds;total_ticks;max_duration;long_segments;strained_segments;carried_tick_share;avg_carry;avg_rekopplung;avg_strain;avg_afterimage;avg_temporal_trust;dominant_pattern;source
summary;kurz_2k;GROUP;4;1994.0;1271.5;0.75;1.0;0.9994984954864594;0.5106915887662988;0.6948877429789369;0.155653847668004;0.13868675288365095;0.5918490468906721;kurz_getragen -> spannungsbruch -> lang_getragen;-
summary;lang_10k;GROUP;4;9994.0;4558.25;3.25;3.5;0.9996497898739244;0.5370605261907144;0.7057360212627577;0.15264174579747847;0.17303728752251352;0.7044587351911147;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;-
summary;asset_mixed_2k;GROUP;4;1994.0;1340.25;1.0;1.0;0.9994984954864594;0.511256368104313;0.6966823440320963;0.15511309779338014;0.13879271827983952;0.5953807631644934;lang_getragen -> spannungsbruch -> kurz_getragen;-
detail;kurz_2k;kontrolliert_sol_2025_5m_test1_2000_solusdt;1;1994;1093;1;1;0.9994984954864594;0.508059962888666;0.692735110330993;0.15716579087261787;0.1224256594784353;0.5855164874623872;kurz_getragen -> spannungsbruch -> lang_getragen;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_sol_2025_5m_test1_2000_solusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_2k;kontrolliert_btc_2025_1h_test1_2000_btcusdt;1;1994;854;0;2;0.9989969909729187;0.5148834483450351;0.6979195697091275;0.15397360982948846;0.16322759779338017;0.6049330010030091;kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_btc_2025_1h_test1_2000_btcusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_2k;kontrolliert_kas_2024_5m_test1_2000_kasusdt;1;1994;1994;1;0;1.0;0.5098698219658977;0.6939933796389167;0.1561801900702106;0.13095517853560681;0.5892169769307924;lang_getragen;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_kas_2024_5m_test1_2000_kasusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_2k;kontrolliert_2026_sideways_test1_2000_5m_solusdt;1;1994;1145;1;1;0.9994984954864594;0.5099531218655968;0.6949029122367101;0.15529579989969908;0.13813857572718155;0.5877297221664995;kurz_getragen -> spannungsbruch -> lang_getragen;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_2026_sideways_test1_2000_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_2023_negative_stress_10k_5m_solusdt;1;9994;5176;3;2;0.9997998799279568;0.5374608957374425;0.7059521623974384;0.15288528467080248;0.1767536405843506;0.7068354972983791;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_fieldtime_controlled\lang_10k\kontrolliert_2023_negative_stress_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_2023_positive_expansion_10k_5m_solusdt;1;9994;4514;4;4;0.9995997598559135;0.5362232078246948;0.7053783463077846;0.15301433980388232;0.1707276330798479;0.7020176854112468;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_fieldtime_controlled\lang_10k\kontrolliert_2023_positive_expansion_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_2026_sideways_10k_5m_solusdt;1;9994;5929;2;3;0.9996998198919351;0.5376194085451271;0.7057799244546729;0.15264242675605363;0.1726665869521713;0.7066567067240344;kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_fieldtime_controlled\lang_10k\kontrolliert_2026_sideways_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_btc_2025_5m_10k_btcusdt;1;9994;2614;4;5;0.999499699819892;0.5369385926555933;0.7058336518911347;0.1520249319591755;0.17200128947368423;0.7023250513307986;lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_fieldtime_controlled\lang_10k\kontrolliert_btc_2025_5m_10k_btcusdt\dio_mini_lauf_1\episodes.csv
detail;asset_mixed_2k;kontrolliert_sol_2024_5m_test1_2000_solusdt;1;1994;1172;1;2;0.9989969909729187;0.5099044543630894;0.6933304127382146;0.15731214643931796;0.1326505997993982;0.5903358565697091;lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_sol_2024_5m_test1_2000_solusdt\dio_mini_lauf_1\episodes.csv
detail;asset_mixed_2k;kontrolliert_btc_2024_5m_test1_2000_btcusdt;1;1994;1172;1;1;0.9994984954864594;0.5124642552657974;0.6956983009027081;0.15496981945837512;0.14222862387161486;0.5977868655967903;lang_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_btc_2024_5m_test1_2000_btcusdt\dio_mini_lauf_1\episodes.csv
detail;asset_mixed_2k;kontrolliert_kas_2024_5m_test1_2000_kasusdt;1;1994;1994;1;0;1.0;0.5098698219658977;0.6939933796389167;0.1561801900702106;0.13095517853560681;0.5892169769307924;lang_getragen;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_kas_2024_5m_test1_2000_kasusdt\dio_mini_lauf_1\episodes.csv
detail;asset_mixed_2k;kontrolliert_paxg_2024_5m_test1_2000_paxgusdt;1;1994;1023;1;1;0.9994984954864594;0.5127869408224673;0.7037072828485456;0.15199023520561686;0.14933647091273822;0.604183353560682;lang_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_paxg_2024_5m_test1_2000_paxgusdt\dio_mini_lauf_1\episodes.csv
