world,feature,mean,mean_abs,p50_abs,p95_abs,p99_abs,saturation_ratio,flat_ratio,feature_state
BTC2025_QUIET,sehen.form_flow,0.004424987756654765,0.20015522473904673,0.15505483521227642,0.5469531547262121,0.7530976241295214,0.0,0.079,tragbar
BTC2025_QUIET,sehen.form_stability,0.06883987008008961,0.27025988842495313,0.25208419133041626,0.6202558456147363,0.7936712559625845,0.0,0.03425,tragbar
BTC2025_QUIET,sehen.form_change,-1.3759935778653606e-05,0.17696040785177874,0.1302537081531278,0.5211625841625446,0.7319324690056254,0.0,0.0955,tragbar
BTC2025_QUIET,hoeren.energy_tone,-0.008455805271150094,0.20199936493716156,0.17113375247226947,0.4896960603399538,0.7186977615758174,0.0,0.0585,tragbar
BTC2025_QUIET,hoeren.energy_shift,0.00012743497522155775,0.20681382000158094,0.16698313383009017,0.5511130397715893,0.7655098494295964,0.0,0.06775,tragbar
BTC2025_QUIET,mcm_feldwirkung.mcm_coherence,0.6079998583203705,0.6079998583203705,0.6073115828533229,0.7765283320157985,0.8183260331439848,0.0,0.00025,tragbar
BTC2025_QUIET,mcm_feldwirkung.mcm_tension,0.1225936758664179,0.1225936758664179,0.102973800815915,0.2786367654714317,0.402587723530114,0.0,0.00325,tragbar
BTC2025_QUIET,mcm_feldwirkung.mcm_asymmetry,0.0004420747679553301,0.113994409070906,0.08993271355155617,0.3028253530911614,0.4576185854330619,0.0,0.11475,tragbar
BTC2025_STRESS,sehen.form_flow,-0.009901056019240129,0.1962443033608698,0.14768913184100504,0.551082984084132,0.8094673471386788,0.00225,0.07125,tragbar
BTC2025_STRESS,sehen.form_stability,0.05216502051271527,0.2607168817315246,0.23700009136382297,0.6093097577484805,0.8004660508663142,0.00025,0.039,tragbar
BTC2025_STRESS,sehen.form_change,-0.001248048346118868,0.19306776432236677,0.14418939590644597,0.5511086882230386,0.7982038854632454,0.0025,0.0755,tragbar
BTC2025_STRESS,hoeren.energy_tone,-0.005259547317235131,0.20266361364392116,0.17327595109973876,0.4861064001004589,0.7528908104675248,0.0,0.064,tragbar
BTC2025_STRESS,hoeren.energy_shift,0.0010056892715056725,0.2212790555042973,0.18607212825393754,0.5511169829647055,0.7372705252116497,0.0,0.06,tragbar
BTC2025_STRESS,mcm_feldwirkung.mcm_coherence,0.6066935020480951,0.6066935020480951,0.6048844379718925,0.7811727039179912,0.8294525512615244,0.0,0.00025,tragbar
BTC2025_STRESS,mcm_feldwirkung.mcm_tension,0.12558055808087265,0.12558055808087265,0.10778390278564834,0.27062240454713005,0.41170883776632733,0.0,0.00275,tragbar
BTC2025_STRESS,mcm_feldwirkung.mcm_asymmetry,-0.004855268974868575,0.11160020634829566,0.08772306770343538,0.29651421314501775,0.4834678529989104,0.0,0.1205,tragbar
SOL2024_QUIET,sehen.form_flow,0.004226286001251674,0.2074911964414728,0.1655010740546989,0.5510906635692889,0.7239275232331536,0.0,0.05575,tragbar
SOL2024_QUIET,sehen.form_stability,0.04813869037148658,0.2606855369654896,0.2369294583044892,0.6196740159508621,0.7832463086757976,0.0,0.041,tragbar
SOL2024_QUIET,sehen.form_change,0.0006585348343217872,0.20496004458274392,0.16107530350835914,0.5510591858832669,0.7247016511932652,0.0,0.082,tragbar
