source,target,relation,world,duration,within_rekopplung_delta,within_strain_delta,within_loudness_delta,exit_rekopplung_delta,exit_strain_delta,exit_loudness_delta,exit_phase
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,36.0,0.06720700000000002,-0.03950999999999999,-0.187195,-0.013630000000000031,-0.006551000000000001,0.006173999999999999,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,114.0,0.15076,-0.168006,-0.752197,-0.02242999999999995,-0.012477000000000016,-0.05683800000000001,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,10.0,0.07268599999999992,-0.079987,-0.23814899999999997,0.006153999999999993,-0.003154999999999991,-0.04819,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,9.0,0.09417799999999998,-0.13132800000000003,-0.384258,0.007703000000000015,-0.0024170000000000025,0.047986,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,2.0,0.002222999999999975,-0.028894000000000003,-0.09143300000000001,0.028222999999999998,-0.0023200000000000165,0.08008200000000001,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,219.0,0.078704,-0.095558,-0.595259,0.010059999999999958,-0.013648999999999994,0.031168999999999995,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,3.0,0.09213499999999997,-0.071129,-0.320473,-0.005689999999999973,-0.03631999999999999,-0.06093800000000002,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,82.0,0.050971999999999906,-0.07486299999999999,-0.361422,-0.007498000000000005,0.0037709999999999966,0.154634,oeffnend_belastend
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,34.0,0.13261200000000006,-0.13753499999999996,-0.6552039999999999,-0.005508999999999986,-0.010401000000000007,-0.026559999999999993,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,1.0,0.0,0.0,0.0,0.06239499999999998,-0.04478599999999999,-0.265881,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,EXPANSION2023,10.0,0.157096,-0.168156,-0.708313,-0.019259000000000026,0.010542999999999997,0.016795999999999978,oeffnend_belastend
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,PAXG2024,34.0,0.012117999999999962,0.0029720000000000024,-0.05904899999999999,0.0016820000000000723,-0.015688000000000007,0.023122000000000004,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,PAXG2024,4.0,0.02349000000000001,-0.022764000000000006,-0.23864,-0.009900999999999938,-0.009514999999999996,0.162752,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,QUIET2026,47.0,0.011534999999999962,-0.007944000000000007,-0.128118,0.007176999999999989,-0.03661400000000001,-0.05777,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,QUIET2026,8.0,0.04801600000000006,-0.043044,-0.168717,-0.0021090000000000275,-0.027461000000000013,-0.073996,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,QUIET2026,14.0,0.13286900000000001,-0.153625,-0.519248,-0.004222000000000059,0.0021869999999999945,-0.08636100000000001,oeffnend_belastend
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,QUIET2026,20.0,0.014739999999999975,-0.042978000000000016,-0.008336999999999983,0.028710000000000013,-0.028274999999999995,-0.09870900000000002,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,SOL2024,3.0,0.029247000000000023,-0.005393999999999996,-0.11635400000000001,-0.00597100000000006,0.003733,0.011324999999999998,oeffnend_belastend
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,STRESS2025,197.0,0.014079999999999981,-0.034138,-0.010617000000000001,0.009607000000000032,-0.004928000000000002,0.028094999999999995,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,STRESS2025,74.0,0.04829500000000009,-0.043737,-0.18319200000000002,-0.009552000000000005,-0.03093,-0.039452,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,STRESS2025,2.0,0.03609299999999993,-0.050347999999999976,-0.15058300000000002,0.0039919999999999956,0.0003959999999999797,0.004547000000000023,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,STRESS2025,25.0,0.034555,-0.039699999999999985,-0.05849299999999999,-0.007060000000000066,-0.019781000000000007,0.002339999999999995,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,STRESS2025,26.0,0.08157400000000004,-0.06634699999999999,-0.532864,0.00010199999999993548,-0.006730000000000014,0.029385999999999995,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,eintritt,EXPANSION2023,8.0,0.00929100000000005,0.0063580000000000025,0.03884199999999999,0.0005279999999999729,-0.018237000000000003,-0.025795999999999986,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,eintritt,EXPANSION2023,14.0,-0.06485200000000002,0.09051000000000001,0.281348,0.021723000000000048,0.0014369999999999938,0.047119999999999995,gemischt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,eintritt,EXPANSION2023,91.0,0.0009400000000000519,-0.004131999999999997,-0.006970000000000004,0.0046680000000000055,-0.011308000000000012,-0.016952999999999996,rekoppelnd
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,eintritt,EXPANSION2023,2.0,0.005560999999999927,0.026370000000000005,-0.0052420000000000105,-0.008784999999999932,0.016252000000000016,0.10305000000000002,oeffnend_belastend
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,eintritt,EXPANSION2023,1.0,0.0,0.0,0.0,-0.085762,0.07278200000000001,0.479079,oeffnend_belastend
