segment,start_tick,end_tick,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,avg_raw_field,max_raw_field,avg_adapted_field,avg_reduction,avg_loudness,max_loudness,avg_visual_sharpness,avg_visual_blur,avg_mcm_tension,avg_mcm_coherence,avg_mcm_asymmetry,avg_strain,avg_rekopplung,dominant_family,dominant_preview,price_drift,abs_price_drift,max_range_pct,avg_range_pct,avg_volume,max_volume,direction_change_ratio,segment_class
66,720,728,9,0.0,0.333333,0.666667,0.0,0.250812,0.527109,0.197087,0.053725,0.399752,0.93842,0.415343,0.584657,0.197087,0.36625,-0.056574,0.262764,0.590483,dio_03iu,dio_mcm_episode_1joiyc3,-0.018995,0.018995,0.23738,0.0867,20170936.777778,40136071.0,0.428571,reale_randphase
65,716,726,11,0.0,0.363636,0.454545,0.181818,0.214613,0.527109,0.171086,0.043527,0.346414,0.93842,0.521878,0.478122,0.171086,0.472043,-0.099898,0.226042,0.623713,dio_1u5i,dio_mcm_episode_1joiyc3,-0.086169,0.086169,0.23738,0.069952,15946959.363636,40136071.0,0.111111,reale_randphase
53,597,605,9,0.111111,0.666667,0.222222,0.0,0.208552,0.481535,0.170609,0.037943,0.352128,0.84602,0.550771,0.449229,0.170609,0.566274,0.147373,0.19785,0.652108,dio_05gr,dio_mcm_episode_1joiyc3,0.014645,0.014645,0.024194,0.012927,3177529.222222,7027490.0,0.428571,reale_randphase
52,594,603,10,0.3,0.5,0.2,0.0,0.207233,0.481535,0.170659,0.036574,0.359232,0.84602,0.598542,0.401458,0.170659,0.597093,0.133605,0.190795,0.666832,dio_104t,dio_mcm_episode_1joiyc3,0.014722,0.014722,0.024194,0.009503,2208175.8,7027490.0,0.375,reale_randphase
35,416,426,11,0.090909,0.545455,0.181818,0.181818,0.182802,0.450295,0.152802,0.03,0.31873,0.779522,0.640818,0.359182,0.152802,0.635623,-0.037848,0.182067,0.664203,dio_0tay,dio_mcm_episode_1joiyc3,-0.012595,0.012595,0.015229,0.006347,1294107.545455,5143914.0,0.444444,reale_randphase
1,2,10,9,0.0,0.888889,0.111111,0.0,0.144467,0.340693,0.121838,0.022629,0.240234,0.610469,0.62204,0.37796,0.121838,0.567275,0.018459,0.187981,0.647496,dio_0z9t,dio_mcm_episode_102i30n,0.003017,0.003017,0.010018,0.004542,442239.666667,945794.0,0.571429,reale_oeffnungsphase
4,29,37,9,0.0,0.888889,0.111111,0.0,0.155666,0.341996,0.132466,0.023199,0.272942,0.598967,0.685415,0.314585,0.132466,0.62535,-0.084957,0.174645,0.66084,dio_0m9z,dio_mcm_episode_0db07p4,-0.016927,0.016927,0.009051,0.004072,536121.888889,1289640.0,0.428571,reale_oeffnungsphase
71,771,779,9,0.0,0.888889,0.111111,0.0,0.124356,0.317029,0.103993,0.020363,0.20023,0.558009,0.600796,0.399204,0.103993,0.570529,0.074902,0.165276,0.675759,dio_00pl,dio_mcm_episode_1joiyc3,-0.000671,0.000671,0.025373,0.013382,2358280.777778,3909534.0,0.428571,reale_oeffnungsphase
9,105,113,9,0.0,0.777778,0.111111,0.111111,0.146753,0.358652,0.123039,0.023714,0.252028,0.617702,0.638052,0.361948,0.123039,0.597181,-0.00198,0.166698,0.670026,dio_1q85,dio_mcm_episode_1jx2k4i,0.001977,0.001977,0.006392,0.003044,311734.777778,644521.0,0.428571,reale_oeffnungsphase
10,108,116,9,0.0,0.777778,0.111111,0.111111,0.154589,0.358652,0.129853,0.024735,0.271464,0.617702,0.665447,0.334553,0.129853,0.638777,0.00168,0.164586,0.674885,dio_1q85,dio_mcm_episode_1jx2k4i,0.000895,0.000895,0.006392,0.002773,298311.666667,644521.0,0.428571,reale_oeffnungsphase
68,747,755,9,0.0,0.777778,0.111111,0.111111,0.148948,0.305435,0.12405,0.024898,0.235903,0.557795,0.535764,0.464236,0.12405,0.50152,-0.117129,0.182745,0.656433,dio_0rgc,dio_mcm_episode_1joiyc3,-0.018758,0.018758,0.02961,0.015442,2855953.888889,4342895.0,0.571429,reale_oeffnungsphase
15,157,165,9,0.222222,0.666667,0.111111,0.0,0.205283,0.425095,0.171506,0.033777,0.362137,0.740237,0.668182,0.331818,0.171506,0.632417,0.082878,0.194475,0.657232,dio_155c,dio_mcm_episode_1jx2k4i,0.011861,0.011861,0.01123,0.005059,850687.777778,2315105.0,0.285714,reale_oeffnungsphase
83,959,967,9,0.222222,0.666667,0.111111,0.0,0.148075,0.254726,0.125091,0.022985,0.254291,0.430871,0.613109,0.386891,0.125091,0.618918,-0.002309,0.163432,0.680935,dio_0pxr,dio_mcm_episode_1joiyc3,-0.000292,0.000292,0.015879,0.007301,683070.111111,1244000.0,0.428571,reale_oeffnungsphase
98,1154,1162,9,0.222222,0.666667,0.111111,0.0,0.178429,0.440104,0.146449,0.031979,0.307948,0.779266,0.579167,0.420833,0.146449,0.554867,-0.000909,0.179463,0.668038,dio_09ep,dio_mcm_episode_1joiyc3,0.002199,0.002199,0.019326,0.007978,1241662.555556,2931769.0,0.714286,reale_oeffnungsphase
100,1169,1177,9,0.0,0.666667,0.111111,0.222222,0.149129,0.389203,0.122165,0.026964,0.240666,0.707089,0.526077,0.473923,0.122165,0.483362,-0.170186,0.18903,0.650651,dio_1fe0,dio_mcm_episode_1joiyc3,-0.019199,0.019199,0.03341,0.013962,2205185.0,5059308.0,0.714286,reale_oeffnungsphase
132,1539,1547,9,0.222222,0.666667,0.111111,0.0,0.156052,0.265429,0.129915,0.026137,0.261606,0.453015,0.549377,0.450623,0.129915,0.546204,0.079511,0.178677,0.667143,dio_0g2r,dio_mcm_episode_1joiyc3,0.012472,0.012472,0.016294,0.009633,1181001.222222,2137410.0,0.428571,reale_oeffnungsphase
14,155,163,9,0.333333,0.555556,0.111111,0.0,0.208759,0.425095,0.174121,0.034638,0.368411,0.740237,0.671518,0.328482,0.174121,0.621604,0.099126,0.192965,0.662776,dio_155c,dio_mcm_episode_1jx2k4i,0.016193,0.016193,0.01123,0.005013,754708.222222,2315105.0,0.142857,gemischter_uebergang
72,799,807,9,0.222222,0.555556,0.111111,0.111111,0.166361,0.429737,0.138277,0.028084,0.28278,0.75743,0.637208,0.362792,0.138277,0.603336,-0.143645,0.175165,0.674555,dio_1rqi,dio_mcm_episode_1joiyc3,-0.016107,0.016107,0.026245,0.010029,2350361.0,6303833.0,0.571429,gemischter_uebergang
84,981,989,9,0.333333,0.555556,0.111111,0.0,0.151288,0.451234,0.124281,0.027007,0.244747,0.794047,0.55806,0.44194,0.124281,0.514836,0.032629,0.176945,0.673923,dio_155c,dio_mcm_episode_1joiyc3,0.002019,0.002019,0.015862,0.008308,1039812.222222,2392783.0,0.428571,gemischter_uebergang
101,1171,1179,9,0.222222,0.555556,0.111111,0.111111,0.154746,0.389203,0.127047,0.027698,0.258573,0.707089,0.544424,0.455576,0.127047,0.51712,-0.167097,0.183531,0.662414,dio_1w94,dio_mcm_episode_1joiyc3,-0.021086,0.021086,0.03341,0.013622,2115593.444444,5059308.0,0.857143,gemischter_uebergang
119,1414,1422,9,0.333333,0.555556,0.111111,0.0,0.175303,0.337203,0.147963,0.02734,0.310278,0.599401,0.681666,0.318334,0.147963,0.650594,0.164602,0.173573,0.680744,dio_00ly,dio_mcm_episode_1joiyc3,0.027603,0.027603,0.013341,0.005572,1092621.444444,2622427.0,0.571429,gemischter_uebergang
121,1440,1448,9,0.222222,0.555556,0.111111,0.111111,0.194565,0.393588,0.160205,0.03436,0.337908,0.697383,0.575045,0.424955,0.160205,0.552947,-0.07639,0.194896,0.663285,dio_0jkk,dio_mcm_episode_1joiyc3,-0.013074,0.013074,0.01605,0.007508,1272156.888889,4375561.0,0.285714,gemischter_uebergang
130,1527,1535,9,0.111111,0.555556,0.111111,0.222222,0.180474,0.391379,0.150355,0.03012,0.316812,0.709228,0.624978,0.375022,0.150355,0.617541,0.136923,0.173942,0.67783,dio_1aeg,dio_mcm_episode_1joiyc3,0.022612,0.022612,0.026143,0.011409,1545298.444444,3761369.0,0.571429,gemischter_uebergang
131,1529,1537,9,0.0,0.555556,0.111111,0.333333,0.176662,0.391379,0.146471,0.030192,0.304531,0.709228,0.587581,0.412419,0.146471,0.595127,0.122537,0.177321,0.673326,dio_06qi,dio_mcm_episode_1joiyc3,0.011469,0.011469,0.026143,0.011149,1537638.777778,3761369.0,0.571429,gemischter_uebergang
