phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_basis,600,0.981667,0.006667,0.001667,0.01,0.758435,0.617495,0.120616,0.017869,0.024681,0.838368
druckaufbau,600,0.978333,0.011667,0.001667,0.008333,0.756928,0.61545,0.121232,0.021252,0.028424,0.834527
laute_randphase,800,0.07625,0.71125,0.06,0.1525,0.671602,0.485852,0.185738,0.164442,0.277935,0.537494
asymmetrischer_bruch,700,0.835714,0.087143,0.0,0.077143,0.72862,0.565977,0.13202,0.075119,0.123509,0.805122
gegenzerrung,700,0.945714,0.022857,0.0,0.031429,0.748077,0.598966,0.120669,0.03339,0.046284,0.824711
ueberreizter_nachhall,700,0.902857,0.041429,0.001429,0.054286,0.735377,0.577171,0.127659,0.055287,0.088965,0.777074
rekopplungsversuch,700,0.991429,0.004286,0.001429,0.002857,0.759443,0.621607,0.121202,0.01961,0.026263,0.838078
ruhe_restspannung,600,0.993333,0.003333,0.001667,0.001667,0.759592,0.620731,0.120918,0.019134,0.026721,0.838736
zweiter_randstoss,600,0.938333,0.028333,0.003333,0.03,0.736328,0.58574,0.133004,0.073802,0.119193,0.799038
schluss_rekopplung,994,0.996982,0.003018,0.0,0.0,0.759851,0.622191,0.120558,0.017623,0.02295,0.836904
