phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
randflackern,700,0.16,0.572857,0.002857,0.264286,0.691625,0.505732,0.150731,0.094605,0.147045,0.623458
zweite_rekopplung,400,0.955,0.02,0.0025,0.0225,0.752114,0.604507,0.12002,0.025483,0.03658,0.833745
bruch_impuls,700,0.95,0.015714,0.001429,0.032857,0.740396,0.586987,0.122964,0.048409,0.069352,0.807392
ruhe_nachhall,700,0.992857,0.004286,0.001429,0.001429,0.759224,0.621014,0.1208,0.019212,0.026226,0.838014
oeffnung,700,0.994286,0.004286,0.001429,0.0,0.757605,0.618722,0.120686,0.021909,0.028344,0.83385
zweiter_kippimpuls,500,0.982,0.01,0.002,0.006,0.74292,0.596268,0.12711,0.052927,0.080448,0.803727
rekopplung,700,0.994286,0.004286,0.001429,0.0,0.758325,0.620678,0.120749,0.021243,0.028038,0.836313
ruhig_vorlast,700,0.994286,0.002857,0.001429,0.001429,0.760049,0.622488,0.120524,0.017829,0.0238,0.838916
gegenpol,994,0.977867,0.007042,0.0,0.015091,0.750796,0.60679,0.120076,0.031662,0.040937,0.824892
