source,target,relation,edge_kind,count,worlds,duration_avg,exit_rekopplung_delta_avg,exit_strain_delta_avg,exit_phase
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,bruecke_zu_aussen,30,6,55.333333,0.006604,-0.016701,rekoppelnder_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1jwnjz4,austritt,bruecke_zu_aussen,27,4,112.703704,0.01511,-0.016144,rekoppelnder_austritt
dio_mcm_episode_0mji3u6,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,25,6,329.44,-0.06435,0.032881,oeffnend_belastender_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,25,5,176.16,-0.029399,-0.009447,gemischter_austritt
dio_mcm_episode_1jwnjz4,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,23,4,67.869565,-0.046257,-0.028185,gemischter_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mji3u6,austritt,bruecke_zu_aussen,12,5,13.083333,-0.040263,0.044311,oeffnend_belastender_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_0qzjuvj,austritt,bruecke_zu_bruecke,9,6,2.666667,-0.013949,0.015135,oeffnend_belastender_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_0qzjuvj,eintritt,bruecke_zu_bruecke,9,6,2.555556,0.002324,0.003071,gemischter_austritt
dio_mcm_episode_0hjnwsk,dio_mcm_episode_18n06fj,austritt,bruecke_zu_aussen,8,4,2.625,0.011815,-0.029801,rekoppelnder_austritt
dio_mcm_episode_0lne9ax,dio_mcm_episode_0jbl5pq,eintritt,aussen_zu_bruecke,6,6,3.0,-0.011223,0.01436,oeffnend_belastender_austritt
dio_mcm_episode_0z748ck,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,6,5,30.0,-0.002438,0.000371,oeffnend_belastender_austritt
dio_mcm_episode_1hdpu9s,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,6,3,17.333333,-0.012985,0.011971,oeffnend_belastender_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_0z748ck,austritt,bruecke_zu_aussen,6,5,3.0,0.000115,0.006654,gemischter_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1hdpu9s,austritt,bruecke_zu_aussen,5,2,20.4,-0.018389,0.01785,oeffnend_belastender_austritt
dio_mcm_episode_0aztxel,dio_mcm_episode_0hjnwsk,eintritt,aussen_zu_bruecke,4,3,3.0,0.008968,-0.023335,rekoppelnder_austritt
dio_mcm_episode_0ldht3x,dio_mcm_episode_0l3i7ey,eintritt,aussen_zu_bruecke,3,3,1.333333,-0.012985,0.020029,oeffnend_belastender_austritt
dio_mcm_episode_1q3us3f,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,3,2,670.333333,-0.023995,0.010706,oeffnend_belastender_austritt
dio_mcm_episode_1q3us3f,dio_mcm_episode_1hs3jsa,eintritt,aussen_zu_bruecke,2,1,223.0,-0.104817,0.107923,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mm85pw,austritt,bruecke_zu_aussen,2,2,773.0,-0.187292,0.209656,oeffnend_belastender_austritt
dio_mcm_episode_0l3i7ey,dio_mcm_episode_0lne9ax,austritt,bruecke_zu_aussen,2,2,1.5,0.041283,-0.04065,rekoppelnder_austritt
