asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
PAXG,2024_1H_YEAR,366,dio_mcm_episode_1hdpu9s->dio_mcm_episode_0e7qvj1 (41/366),0.005371,-0.006350,-0.004896
PAXG,2025_1H_YEAR,242,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (16/242),0.008364,0.000317,-0.007275
