short_token,status,reason,trend,read_state,class_sequence,weight_sequence,world_span_sequence,L923_class,L923_weight,rank_delta_from_max
04s5k7g,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,2 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0ac3vc1,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> schwacher_anschluss -> - -> -,0 -> 1 -> 0 -> 0,0 -> 1 -> 0 -> 0,-,0,-1
0apubpm,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0dgle71,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> schwacher_anschluss -> - -> -,0 -> 10 -> 0 -> 0,0 -> 1 -> 0 -> 0,-,0,-1
0h9ka55,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0jatqr8,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0jdgxa5,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0ldenly,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0mqw5s3,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,2 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0mvjoir,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 6 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0n22aiv,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0n5sqpn,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0nuo9k1,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> -,1 -> 1 -> 1 -> 0,1 -> 1 -> 1 -> 0,-,0,-1
0qhiq5e,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0qhs6nb,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 2 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0r1o8ja,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0rz7ra9,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0sxikqi,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0t1ymth,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> schwacher_anschluss -> schwacher_anschluss -> -,1 -> 1 -> 1 -> 0,1 -> 1 -> 1 -> 0,-,0,-1
0tosxof,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0v5p8er,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> schwacher_anschluss -> starker_anschlussanker -> -,0 -> 2 -> 32 -> 0,0 -> 1 -> 3 -> 0,-,0,-1
0vff3w6,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0vj3fzh,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 1 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0vszw6h,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",absteigende_entlastung,nicht_wiedergefunden,schwacher_anschluss -> - -> - -> -,1 -> 0 -> 0 -> 0,1 -> 0 -> 0 -> 0,-,0,-1
0w9dwz3,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> schwacher_anschluss -> - -> -,0 -> 2 -> 0 -> 0,0 -> 2 -> 0 -> 0,-,0,-1
0wjn8vm,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> lokaler_anschlussanker -> schwacher_anschluss -> -,0 -> 14 -> 2 -> 0,0 -> 2 -> 1 -> 0,-,0,-2
0y1i8dq,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 2 -> 0,0 -> 0 -> 1 -> 0,-,0,-
0ybhu2p,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 2 -> 0,0 -> 0 -> 1 -> 0,-,0,-
14k61ms,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,nicht_wiedergefunden,- -> schwacher_anschluss -> - -> -,0 -> 1 -> 0 -> 0,0 -> 1 -> 0 -> 0,-,0,-1
17rahh6,aus_vierter_welt_entlastet,"Token war vorher sichtbar, in der vierten Landschaft aber nicht mehr.",rollendrift,-,- -> - -> schwacher_anschluss -> -,0 -> 0 -> 2 -> 0,0 -> 0 -> 1 -> 0,-,0,-
