phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_basis,1200,0.994167,0.001667,0.000833,0.003333,0.760378,0.621735,0.11961,0.015062,0.019214,0.840398
druckaufbau,1200,0.990833,0.005833,0.000833,0.0025,0.75934,0.62048,0.11977,0.017433,0.020767,0.837628
laute_randphase,1600,0.116875,0.6625,0.028125,0.1925,0.678703,0.501904,0.178558,0.164254,0.277194,0.540638
asymmetrischer_bruch,1400,0.931429,0.027143,0.0,0.041429,0.73862,0.582872,0.128262,0.060354,0.089739,0.792973
gegenzerrung,1400,0.976429,0.009286,0.0,0.014286,0.752204,0.608484,0.12005,0.030237,0.039135,0.828759
ueberreizter_nachhall,1400,0.935714,0.029286,0.000714,0.034286,0.738011,0.583923,0.126689,0.055054,0.087823,0.776773
rekopplungsversuch,1400,0.995714,0.003571,0.0,0.000714,0.760378,0.62289,0.119925,0.017209,0.021256,0.838699
ruhe_restspannung,1200,0.9975,0.000833,0.000833,0.000833,0.760602,0.622933,0.120201,0.017001,0.022302,0.838702
zweiter_randstoss,1200,0.989167,0.006667,0.001667,0.0025,0.746708,0.598238,0.130244,0.051695,0.068487,0.76756
schluss_rekopplung,1194,0.995812,0.00335,0.0,0.000838,0.759975,0.622328,0.12011,0.018095,0.023414,0.838283
