token,short_token,anchor_class,total_weight,max_world_span,weighted_duration,edge_count,outside_bridge_edges,bridge_to_bridge_edges,bidirectional_neighbors,incoming_neighbors,outgoing_neighbors,path_class,movement,base_zone,follow_zone,base_role,follow_role,dominant_edge_kind,edge_kind_profile,dominant_exit_phase,phase_profile,relation_profile,in_known_core_pair,known_core_pairs
dio_mcm_episode_0jbl5pq,0jbl5pq,brueckenkern,32,6,2.500000,11,7,4,1,6,3,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:5; bruecke_zu_bruecke:4; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; rekoppelnder_austritt:4; gemischter_austritt:2,eintritt:7; austritt:4,1,2
dio_mcm_episode_0qzjuvj,0qzjuvj,brueckenkern,29,6,2.551724,6,2,4,0,1,3,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,offene_variante,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; bruecke_zu_aussen:2,rekoppelnder_austritt,rekoppelnder_austritt:3; gemischter_austritt:2; oeffnend_belastender_austritt:1,austritt:4; eintritt:2,1,2
dio_mcm_episode_0hjnwsk,0hjnwsk,brueckenkern,18,4,2.444444,6,4,2,0,4,1,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:3; bruecke_zu_bruecke:2; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:6,eintritt:4; austritt:2,1,1
dio_mcm_episode_0l3i7ey,0l3i7ey,brueckenkern,11,3,1.545454,8,6,2,1,3,4,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:3; bruecke_zu_aussen:3; bruecke_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:4; oeffnend_belastender_austritt:2; gemischter_austritt:2,eintritt:4; austritt:4,1,1
dio_mcm_episode_0e7qvj1,0e7qvj1,starker_anschlussanker,176,6,186.551136,23,23,0,6,8,15,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:15; aussen_zu_bruecke:8,oeffnend_belastender_austritt,oeffnend_belastender_austritt:15; rekoppelnder_austritt:4; gemischter_austritt:4,austritt:15; eintritt:8,0,0
dio_mcm_episode_18l3thm,18l3thm,starker_anschlussanker,55,6,110.254545,2,2,0,1,1,1,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1; aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1; gemischter_austritt:1,austritt:1; eintritt:1,0,0
dio_mcm_episode_1jwnjz4,1jwnjz4,starker_anschlussanker,50,4,92.080000,2,2,0,1,1,1,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1; aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1; gemischter_austritt:1,austritt:1; eintritt:1,0,0
dio_mcm_episode_0mji3u6,0mji3u6,starker_anschlussanker,37,6,226.837838,2,2,0,1,1,1,offener_driftpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0z748ck,0z748ck,lokaler_anschlussanker,12,5,16.500000,2,2,0,0,1,1,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1; gemischter_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_1hdpu9s,1hdpu9s,schwacher_anschluss,11,3,18.727273,2,2,0,1,1,1,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0lne9ax,0lne9ax,schwacher_anschluss,9,6,2.444444,3,3,0,1,1,2,rekoppelnder_pfad,reifung_oder_verdichtung,driftzone,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:2; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2; oeffnend_belastender_austritt:1,eintritt:2; austritt:1,0,0
