asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
BTC,2024_5M_10K,360,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1jwnjz4 (27/360),0.011515,-0.012235,-0.008805
BTC,2025_5M_10K,541,dio_mcm_episode_0mji3u6->dio_mcm_episode_0e7qvj1 (26/541),0.004334,0.002646,-0.003371
