type;role;family;group;world;ticks;family_ticks;family_share;unique_symbols;symbol_reuse;dominant_mcm_episode;dominant_mcm_episode_share;unique_mcm_episodes;dominant_mcm_class;dominant_inner_state;dominant_field_state;avg_mcm_rekopplung;avg_mcm_carry;avg_mcm_strain;avg_sensory_coupling;avg_visual_field_gap;avg_hearing_field_gap;avg_visual_salience;avg_memory_recall;avg_auditory_stimulation;avg_direct_contact_pressure;avg_field_intake_pressure;avg_mcm_coherence;avg_mcm_tension;avg_mcm_asymmetry;avg_afterimage;avg_temporal_trust;avg_temporal_caution;fieldtime_embedding;source
summary;stable;dio_104t;asset_mixed_2k;GROUP;1994.0;124.0;0.062186559679037114;1.0;0.991834678095108;dio_mcm_episode_1joiyc3;0.5639623922278789;6.5;stabil;inner_effect_stable;field_carried;0.7207168520186591;0.5639065787778857;0.1478219515424263;0.8485284762927301;0.2060261258112973;0.0641771277974901;0.23630088895814075;0.0;0.14253589691782229;0.0;0.07835881892172722;0.6097340705199192;0.07835881892172722;-0.008132175920365371;0.3940135678653318;0.8151581445630134;0.10501644168137363;0.782820318516698;-
summary;edge;dio_1un4;asset_mixed_2k;GROUP;1994.0;5.0;0.0025075225677031092;1.0;0.725;dio_mcm_episode_1joiyc3;0.65;1.75;tragend_unruhig;inner_effect_carried_unrest;field_carried;0.6283808125;0.4298352;0.2307475625;0.7273984125;0.3474788;0.2672448125;0.3771215;0.0;0.48804848749999996;0.0;0.220803625;0.4814737125;0.220803625;-0.0133752;0.017029975;0.4565692;0.329651275;0.5390108243749999;-
summary;stable;dio_104t;kurz_2k;GROUP;1994.0;130.75;0.0655717151454363;1.0;0.9921496350227109;dio_mcm_episode_0e7qvj1;0.618481853531741;6.25;stabil;inner_effect_stable;field_carried;0.7196121964207173;0.565887791227544;0.148364481697871;0.8474419257867971;0.20608817261302342;0.06564417906686532;0.23721661502711855;0.0;0.14398786173865283;0.0;0.07834369218650591;0.6140159118905573;0.07834369218650591;-0.010511837803572163;0.41670788185647534;0.821439288079744;0.10072138287020072;0.7875711800835479;-
summary;edge;dio_1un4;kurz_2k;GROUP;1994.0;4.25;0.002131394182547643;1.0;0.7541666666666667;dio_mcm_episode_1joiyc3;0.5833333333333334;2.5;tragend_unruhig;inner_effect_carried_unrest;field_carried;0.628297025;0.42910508750000004;0.23060023333333335;0.7269397416666667;0.3493407333333333;0.26785855833333333;0.3743202583333334;0.0;0.48904982916666667;0.0;0.2211910875;0.4823642083333333;0.2211910875;-0.0035006291666666665;0.012467029166666668;0.46963289166666666;0.31981926250000003;0.5488893139583333;-
summary;stable;dio_104t;lang_10k;GROUP;9994.0;672.25;0.06726535921552931;1.0;0.9985051865735256;dio_mcm_episode_0e7qvj1;0.36224501609176196;17.75;stabil;inner_effect_stable;field_carried;0.7232524510152485;0.5750890952403719;0.14862851395097276;0.8472059511436574;0.2064498296662817;0.06559040212581019;0.23701164401419886;0.0;0.14373935836114918;0.0;0.07814894619310095;0.6132570132776076;0.07814894619310095;-0.007974539520698678;0.43400513545067226;0.8461259796248582;0.09546423271043064;0.7986147749776006;-
summary;edge;dio_1un4;lang_10k;GROUP;9994.0;20.5;0.0020512307384430656;1.0;0.9488357843137255;dio_mcm_episode_0b7nep9;0.3860294117647059;6.25;tragend_unruhig;inner_effect_carried_unrest;field_carried;0.6466460574229692;0.47123439106267506;0.2229971225490196;0.7322480080094538;0.3325108052345938;0.2652007850140056;0.36190385434173666;0.0;0.48705671901260505;0.0;0.22185590515581233;0.4928060015318627;0.22185590515581233;-0.0031190497636554627;0.04747781608893557;0.6533274243259803;0.21251002941176472;0.6535421176755076;-
detail;stable;dio_104t;asset_mixed_2k;kontrolliert_btc_2024_5m_test1_2000_btcusdt;1994;147;0.07372116349047142;1;0.9931972789115646;dio_mcm_episode_0e7qvj1;0.47619047619047616;9;stabil;inner_effect_stable;field_carried;0.719817925170068;0.5673221292517007;0.14858880272108843;0.8461121904761905;0.2096936462585034;0.06534514965986395;0.2398834081632653;0.0;0.14314321768707483;0.0;0.07779808843537414;0.6105948639455783;0.07779808843537414;-0.008387238095238095;0.42693109523809525;0.826982224489796;0.09194863945578231;0.7907598047619048;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_btc_2024_5m_test1_2000_btcusdt\dio_mini_lauf_1\episodes.csv
detail;edge;dio_1un4;asset_mixed_2k;kontrolliert_btc_2024_5m_test1_2000_btcusdt;1994;4;0.0020060180541624875;1;0.75;dio_mcm_episode_1joiyc3;0.5;2;tragend_unruhig;inner_effect_carried_unrest;field_carried;0.62826325;0.42876625;0.22961525;0.72754675;0.3524775;0.26538525;0.38813000000000003;0.0;0.483445;0.0;0.21805975;0.48881225;0.21805975;-0.01215325;0.00328975;0.460867;0.32380175;0.544420575;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_btc_2024_5m_test1_2000_btcusdt\dio_mini_lauf_1\episodes.csv
detail;stable;dio_104t;asset_mixed_2k;kontrolliert_kas_2024_5m_test1_2000_kasusdt;1994;111;0.055667001003009024;1;0.990990990990991;dio_mcm_episode_1joiyc3;0.7387387387387387;3;stabil;inner_effect_stable;field_carried;0.718885108108108;0.563862081081081;0.14681584684684684;0.8482822522522522;0.20358074774774776;0.06543945045045045;0.23629831531531534;0.0;0.1429031081081081;0.0;0.07746371171171171;0.6160105765765765;0.07746371171171171;-0.010278621621621622;0.3792966126126126;0.8088485675675675;0.11251773873873874;0.7786090261261261;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_kas_2024_5m_test1_2000_kasusdt\dio_mini_lauf_1\episodes.csv
detail;edge;dio_1un4;asset_mixed_2k;kontrolliert_kas_2024_5m_test1_2000_kasusdt;1994;4;0.0020060180541624875;1;0.75;dio_mcm_episode_1joiyc3;1.0;1;tragend_unruhig;inner_effect_carried_unrest;field_carried;0.6245235;0.42562775;0.234852;0.7192085;0.363636;0.2761355;0.3775115;0.0;0.50163625;0.0;0.22550075;0.47344549999999996;0.22550075;-0.01387525;0.01486025;0.46738250000000003;0.32109425;0.5462515625;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_kas_2024_5m_test1_2000_kasusdt\dio_mini_lauf_1\episodes.csv
detail;stable;dio_104t;asset_mixed_2k;kontrolliert_paxg_2024_5m_test1_2000_paxgusdt;1994;125;0.06268806419257773;1;0.992;dio_mcm_episode_1jx2k4i;0.448;9;stabil;inner_effect_stable;field_carried;0.726287304;0.5616086800000001;0.147508192;0.854537312;0.198346888;0.060143504;0.227307912;0.0;0.139461784;0.0;0.079318272;0.601248992;0.079318272;-0.001707136;0.392460776;0.8150976799999999;0.106383008;0.7837747684;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_paxg_2024_5m_test1_2000_paxgusdt\dio_mini_lauf_1\episodes.csv
detail;edge;dio_1un4;asset_mixed_2k;kontrolliert_paxg_2024_5m_test1_2000_paxgusdt;1994;2;0.0010030090270812437;1;0.5;dio_mcm_episode_1jx2k4i;0.5;2;tragend_unruhig;inner_effect_carried_unrest;field_carried;0.622557;0.4126085;0.2307485;0.7344585;0.34077999999999997;0.251236;0.385327;0.0;0.46112;0.0;0.2098835;0.477956;0.2098835;-0.016957;0.0014285;0.301172;0.45302;0.44040640000000003;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_paxg_2024_5m_test1_2000_paxgusdt\dio_mini_lauf_1\episodes.csv
detail;stable;dio_104t;asset_mixed_2k;kontrolliert_sol_2024_5m_test1_2000_solusdt;1994;113;0.05667001003009027;1;0.9911504424778761;dio_mcm_episode_1joiyc3;0.5929203539823009;5;stabil;inner_effect_stable;field_carried;0.7178770707964601;0.5628334247787611;0.1483749646017699;0.8451821504424779;0.21248322123893806;0.06578040707964602;0.24171392035398231;0.0;0.1446354778761062;0.0;0.07885520353982302;0.6110818495575222;0.07885520353982302;-0.012155707964601768;0.37736578761061945;0.8097041061946904;0.10921638053097345;0.778137674778761;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_sol_2024_5m_test1_2000_solusdt\dio_mini_lauf_1\episodes.csv
detail;edge;dio_1un4;asset_mixed_2k;kontrolliert_sol_2024_5m_test1_2000_solusdt;1994;10;0.0050150451354062184;1;0.9;dio_mcm_episode_1joiyc3;0.6;2;tragend_unruhig;inner_effect_carried_unrest;field_carried;0.6381795;0.45233829999999997;0.2277745;0.7283799;0.33302170000000003;0.2762225;0.35751750000000004;0.0;0.5059927;0.0;0.22977050000000002;0.48568110000000003;0.22977050000000002;-0.0105153;0.0485414;0.5968553;0.22068910000000003;0.6249647599999999;debug\block_k_fieldtime_controlled\asset_mixed_2k\kontrolliert_sol_2024_5m_test1_2000_solusdt\dio_mini_lauf_1\episodes.csv
detail;stable;dio_104t;kurz_2k;kontrolliert_2026_sideways_test1_2000_5m_solusdt;1994;133;0.0667001003009027;1;0.9924812030075187;dio_mcm_episode_0e7qvj1;0.5338345864661654;8;stabil;inner_effect_stable;field_carried;0.7196407894736843;0.5672432932330828;0.14897612030075189;0.847359977443609;0.20417284962406015;0.06604963909774436;0.23494540601503758;0.0;0.14530461654135338;0.0;0.07925496992481203;0.612511909774436;0.07925496992481203;-0.01276993984962406;0.44371741353383454;0.8290313533834587;0.09259845112781956;0.7935174909774436;debug\block_k_fieldtime_controlled\kurz_2k\kontrolliert_2026_sideways_test1_2000_5m_solusdt\dio_mini_lauf_1\episodes.csv
