phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig,450,0.982222,0.006667,0.002222,0.008889,0.757645,0.616927,0.120813,0.01933,0.025798,0.838771
expansion,450,0.953333,0.02,0.002222,0.024444,0.75203,0.606743,0.119844,0.026475,0.033763,0.833587
unruhe,450,0.953333,0.026667,0.0,0.02,0.750452,0.603792,0.119083,0.026551,0.03145,0.829394
kippnaehe,450,0.92,0.035556,0.0,0.044444,0.746619,0.596965,0.119525,0.03359,0.040556,0.823713
rekopplung,450,0.982222,0.011111,0.002222,0.004444,0.754436,0.612648,0.120523,0.027,0.035434,0.83157
ruhe_rueckkehr,444,0.993243,0.002252,0.0,0.004505,0.759728,0.621796,0.120815,0.019307,0.025329,0.838125
