phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_vorlast,700,0.985714,0.005714,0.001429,0.007143,0.758674,0.618788,0.120238,0.017344,0.02275,0.838554
oeffnung,700,0.965714,0.014286,0.001429,0.018571,0.755349,0.613268,0.120318,0.022263,0.028703,0.833089
bruch_impuls,700,0.87,0.061429,0.001429,0.067143,0.736366,0.578091,0.123534,0.048846,0.0692,0.804154
rekopplung,2100,0.998095,0.001429,0.000476,0.0,0.759583,0.622523,0.119755,0.017701,0.020671,0.837333
randflackern,700,0.255714,0.537143,0.004286,0.202857,0.693054,0.513682,0.153736,0.096788,0.148831,0.605263
gegenpol,700,0.97,0.011429,0.001429,0.017143,0.747854,0.600552,0.120458,0.035532,0.047555,0.81826
ruhe_nachhall,700,0.994286,0.004286,0.001429,0.0,0.759699,0.621855,0.120932,0.019078,0.025877,0.838001
zweiter_kippimpuls,500,0.986,0.006,0.002,0.006,0.742852,0.595868,0.126375,0.052713,0.07896,0.799397
zweite_rekopplung,694,0.991354,0.005764,0.0,0.002882,0.759047,0.620925,0.119822,0.018945,0.024233,0.836477
