world,role,count,share,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,rekopplung_top_share,carry_top_share,strain_top_share,dominant_effect_class,dominant_awareness,dominant_preview_symbol,dominant_symbol_family
BTC2024_5M,zentrum_stabil,1651,0.8279839518555667,0.6529614579043005,0.3990180272562084,0.1657816735311932,0.8735612471229558,0.049749989097516656,0.06948757056329498,0.3010296789824349,0.2604482132041187,0.09630526953361598,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_1yp1
BTC2024_5M,offene_variante,264,0.13239719157472418,0.6246090113636364,0.38713148484848486,0.2388406553030303,0.8357748143939394,0.10349976893939394,0.1369668371212121,0.007575757575757576,0.20075757575757575,0.9886363636363636,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_149i
BTC2024_5M,spannungsrand_kippnaehe,79,0.03961885656970913,0.5981350379746836,0.38387396202531643,0.3247513924050633,0.7993833544303798,0.16538811392405064,0.18825534177215192,0.0,0.20253164556962025,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_17l1
BTC2024_15M,zentrum_stabil,1678,0.8415245737211635,0.654255799761621,0.398579210965435,0.16241883551847439,0.8736346025029798,0.048047873659117994,0.06763818533969011,0.2967818831942789,0.2556615017878427,0.10965435041716329,stabil,inner_effect_stable,dio_mcm_episode_183drjy,dio_1qlh
BTC2024_15M,offene_variante,222,0.11133400200601805,0.6216693873873874,0.38429243693693693,0.2420761126126126,0.8270456576576577,0.10829795045045046,0.15883334234234234,0.0045045045045045045,0.22072072072072071,0.9954954954954955,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_15pu
BTC2024_15M,spannungsrand_kippnaehe,94,0.04714142427281846,0.5976817872340425,0.38427136170212767,0.3259138829787234,0.7976352765957447,0.17183224468085107,0.18884189361702128,0.0,0.22340425531914893,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_06h2
BTC2024_1H,zentrum_stabil,1619,0.8119358074222668,0.6554605626930203,0.4002998721432984,0.16090796479308214,0.8751746516368129,0.045756502161828284,0.06775667819641754,0.30821494749845585,0.2625077208153181,0.07782581840642372,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_1xk5
BTC2024_1H,offene_variante,277,0.13891675025075226,0.6233472707581227,0.38742236101083033,0.24163239711191337,0.832758523465704,0.10481876173285198,0.1482884368231047,0.0,0.18411552346570398,0.9927797833935018,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1t5bcxp,dio_0htq
BTC2024_1H,spannungsrand_kippnaehe,98,0.04914744232698094,0.6030811122448979,0.3917408367346939,0.3156127244897959,0.802779387755102,0.17200139795918368,0.18356886734693878,0.0,0.23469387755102042,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1t5bcxp,dio_1ql1
SOL2024_5M,zentrum_stabil,1610,0.8074222668004012,0.6511103571428571,0.39818387701863356,0.17104407701863356,0.8730633968944099,0.04919427639751553,0.07159260062111801,0.30869565217391304,0.25527950310559006,0.07701863354037267,stabil,inner_effect_stable,dio_mcm_episode_1t5bcxp,dio_0r0t
