phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig,900,0.991111,0.002222,0.001111,0.005556,0.759944,0.621208,0.119156,0.014375,0.01553,0.839956
expansion,900,0.988889,0.007778,0.0,0.003333,0.75643,0.616584,0.119264,0.021224,0.023145,0.836683
unruhe,900,0.98,0.011111,0.0,0.008889,0.75517,0.614181,0.118271,0.020679,0.019442,0.834055
kippnaehe,900,0.955556,0.017778,0.001111,0.025556,0.751086,0.607164,0.118792,0.02785,0.028639,0.827164
rekopplung,900,0.993333,0.003333,0.001111,0.002222,0.758493,0.621114,0.119481,0.019735,0.020683,0.836624
ruhe_rueckkehr,894,0.996644,0.003356,0.0,0.0,0.760882,0.623573,0.119443,0.014847,0.016028,0.839033
