asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
PAXG,2024_5M_10K,271,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (22/271),0.012733,-0.001709,-0.008299
PAXG,2025_5M_10K,323,dio_mcm_episode_1rxdw4p->dio_mcm_episode_1hs3jsa (23/323),0.015391,-0.005397,-0.011354
