token,observations,worlds,world_names,dominant_role,dominant_family,role_entropy,neighbor_count,incoming_count,outgoing_count,top_previous,top_next,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_tension,avg_coherence,avg_raw_field,avg_adapted_field,avg_loudness,avg_visual_blur,center_share,recoupling_share,open_share,rand_share,condensation_zone
dio_mcm_episode_14l8khu,211,1,SYNTH_RAND,offene_variante,dio_1v2w,1.021939,2,1,1,dio_mcm_episode_0v5p8er,dio_mcm_episode_1q3us3f,0.673309,0.490066,0.18072,0.794293,0.13219,0.536869,0.16062,0.13219,0.270353,0.469948,0.421801,0.0,0.57346,0.004739,driftzone
dio_mcm_episode_0v5p8er,135,2,"SYNTH_BRUCH_RAND,SYNTH_RAND",offene_variante,dio_1v2w,0.999644,3,2,2,dio_mcm_episode_0vff3w6,dio_mcm_episode_0wjn8vm,0.684721,0.506111,0.169129,0.810468,0.126057,0.546527,0.152829,0.126057,0.256012,0.444985,0.488889,0.0,0.511111,0.0,driftzone
dio_mcm_episode_01s42m6,6,1,XRP_2024_5M,zentrum_stabil,dio_1gp2,0.918296,2,1,1,dio_mcm_episode_16t4uv3,dio_mcm_episode_0b7nep9,0.711557,0.548113,0.141231,0.843048,0.075561,0.595803,0.086748,0.075561,0.129045,0.380362,0.666667,0.0,0.333333,0.0,driftzone
dio_mcm_episode_00dz86x,5,3,"BTC_2024_5M,DOGE_2024_5M,XRP_2024_5M",offene_variante,dio_13it,-0.0,6,3,3,dio_mcm_episode_0ultars,dio_mcm_episode_0s3bynh,0.666085,0.478437,0.17472,0.769196,0.103901,0.43443,0.123281,0.103901,0.179324,0.542769,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_028a6an,5,1,PAXG_2024_5M,zentrum_stabil,dio_1qyl,0.970951,4,2,2,dio_mcm_episode_03fwcbs,dio_mcm_episode_0bntidq,0.692762,0.492936,0.156004,0.849685,0.133979,0.598103,0.160448,0.133979,0.269782,0.285449,0.6,0.0,0.4,0.0,driftzone
dio_mcm_episode_0hjnwsk,5,2,"SOL_2024_5M,XRP_2024_5M",offene_variante,dio_11at,0.721928,3,2,2,dio_mcm_episode_0aztxel,dio_mcm_episode_18n06fj,0.68081,0.50969,0.179368,0.795033,0.130757,0.517609,0.155714,0.130757,0.253082,0.484591,0.2,0.0,0.8,0.0,driftzone
dio_mcm_episode_0s3bynh,5,3,"BTC_2024_5M,DOGE_2024_5M,XRP_2024_5M",zentrum_stabil,dio_0m9z,-0.0,5,3,3,dio_mcm_episode_00dz86x,dio_mcm_episode_10b8y4e,0.710035,0.543118,0.142038,0.84635,0.090759,0.592745,0.103944,0.090759,0.169433,0.339725,1.0,0.0,0.0,0.0,driftzone
dio_mcm_episode_1t4qm9w,5,3,"BTC_2024_5M,DOGE_2024_5M,XRP_2024_5M",offene_variante,dio_01j1,-0.0,4,3,3,dio_mcm_episode_1w84tpt,dio_mcm_episode_1ig1vs0,0.590705,0.382683,0.260712,0.659093,0.150804,0.320219,0.185841,0.150804,0.280007,0.661857,0.0,0.0,1.0,0.0,driftzone
dio_mcm_episode_00i7zy5,4,4,"DOGE_2024_5M,KAS_2024_5M,PAXG_2024_5M,SOL_2024_5M",zentrum_stabil,dio_06er,-0.0,5,3,4,dio_mcm_episode_1yzsm16,dio_mcm_episode_0393v08,0.672287,0.446997,0.156313,0.874807,0.087997,0.672101,0.099756,0.087997,0.162881,0.276801,1.0,0.0,0.0,0.0,driftzone
dio_mcm_episode_068ops8,4,2,"BTC_2024_5M,XRP_2024_5M",zentrum_stabil,dio_1cic,-0.0,4,2,2,dio_mcm_episode_1omwzzf,dio_mcm_episode_1x5cw2v,0.674698,0.45781,0.150238,0.849158,0.062388,0.561212,0.071112,0.062388,0.092644,0.383483,1.0,0.0,0.0,0.0,driftzone
