token,segments,worlds,world_profile,dominant_enter,dominant_enter_count,dominant_exit,dominant_exit_count,end_role_profile,exit_role_profile,duration_avg,within_rekopplung_delta,exit_rekopplung_delta,within_strain_delta,exit_strain_delta,within_loudness_delta,exit_loudness_delta,within_blur_delta,exit_blur_delta,within_tension_delta,exit_tension_delta
dio_mcm_episode_0e7qvj1,90,8,XRP_2025_5M:34; DOGE_2025_5M:19; DOGE_2024_5M:18; XRP_2024_5M:7; PAXG_2024_5M:6; SOL_2024_5M:4; BTC_2024_5M:1; SYNTH_RAND:1,dio_mcm_episode_0mji3u6,25,dio_mcm_episode_18l3thm,30,zentrum_stabil:84; offene_variante:6,zentrum_stabil:67; offene_variante:14; spannungsrand_kippnaehe:5,193.1,0.03315033333333333,-0.010318918604651162,-0.03129503333333333,0.008859011627906978,-0.15377939999999998,0.01050646511627907,-0.034589433333333336,0.010374372093023256,-0.06778983333333334,0.002844081395348837
dio_mcm_episode_0hjnwsk,8,4,DOGE_2025_5M:4; XRP_2025_5M:2; SOL_2024_5M:1; XRP_2024_5M:1,dio_mcm_episode_0aztxel,4,dio_mcm_episode_18n06fj,8,offene_variante:6; zentrum_stabil:2,zentrum_stabil:7; offene_variante:1,2.625,0.01168925000000004,0.011814874999999975,0.004438375000000001,-0.029800999999999994,0.013662124999999997,-0.053921624999999994,0.070656125,-0.109394,0.0022993750000000037,-0.022625500000000003
dio_mcm_episode_0ifxej6,1,1,DOGE_2025_5M:1,dio_mcm_episode_0mm85pw,1,dio_mcm_episode_0r1o8ja,1,zentrum_stabil:1,offene_variante:1,1.0,0.0,-0.036829,0.0,0.03134999999999999,0.0,-0.33303099999999997,0.0,0.461517,0.0,-0.120611
dio_mcm_episode_0jbl5pq,11,6,XRP_2025_5M:4; DOGE_2024_5M:2; DOGE_2025_5M:2; PAXG_2024_5M:1; SOL_2024_5M:1; XRP_2024_5M:1,dio_mcm_episode_0lne9ax,6,dio_mcm_episode_0qzjuvj,9,zentrum_stabil:8; offene_variante:3,zentrum_stabil:8; offene_variante:3,2.5454545454545454,0.00615981818181817,-0.011200181818181831,-0.005675000000000003,0.01400200000000001,-0.013976909090909085,-0.0020990000000000036,-0.10153090909090907,0.024382181818181827,-0.004742909090909092,7.53636363636354e-05
dio_mcm_episode_0l3i7ey,5,3,DOGE_2025_5M:2; XRP_2025_5M:2; XRP_2024_5M:1,dio_mcm_episode_0ldht3x,3,dio_mcm_episode_0lne9ax,2,zentrum_stabil:4; offene_variante:1,zentrum_stabil:4; offene_variante:1,1.4,0.005925399999999992,0.008722200000000036,-0.001425599999999999,-0.004242400000000002,0.01755320000000001,0.04679919999999998,0.013988400000000002,-0.08190499999999998,0.0090568,0.014909399999999998
dio_mcm_episode_0q7j4gf,1,1,SYNTH_BRUCH_RAND:1,dio_mcm_episode_0qhiq5e,1,dio_mcm_episode_0ldenly,1,zentrum_stabil:1,zentrum_stabil:1,1.0,0.0,0.07748700000000008,0.0,-0.06290000000000001,0.0,-0.207556,0.0,-0.027455000000000007,0.0,-0.097395
dio_mcm_episode_0qzjuvj,9,6,XRP_2025_5M:3; DOGE_2025_5M:2; DOGE_2024_5M:1; PAXG_2024_5M:1; SOL_2024_5M:1; XRP_2024_5M:1,dio_mcm_episode_0jbl5pq,9,dio_mcm_episode_0z748ck,6,offene_variante:5; zentrum_stabil:4,offene_variante:6; zentrum_stabil:3,2.5555555555555554,0.0019055555555555677,0.0023236666666666744,0.002530111111111108,0.003070888888888887,0.012950000000000005,0.052469,0.006326444444444437,0.010410444444444436,0.0039698888888888935,0.02341766666666666
dio_mcm_episode_0y1i8dq,1,1,XRP_2025_5M:1,dio_mcm_episode_0om13wf,1,dio_mcm_episode_0om13wf,1,offene_variante:1,offene_variante:1,1.0,0.0,-0.08761000000000008,0.0,0.06031700000000001,0.0,0.10831199999999996,0.0,0.09670099999999998,0.0,0.03920900000000002
dio_mcm_episode_1hs3jsa,3,2,DOGE_2025_5M:2; XRP_2025_5M:1,dio_mcm_episode_1q3us3f,2,dio_mcm_episode_1q3us3f,2,zentrum_stabil:3,zentrum_stabil:2; spannungsrand_kippnaehe:1,204.0,-0.003594333333333329,-0.07329233333333329,0.011421999999999993,0.07841933333333333,0.037108333333333327,0.25633066666666665,0.04991099999999998,0.12016766666666667,0.020874999999999994,0.10574066666666666
dio_mcm_episode_1i31hl0,1,1,XRP_2025_5M:1,dio_mcm_episode_1mesbjy,1,dio_mcm_episode_0om13wf,1,offene_variante:1,zentrum_stabil:1,2.0,-0.009124999999999939,0.01581100000000002,0.04667299999999999,-0.053733,0.31318199999999996,-0.315059,-0.08438400000000007,0.025547000000000042,0.11851000000000002,-0.130027
