phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,auditory_loudness,auditory_softening,auditory_stimulation,visual_salience,visual_sharpness,visual_blur,raw_field_intake,adapted_field_intake,intake_reduction,adaptation_ratio,regulation_damping,adaptation_potential,felt_pressure,felt_relaxation,mcm_tension,mcm_coherence,mcm_asymmetry,auditory_to_field_gap,hoeren_score,sehen_score,feldinput_score,druck_score,strongest_axis,limiting_axis
ruhig_basis,600,0.978333,0.008333,0.001667,0.011667,0.024681,0.041382,0.024681,0.096065,0.838368,0.161632,0.017869,0.016252,0.001617,0.909521,0.081213,0.081213,0.02563,0.888988,0.016252,0.795668,0.001112,0.006812,0.056173,0.257697,0.198165,-0.134803,sehen,adaptation
druckaufbau,600,0.976667,0.011667,0.001667,0.01,0.028424,0.044752,0.028424,0.120319,0.834527,0.165473,0.021252,0.019271,0.001981,0.906788,0.08284,0.08284,0.031619,0.879485,0.019271,0.781391,-0.007922,0.007171,0.064018,0.285792,0.208184,-0.132929,sehen,adaptation
laute_randphase,800,0.065,0.76125,0.02875,0.145,0.277935,0.306809,0.277935,0.391998,0.537494,0.462506,0.164442,0.135322,0.02912,0.822917,0.163243,0.163243,0.155784,0.739207,0.135322,0.538715,-0.004699,0.113493,0.669364,0.854504,0.65537,0.138566,sehen,adaptation
asymmetrischer_bruch,700,0.842857,0.078571,0.0,0.078571,0.123509,0.117209,0.123509,0.25875,0.805122,0.194878,0.075119,0.067021,0.008098,0.892198,0.101972,0.101972,0.081378,0.830534,0.067021,0.732642,-0.167432,0.048391,0.295409,0.453628,0.354182,-0.18514,sehen,adaptation
gegenzerrung,700,0.947143,0.021429,0.0,0.031429,0.046284,0.058931,0.046284,0.183238,0.824711,0.175289,0.03339,0.030325,0.003066,0.908189,0.087916,0.087916,0.048222,0.856572,0.030325,0.750656,0.0902,0.012894,0.105462,0.358527,0.242612,-0.002568,sehen,adaptation
ueberreizter_nachhall,700,0.91,0.035714,0.001429,0.052857,0.088965,0.102598,0.088965,0.19162,0.777074,0.222926,0.055287,0.049438,0.005849,0.894208,0.099916,0.099916,0.059819,0.851135,0.049438,0.738623,6.4e-05,0.033679,0.211609,0.414546,0.310406,-0.060906,sehen,adaptation
rekopplungsversuch,700,0.992857,0.004286,0.001429,0.001429,0.026263,0.042715,0.026263,0.112387,0.838078,0.161922,0.01961,0.01788,0.00173,0.911771,0.081924,0.081924,0.029352,0.882963,0.01788,0.787797,0.00831,0.006653,0.05918,0.274309,0.203069,-0.12105,sehen,adaptation
ruhe_restspannung,600,0.995,0.003333,0.001667,0.0,0.026721,0.042797,0.026721,0.100968,0.838736,0.161264,0.019134,0.017367,0.001766,0.907678,0.081566,0.081566,0.027121,0.887274,0.017367,0.794513,0.000726,0.007587,0.06103,0.262232,0.2014,-0.132241,sehen,adaptation
zweiter_randstoss,600,0.95,0.023333,0.003333,0.023333,0.119193,0.114747,0.119193,0.269031,0.799038,0.200962,0.073802,0.065633,0.008169,0.889312,0.10239,0.10239,0.082541,0.825745,0.065633,0.722917,-0.171564,0.045391,0.283776,0.469992,0.352384,-0.188538,sehen,adaptation
schluss_rekopplung,994,0.996982,0.003018,0.0,0.0,0.02295,0.040803,0.02295,0.107341,0.836904,0.163096,0.017623,0.016129,0.001494,0.915218,0.081527,0.081527,0.027378,0.884861,0.016129,0.788577,0.009943,0.005326,0.051225,0.270437,0.1983,-0.123522,sehen,adaptation
