token,observations,worlds,world_names,dominant_role,dominant_family,role_entropy,neighbor_count,incoming_count,outgoing_count,top_previous,top_next,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_tension,avg_coherence,avg_raw_field,avg_adapted_field,avg_loudness,avg_visual_blur,center_share,recoupling_share,open_share,rand_share,condensation_zone
dio_mcm_episode_0pclaui,14,1,STABLE10K_REPRO,offene_variante,dio_14ep,1.556657,11,11,11,dio_mcm_episode_0xe4euy,dio_mcm_episode_1b68xzt,0.621821,0.399385,0.256634,0.837648,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0.428571,0.285714,driftzone
dio_mcm_episode_0p2lp5j,5,1,STABLE10K_REPRO,offene_variante,dio_1de5,1.521928,4,3,3,dio_mcm_episode_1adxznm,dio_mcm_episode_0pclaui,0.620856,0.41444,0.264009,0.832307,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,driftzone
dio_mcm_episode_0ipx085,4,1,STABLE10K_REPRO,zentrum_stabil,dio_0cql,0.811278,7,4,4,dio_mcm_episode_0i6frxu,dio_mcm_episode_1tzi2la,0.627258,0.36338,0.202776,0.836275,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,driftzone
dio_mcm_episode_0pmkwjh,4,1,STABLE10K_REPRO,zentrum_stabil,dio_0l78,0.811278,4,3,3,dio_mcm_episode_0pclaui,dio_mcm_episode_0wxdilw,0.640112,0.408493,0.214053,0.866113,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,driftzone
dio_mcm_episode_0s34bl3,4,1,STABLE10K_REPRO,zentrum_stabil,dio_10bh,0.811278,6,4,4,dio_mcm_episode_0ypbnxi,dio_mcm_episode_1tzi2la,0.64302,0.422808,0.222737,0.880297,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,driftzone
dio_mcm_episode_1a3ydyn,4,1,STABLE10K_REPRO,offene_variante,dio_1bp8,0.811278,7,4,4,dio_mcm_episode_1adxznm,dio_mcm_episode_0pclaui,0.620917,0.415987,0.276384,0.845168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,driftzone
dio_mcm_episode_1leh5qu,4,1,STABLE10K_REPRO,spannungsrand_kippnaehe,dio_0di0,1.5,6,3,3,dio_mcm_episode_1l4hk1v,dio_mcm_episode_0eje6op,0.601348,0.345672,0.27172,0.812918,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,driftzone
dio_mcm_episode_0044zlp,3,1,STABLE10K_REPRO,zentrum_stabil,dio_14om,0.918296,4,3,3,dio_mcm_episode_0m0hadc,dio_mcm_episode_1y00xwb,0.635935,0.391038,0.206211,0.835261,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.333333,0.0,driftzone
dio_mcm_episode_009px6q,3,1,STABLE10K_REPRO,offene_variante,dio_0lt0,0.918296,2,1,1,dio_mcm_episode_0y0oxs9,dio_mcm_episode_0y50lf3,0.639169,0.417091,0.220561,0.860889,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.666667,0.0,driftzone
dio_mcm_episode_0y0oxs9,3,1,STABLE10K_REPRO,zentrum_stabil,dio_1ayd,0.918296,2,1,1,dio_mcm_episode_03724m4,dio_mcm_episode_009px6q,0.639146,0.396504,0.201626,0.856044,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.333333,0.0,driftzone
dio_mcm_episode_0yfw60g,3,1,STABLE10K_REPRO,offene_variante,dio_1pqi,0.918296,3,2,2,dio_mcm_episode_08bg8gu,dio_mcm_episode_0pclaui,0.649816,0.426492,0.217076,0.901425,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.666667,0.0,driftzone
dio_mcm_episode_1szn8l2,3,1,STABLE10K_REPRO,zentrum_stabil,dio_1me5,0.918296,2,1,1,dio_mcm_episode_16qfcb6,dio_mcm_episode_00pcu87,0.629784,0.382195,0.214264,0.839484,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.333333,0.0,driftzone
dio_mcm_episode_0393v08,2,1,STABLE10K_REPRO,zentrum_stabil,dio_0hy9,1.0,2,1,1,dio_mcm_episode_00i7zy5,dio_mcm_episode_0u1i1ff,0.640543,0.428794,0.229408,0.853515,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,driftzone
dio_mcm_episode_0ifxej6,2,1,STABLE10K_REPRO,zentrum_stabil,dio_0tqh,1.0,4,2,2,dio_mcm_episode_0q7j4gf,dio_mcm_episode_0wxdilw,0.631954,0.374125,0.192905,0.813906,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_0inn73s,2,1,STABLE10K_REPRO,offene_variante,dio_15r8,1.0,4,2,2,dio_mcm_episode_0ixmssr,dio_mcm_episode_04e9yp5,0.63829,0.396681,0.218824,0.877993,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_0x44t5z,2,1,STABLE10K_REPRO,spannungsrand_kippnaehe,dio_00x9,1.0,4,2,2,dio_mcm_episode_1a3ydyn,dio_mcm_episode_0p2lp5j,0.59993,0.424405,0.326543,0.782671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,driftzone
dio_mcm_episode_0xi103f,2,1,STABLE10K_REPRO,offene_variante,dio_01z0,1.0,2,1,1,dio_mcm_episode_0eje6op,dio_mcm_episode_0m0hadc,0.623273,0.358853,0.2144,0.842486,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_0ypvrpf,2,1,STABLE10K_REPRO,offene_variante,dio_1r16,1.0,2,1,1,dio_mcm_episode_1a3ydyn,dio_mcm_episode_04e9yp5,0.638315,0.407496,0.222293,0.868664,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_16qfcb6,2,1,STABLE10K_REPRO,zentrum_stabil,dio_0g9x,1.0,2,1,1,dio_mcm_episode_09y6fy0,dio_mcm_episode_1szn8l2,0.641779,0.373597,0.210506,0.819835,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,driftzone
dio_mcm_episode_00pcu87,1,1,STABLE10K_REPRO,zentrum_stabil,dio_0el3,-0.0,2,1,1,dio_mcm_episode_1szn8l2,dio_mcm_episode_1qaxk48,0.636993,0.359714,0.182167,0.861659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
dio_mcm_episode_0814yo6,1,1,STABLE10K_REPRO,offene_variante,dio_041h,-0.0,2,1,1,dio_mcm_episode_1fc319h,dio_mcm_episode_0s34bl3,0.619941,0.378269,0.257117,0.856821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_08bg8gu,1,1,STABLE10K_REPRO,offene_variante,dio_151c,-0.0,2,1,1,dio_mcm_episode_1aylh55,dio_mcm_episode_0yfw60g,0.622707,0.396214,0.271879,0.86367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_08v3rr3,1,1,STABLE10K_REPRO,offene_variante,dio_058d,-0.0,2,1,1,dio_mcm_episode_1fc319h,dio_mcm_episode_0s34bl3,0.636432,0.412013,0.2573,0.897554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_09y6fy0,1,1,STABLE10K_REPRO,zentrum_stabil,dio_15w2,-0.0,2,1,1,dio_mcm_episode_1u49eh1,dio_mcm_episode_16qfcb6,0.667817,0.435442,0.164837,0.867405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
dio_mcm_episode_09y78yy,1,1,STABLE10K_REPRO,spannungsrand_kippnaehe,dio_1lnn,-0.0,2,1,1,dio_mcm_episode_183drjy,dio_mcm_episode_1aylh55,0.578115,0.380543,0.383718,0.754301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,junge_spur
dio_mcm_episode_0d3lkd6,1,1,STABLE10K_REPRO,spannungsrand_kippnaehe,dio_14pw,-0.0,2,1,1,dio_mcm_episode_183drjy,dio_mcm_episode_1leh5qu,0.607058,0.348825,0.35258,0.780408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,junge_spur
dio_mcm_episode_0eje6op,1,1,STABLE10K_REPRO,zentrum_stabil,dio_0g4t,-0.0,2,1,1,dio_mcm_episode_1leh5qu,dio_mcm_episode_0xi103f,0.630375,0.353584,0.197086,0.861227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
dio_mcm_episode_0i5xsu7,1,1,STABLE10K_REPRO,zentrum_stabil,dio_1tsv,-0.0,2,1,1,dio_mcm_episode_1anxlcl,dio_mcm_episode_0x7d4av,0.628073,0.379531,0.211387,0.84307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
dio_mcm_episode_0i6frxu,1,1,STABLE10K_REPRO,offene_variante,dio_0jnf,-0.0,2,1,1,dio_mcm_episode_1fr10dh,dio_mcm_episode_0ipx085,0.621114,0.354917,0.228621,0.84664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_0ixmssr,1,1,STABLE10K_REPRO,offene_variante,dio_056r,-0.0,2,1,1,dio_mcm_episode_1mtmxvz,dio_mcm_episode_0inn73s,0.636614,0.43911,0.249096,0.853829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_0klo6xe,1,1,STABLE10K_REPRO,spannungsrand_kippnaehe,dio_009w,-0.0,2,1,1,dio_mcm_episode_183drjy,dio_mcm_episode_0q7j4gf,0.576856,0.324648,0.329113,0.741391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,junge_spur
dio_mcm_episode_0l8x0pw,1,1,STABLE10K_REPRO,zentrum_stabil,dio_1ljb,-0.0,2,1,1,dio_mcm_episode_0ljkwig,dio_mcm_episode_1u49eh1,0.70263,0.468941,0.095582,0.901185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
dio_mcm_episode_0ljkwig,1,1,STABLE10K_REPRO,zentrum_stabil,dio_1neb,-0.0,2,1,1,dio_mcm_episode_0ltki7f,dio_mcm_episode_0l8x0pw,0.647984,0.38857,0.160481,0.805505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
dio_mcm_episode_0ltki7f,1,1,STABLE10K_REPRO,zentrum_stabil,dio_035k,-0.0,2,1,1,dio_mcm_episode_0ipx085,dio_mcm_episode_0ljkwig,0.669713,0.444655,0.165053,0.846006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
dio_mcm_episode_0oj299g,1,1,STABLE10K_REPRO,offene_variante,dio_14zh,-0.0,2,1,1,dio_mcm_episode_1aolvg6,dio_mcm_episode_0pd12cd,0.620894,0.403885,0.263689,0.857162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,junge_spur
dio_mcm_episode_0pd12cd,1,1,STABLE10K_REPRO,zentrum_stabil,dio_056s,-0.0,2,1,1,dio_mcm_episode_0oj299g,dio_mcm_episode_0x81eeg,0.646318,0.379314,0.168803,0.886499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,junge_spur
