pair,count,worlds,dominant_world,dominant_role_shift,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
dio_mcm_episode_0mji3u6->dio_mcm_episode_0e7qvj1,44,2,BTC_2025_5M_10K (26/44),zentrum_stabil->zentrum_stabil (29/44),-0.014939,0.143021,-0.007384,0.015543,-0.008802
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1jwnjz4,41,2,BTC_2024_5M_10K (27/41),zentrum_stabil->zentrum_stabil (38/41),-0.023525,0.038735,-0.015707,0.013019,-0.073690
dio_mcm_episode_1jwnjz4->dio_mcm_episode_0e7qvj1,39,2,BTC_2024_5M_10K (25/39),zentrum_stabil->offene_variante (17/39),0.103299,-0.083842,0.069089,-0.065455,0.299034
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0mji3u6,27,2,BTC_2025_5M_10K (16/27),zentrum_stabil->offene_variante (16/27),0.016647,-0.265115,0.000289,-0.024890,-0.028458
dio_mcm_episode_0jbl5pq->dio_mcm_episode_0qzjuvj,20,2,BTC_2025_5M_10K (11/20),zentrum_stabil->zentrum_stabil (15/20),-0.002864,0.061091,-0.015667,-0.000316,-0.008180
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s,19,2,BTC_2025_5M_10K (14/19),zentrum_stabil->zentrum_stabil (19/19),-0.016731,0.065261,-0.010573,0.009860,-0.045109
dio_mcm_episode_0qzjuvj->dio_mcm_episode_0z748ck,17,2,BTC_2025_5M_10K (11/17),zentrum_stabil->zentrum_stabil (10/17),0.014750,-0.093979,0.017149,-0.006474,0.042479
dio_mcm_episode_0z748ck->dio_mcm_episode_0e7qvj1,17,2,BTC_2025_5M_10K (10/17),zentrum_stabil->zentrum_stabil (11/17),-0.000365,0.012645,0.008829,0.002039,0.004294
dio_mcm_episode_18n06fj->dio_mcm_episode_0mji3u6,15,2,BTC_2025_5M_10K (9/15),zentrum_stabil->zentrum_stabil (8/15),0.002248,0.092852,-0.006233,-0.003504,0.011884
dio_mcm_episode_0hjnwsk->dio_mcm_episode_18n06fj,14,2,BTC_2024_5M_10K (7/14),zentrum_stabil->zentrum_stabil (9/14),0.003741,0.000383,0.004036,-0.000374,0.021671
dio_mcm_episode_1hdpu9s->dio_mcm_episode_0e7qvj1,14,2,BTC_2025_5M_10K (9/14),zentrum_stabil->offene_variante (5/14),0.066113,-0.133113,0.031819,-0.047123,0.166522
dio_mcm_episode_0lne9ax->dio_mcm_episode_0jbl5pq,12,2,BTC_2024_5M_10K (6/12),zentrum_stabil->zentrum_stabil (8/12),0.015196,-0.012994,0.009426,-0.011719,0.043971
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0lfde2c,11,2,BTC_2025_5M_10K (10/11),zentrum_stabil->zentrum_stabil (10/11),0.040982,0.110060,0.035459,-0.014760,0.147135
dio_mcm_episode_0aztxel->dio_mcm_episode_0hjnwsk,9,2,BTC_2024_5M_10K (5/9),zentrum_stabil->zentrum_stabil (6/9),0.002890,0.083121,0.011469,0.001525,0.043799
dio_mcm_episode_0lfde2c->dio_mcm_episode_0e7qvj1,9,1,BTC_2025_5M_10K (9/9),zentrum_stabil->zentrum_stabil (5/9),-0.029249,-0.139315,-0.024103,0.011149,-0.107630
dio_mcm_episode_0lfde2c->dio_mcm_episode_1rxdw4p,9,1,BTC_2025_5M_10K (9/9),zentrum_stabil->zentrum_stabil (9/9),-0.038041,0.158882,-0.028286,0.017700,-0.101210
dio_mcm_episode_0gqol8d->dio_mcm_episode_1jwnjz4,8,2,BTC_2025_5M_10K (5/8),zentrum_stabil->offene_variante (3/8),0.023792,-0.095882,0.026095,-0.013148,0.055728
dio_mcm_episode_1rxdw4p->dio_mcm_episode_0lfde2c,8,1,BTC_2025_5M_10K (8/8),zentrum_stabil->offene_variante (4/8),0.069456,-0.014283,0.027002,-0.038303,0.212954
dio_mcm_episode_1hdpu9s->dio_mcm_episode_1rxdw4p,8,1,BTC_2025_5M_10K (8/8),zentrum_stabil->zentrum_stabil (7/8),0.042623,0.104441,0.016649,-0.023894,0.152844
dio_mcm_episode_0d40zcv->dio_mcm_episode_0mji3u6,7,2,BTC_2025_5M_10K (4/7),zentrum_stabil->zentrum_stabil (3/7),-0.033571,0.016586,-0.006443,0.022731,-0.078948
dio_mcm_episode_0l3i7ey->dio_mcm_episode_0aztxel,7,2,BTC_2025_5M_10K (4/7),zentrum_stabil->zentrum_stabil (4/7),-0.000091,0.035247,0.000989,0.007482,0.033109
dio_mcm_episode_0mlk2ts->dio_mcm_episode_0lne9ax,7,2,BTC_2024_5M_10K (5/7),zentrum_stabil->zentrum_stabil (3/7),0.023058,0.070155,0.026661,-0.007732,0.083926
dio_mcm_episode_1jwnjz4->dio_mcm_episode_0gqol8d,7,2,BTC_2025_5M_10K (4/7),zentrum_stabil->zentrum_stabil (6/7),-0.032509,0.097071,-0.012751,0.017540,-0.081596
dio_mcm_episode_0gqol8d->dio_mcm_episode_0nyb3ro,6,1,BTC_2024_5M_10K (6/6),zentrum_stabil->zentrum_stabil (5/6),-0.009964,0.102861,0.009795,0.008696,-0.000121
dio_mcm_episode_0nyb3ro->dio_mcm_episode_0gqol8d,6,1,BTC_2024_5M_10K (6/6),zentrum_stabil->zentrum_stabil (4/6),-0.004307,-0.272063,-0.008082,-0.004476,-0.074611
dio_mcm_episode_0l3i7ey->dio_mcm_episode_0jbl5pq,5,2,BTC_2025_5M_10K (3/5),zentrum_stabil->zentrum_stabil (2/5),0.026654,0.005559,0.049409,0.003736,0.132365
dio_mcm_episode_0l3i7ey->dio_mcm_episode_0lne9ax,5,2,BTC_2025_5M_10K (3/5),zentrum_stabil->zentrum_stabil (4/5),-0.016518,0.063630,-0.023013,0.018956,-0.020875
dio_mcm_episode_1rxdw4p->dio_mcm_episode_1hdpu9s,5,1,BTC_2025_5M_10K (5/5),zentrum_stabil->zentrum_stabil (5/5),0.008990,-0.049056,-0.006217,-0.006279,-0.000892
dio_mcm_episode_0ne8zu9->dio_mcm_episode_07llqq8,4,2,BTC_2024_5M_10K (2/4),offene_variante->zentrum_stabil (2/4),-0.020369,-0.006367,0.004997,0.030034,-0.009871
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0dbqs19,4,2,BTC_2024_5M_10K (3/4),zentrum_stabil->spannungsrand_kippnaehe (4/4),0.274674,-0.073123,0.283755,-0.167268,0.786345
dio_mcm_episode_0e7qvj1->dio_mcm_episode_19a388p,4,2,BTC_2024_5M_10K (2/4),zentrum_stabil->spannungsrand_kippnaehe (3/4),0.224419,-0.149837,0.108251,-0.146284,0.619536
dio_mcm_episode_0gqol8d->dio_mcm_episode_1hdpu9s,4,2,BTC_2024_5M_10K (2/4),zentrum_stabil->zentrum_stabil (2/4),-0.024630,0.049770,-0.000350,-0.000538,-0.075684
dio_mcm_episode_1hdpu9s->dio_mcm_episode_0gqol8d,4,2,BTC_2025_5M_10K (3/4),zentrum_stabil->zentrum_stabil (4/4),0.000981,-0.129448,0.008186,0.010045,0.001937
dio_mcm_episode_1rxdw4p->dio_mcm_episode_0tre8bg,4,1,BTC_2025_5M_10K (4/4),zentrum_stabil->spannungsrand_kippnaehe (4/4),0.242591,-0.128947,0.120975,-0.150506,0.663158
dio_mcm_episode_0e7qvj1->dio_mcm_episode_18l3thm,4,1,BTC_2025_5M_10K (4/4),zentrum_stabil->zentrum_stabil (4/4),-0.021287,0.050699,-0.024751,0.001435,-0.068902
dio_mcm_episode_18l3thm->dio_mcm_episode_0e7qvj1,4,1,BTC_2025_5M_10K (4/4),zentrum_stabil->zentrum_stabil (4/4),0.057123,0.016114,0.042147,-0.028819,0.202716
dio_mcm_episode_0mji3u6->dio_mcm_episode_0ndgwx3,4,1,BTC_2025_5M_10K (4/4),zentrum_stabil->zentrum_stabil (3/4),-0.036027,-0.013859,-0.024639,0.028439,-0.085487
dio_mcm_episode_0ndgwx3->dio_mcm_episode_0mji3u6,4,1,BTC_2025_5M_10K (4/4),zentrum_stabil->zentrum_stabil (2/4),0.086806,0.129734,0.086212,-0.045792,0.288939
dio_mcm_episode_0nyb3ro->dio_mcm_episode_1rxdw4p,4,1,BTC_2025_5M_10K (4/4),zentrum_stabil->spannungsrand_kippnaehe (2/4),0.120706,0.079464,0.027549,-0.069841,0.332198
dio_mcm_episode_1i1sl4l->dio_mcm_episode_0db07p4,3,1,BTC_2024_5M_10K (3/3),offene_variante->offene_variante (2/3),-0.068809,-0.081251,-0.021673,0.020404,-0.218182
dio_mcm_episode_1ahj81f->dio_mcm_episode_1t42af6,3,2,BTC_2024_5M_10K (2/3),zentrum_stabil->offene_variante (2/3),0.112155,0.062393,0.054744,-0.055600,0.346407
dio_mcm_episode_1t42af6->dio_mcm_episode_1ahj81f,3,2,BTC_2024_5M_10K (2/3),zentrum_stabil->zentrum_stabil (3/3),-0.028815,0.043941,-0.007971,0.005154,-0.112372
dio_mcm_episode_07llqq8->dio_mcm_episode_0hjnwsk,3,2,BTC_2024_5M_10K (2/3),offene_variante->zentrum_stabil (2/3),-0.018983,0.089446,-0.039294,0.016272,-0.067265
dio_mcm_episode_1iq1hgz->dio_mcm_episode_0tf9fq3,3,2,BTC_2024_5M_10K (2/3),offene_variante->zentrum_stabil (2/3),-0.034561,0.373943,-0.013396,0.037138,-0.003860
dio_mcm_episode_0i7gfxw->dio_mcm_episode_0aztxel,3,2,BTC_2024_5M_10K (2/3),zentrum_stabil->zentrum_stabil (2/3),-0.021904,0.023008,0.012558,0.024645,-0.016605
dio_mcm_episode_0n5sqpn->dio_mcm_episode_0l3i7ey,3,2,BTC_2024_5M_10K (2/3),zentrum_stabil->zentrum_stabil (2/3),0.013423,-0.041161,0.031003,-0.005679,0.037876
dio_mcm_episode_0aztxel->dio_mcm_episode_0jbl5pq,3,2,BTC_2025_5M_10K (2/3),zentrum_stabil->zentrum_stabil (3/3),-0.035717,0.124817,-0.040981,0.015201,-0.125832
dio_mcm_episode_03hr8bf->dio_mcm_episode_0d40zcv,3,2,BTC_2025_5M_10K (2/3),zentrum_stabil->zentrum_stabil (2/3),-0.034902,0.297099,-0.069753,0.020402,-0.104760
dio_mcm_episode_0mji3u6->dio_mcm_episode_0d40zcv,3,2,BTC_2025_5M_10K (2/3),zentrum_stabil->offene_variante (2/3),-0.007306,0.079087,-0.101998,-0.019126,-0.131803
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0l5wut9,3,2,BTC_2025_5M_10K (2/3),zentrum_stabil->spannungsrand_kippnaehe (3/3),0.231026,-0.211164,0.120715,-0.159218,0.598102
dio_mcm_episode_1hs3jsa->dio_mcm_episode_1rxdw4p,3,1,BTC_2025_5M_10K (3/3),zentrum_stabil->zentrum_stabil (1/3),0.115839,0.048886,0.045527,-0.070118,0.348807
dio_mcm_episode_1ugblu1->dio_mcm_episode_0nyb3ro,3,1,BTC_2025_5M_10K (3/3),zentrum_stabil->zentrum_stabil (3/3),0.007824,-0.039488,-0.001347,-0.005406,0.004908
dio_mcm_episode_1rxdw4p->dio_mcm_episode_0nyb3ro,3,1,BTC_2025_5M_10K (3/3),zentrum_stabil->zentrum_stabil (3/3),-0.038560,-0.033669,-0.026754,0.019094,-0.117050
dio_mcm_episode_1al8fjz->dio_mcm_episode_1y2gc2i,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil (2/2),-0.025745,-0.008122,-0.007691,0.025499,-0.047446
dio_mcm_episode_1i1sl4l->dio_mcm_episode_1jx2k4i,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.012455,0.078445,-0.051252,-0.009562,-0.074703
dio_mcm_episode_1jx2k4i->dio_mcm_episode_1i1sl4l,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil (1/2),0.157341,-0.064723,0.094453,-0.087088,0.466220
dio_mcm_episode_0db07p4->dio_mcm_episode_1i1sl4l,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),0.003716,-0.083703,0.023933,0.005079,0.018832
dio_mcm_episode_1jx2k4i->dio_mcm_episode_1joiyc3,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->offene_variante (1/2),-0.019541,-0.111461,-0.034999,-0.006155,-0.068193
dio_mcm_episode_1jx2k4i->dio_mcm_episode_1ahj81f,2,1,BTC_2024_5M_10K (2/2),offene_variante->zentrum_stabil (1/2),-0.029751,0.207921,-0.025583,0.022798,-0.044423
dio_mcm_episode_1ahj81f->dio_mcm_episode_1jx2k4i,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.012323,0.168093,-0.009264,0.018024,-0.013344
dio_mcm_episode_0om13wf->dio_mcm_episode_0q2mdr0,2,2,BTC_2024_5M_10K (1/2),offene_variante->zentrum_stabil (1/2),-0.012922,0.034713,-0.034617,0.001011,-0.059723
dio_mcm_episode_0q2mdr0->dio_mcm_episode_0l3i7ey,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil (1/2),-0.019722,0.124203,-0.020260,0.014937,-0.034982
dio_mcm_episode_06zvueu->dio_mcm_episode_0ne8zu9,2,2,BTC_2024_5M_10K (1/2),offene_variante->offene_variante (1/2),0.137036,-0.066945,0.183857,-0.078552,0.428745
dio_mcm_episode_1uqjjv3->dio_mcm_episode_1iq1hgz,2,2,BTC_2024_5M_10K (1/2),offene_variante->zentrum_stabil (1/2),0.019362,0.131741,0.073688,0.010018,0.141970
dio_mcm_episode_0ne8zu9->dio_mcm_episode_0ultars,2,2,BTC_2024_5M_10K (1/2),offene_variante->offene_variante (1/2),0.019287,-0.407662,0.030602,-0.009429,0.022375
dio_mcm_episode_0ultars->dio_mcm_episode_07llqq8,2,2,BTC_2024_5M_10K (1/2),offene_variante->offene_variante (1/2),-0.060459,0.143969,-0.039447,0.037253,-0.170001
dio_mcm_episode_0ultars->dio_mcm_episode_00dz86x,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->offene_variante (1/2),-0.017365,-0.277749,-0.046604,-0.011999,-0.185818
dio_mcm_episode_00dz86x->dio_mcm_episode_1ppvnd6,2,2,BTC_2024_5M_10K (1/2),offene_variante->zentrum_stabil (2/2),-0.045692,0.239949,-0.007965,0.067215,-0.002010
dio_mcm_episode_1ppvnd6->dio_mcm_episode_0s3bynh,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil (2/2),-0.004011,0.003372,-0.002279,0.001800,-0.004680
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0kvu3mb,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->spannungsrand_kippnaehe (1/2),0.234549,0.136291,0.158008,-0.129073,0.690062
dio_mcm_episode_0tf9fq3->dio_mcm_episode_0l3i7ey,2,1,BTC_2024_5M_10K (2/2),offene_variante->zentrum_stabil (2/2),-0.038481,0.178857,-0.049596,0.026886,-0.063822
dio_mcm_episode_06ciaj1->dio_mcm_episode_1n1dhu9,2,2,BTC_2024_5M_10K (1/2),spannungsrand_kippnaehe->zentrum_stabil (2/2),-0.085452,-0.080279,-0.044766,0.066086,-0.175649
dio_mcm_episode_0y1i8dq->dio_mcm_episode_0om13wf,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->offene_variante (2/2),0.061911,-0.227025,0.037818,-0.058978,0.066342
dio_mcm_episode_0tf9fq3->dio_mcm_episode_0aztxel,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil (2/2),0.000847,0.156844,0.009669,0.000982,0.028844
dio_mcm_episode_1i31hl0->dio_mcm_episode_0om13wf,2,1,BTC_2024_5M_10K (2/2),offene_variante->zentrum_stabil (2/2),-0.068359,0.278160,-0.029825,0.069658,-0.043552
dio_mcm_episode_0e7qvj1->dio_mcm_episode_04g6nc4,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->spannungsrand_kippnaehe (2/2),0.289407,0.019561,0.307934,-0.183141,0.810678
dio_mcm_episode_0om13wf->dio_mcm_episode_0ne8zu9,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil (2/2),-0.016009,0.308974,-0.034300,0.032461,0.039045
dio_mcm_episode_0r1o8ja->dio_mcm_episode_1iq1hgz,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->offene_variante (1/2),0.046258,-0.270211,0.031357,-0.038640,0.050930
dio_mcm_episode_0e7qvj1->dio_mcm_episode_19cadje,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->spannungsrand_kippnaehe (2/2),0.275113,-0.166985,0.158823,-0.192760,0.736714
dio_mcm_episode_0n5sqpn->dio_mcm_episode_0mlk2ts,2,2,BTC_2024_5M_10K (1/2),offene_variante->zentrum_stabil (2/2),-0.040066,0.082925,-0.046457,0.039376,-0.123797
dio_mcm_episode_14l8khu->dio_mcm_episode_14coypf,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->offene_variante (1/2),0.089027,-0.103290,0.051086,-0.057841,0.221041
dio_mcm_episode_14coypf->dio_mcm_episode_14l8khu,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.024640,0.195694,-0.035269,0.009840,-0.058146
dio_mcm_episode_17c7qwp->dio_mcm_episode_00nzcuc,2,1,BTC_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil (1/2),0.047453,0.058585,0.050083,-0.034483,0.140114
dio_mcm_episode_0lne9ax->dio_mcm_episode_0l3i7ey,2,2,BTC_2024_5M_10K (1/2),zentrum_stabil->offene_variante (1/2),0.055512,-0.044395,0.021801,-0.038524,0.153501
dio_mcm_episode_17qt878->dio_mcm_episode_0k1pid9,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),0.015208,0.036779,0.023834,0.014006,0.100083
dio_mcm_episode_0tre8bg->dio_mcm_episode_181h3zs,2,1,BTC_2025_5M_10K (2/2),spannungsrand_kippnaehe->zentrum_stabil (2/2),-0.205214,0.189281,-0.023581,0.124626,-0.492987
dio_mcm_episode_1q3us3f->dio_mcm_episode_1hdpu9s,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),0.034642,0.162871,0.007992,-0.023716,0.120691
dio_mcm_episode_1rxdw4p->dio_mcm_episode_1hs3jsa,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.013088,-0.010195,-0.004656,0.006777,-0.065930
dio_mcm_episode_0k1pid9->dio_mcm_episode_1yy9dcm,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),0.008896,0.046895,-0.002160,0.000406,0.032740
dio_mcm_episode_1aavr7r->dio_mcm_episode_10sv6w0,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.020810,-0.069053,-0.024709,0.000815,-0.072013
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1rxdw4p,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.014309,0.014671,-0.027776,0.010580,-0.024149
dio_mcm_episode_0aztxel->dio_mcm_episode_0qzjuvj,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.026585,-0.012665,-0.023228,0.014536,-0.059987
dio_mcm_episode_1iq1hgz->dio_mcm_episode_0om13wf,2,1,BTC_2025_5M_10K (2/2),offene_variante->zentrum_stabil (2/2),-0.054484,0.400947,-0.024017,0.065787,-0.067643
dio_mcm_episode_0ultars->dio_mcm_episode_0aztxel,2,1,BTC_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil (2/2),-0.017501,0.154017,-0.035224,0.002250,-0.066505
