phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_vorlast,700,0.985714,0.005714,0.001429,0.007143,0.758749,0.618759,0.12024,0.017302,0.02275,0.838671
oeffnung,700,0.974286,0.011429,0.001429,0.012857,0.755955,0.614501,0.120362,0.022103,0.028703,0.833642
bruch_impuls,700,0.885714,0.051429,0.001429,0.061429,0.737755,0.580795,0.12339,0.048262,0.0692,0.807654
rekopplung,700,0.994286,0.004286,0.001429,0.0,0.758498,0.620181,0.120738,0.020985,0.027467,0.835918
randflackern,700,0.232857,0.548571,0.004286,0.214286,0.69464,0.513264,0.151286,0.094493,0.146732,0.622877
gegenpol,700,0.964286,0.008571,0.001429,0.025714,0.747515,0.599418,0.120148,0.036461,0.050264,0.820045
ruhe_nachhall,700,0.991429,0.005714,0.001429,0.001429,0.759528,0.621284,0.120965,0.019099,0.025949,0.837519
zweiter_kippimpuls,500,0.982,0.01,0.002,0.006,0.742549,0.594846,0.126419,0.053893,0.082461,0.80243
zweite_rekopplung,694,0.992795,0.005764,0.0,0.001441,0.75831,0.619649,0.120447,0.020995,0.028681,0.835804
