token,world,segment,start_tick,end_tick,duration,enter_from,exit_to,enter_role,current_start_role,current_end_role,exit_role,start_rekopplung,end_rekopplung,after_rekopplung,start_strain,end_strain,after_strain,start_loudness,end_loudness,after_loudness,start_blur,end_blur,after_blur,start_tension,end_tension,after_tension
dio_mcm_episode_05lquqm,QUIET2026,1,2901,2902,2,dio_mcm_episode_08ubq99,dio_mcm_episode_0ej0lhx,zentrum_stabil,zentrum_stabil,zentrum_stabil,zentrum_stabil,0.724032,0.720771,0.662392,0.106753,0.116341,0.178081,0.131653,0.123525,0.464593,0.179498,0.193848,0.430655,0.065581,0.061896,0.223767
dio_mcm_episode_05lquqm,QUIET2026,2,4949,4950,2,dio_mcm_episode_1b3r4if,dio_mcm_episode_0jatqr8,zentrum_stabil,zentrum_stabil,zentrum_stabil,zentrum_stabil,0.690645,0.724986,0.730155,0.144795,0.153599,0.135089,0.263634,0.16949,0.174852,0.343364,0.361405,0.316712,0.135222,0.090772,0.084149
dio_mcm_episode_0b7nep9,EXPANSION2023,1,4549,5479,931,dio_mcm_episode_0ykar6i,dio_mcm_episode_0fljihc,zentrum_stabil,spannungsrand_kippnaehe,zentrum_stabil,spannungsrand_kippnaehe,0.571527,0.718521,0.541392,0.290947,0.147395,0.333487,0.610944,0.29366,0.843854,0.646992,0.200728,0.581731,0.263922,0.143132,0.348985
dio_mcm_episode_0b7nep9,EXPANSION2023,2,7543,9576,2034,dio_mcm_episode_1fej2vb,dio_mcm_episode_0rz7ra9,zentrum_stabil,zentrum_stabil,zentrum_stabil,offene_variante,0.714797,0.667475,0.698288,0.131251,0.172667,0.180397,0.081276,0.323045,0.295887,0.407526,0.223818,0.244588,0.059761,0.154801,0.139303
dio_mcm_episode_0b7nep9,QUIET2026,1,2951,2960,10,dio_mcm_episode_00nzcuc,dio_mcm_episode_00nzcuc,zentrum_stabil,offene_variante,zentrum_stabil,offene_variante,0.695185,0.712885,0.661498,0.168265,0.143431,0.19178,0.211877,0.214162,0.4974,0.4926,0.295089,0.275997,0.114785,0.101792,0.239202
dio_mcm_episode_0b7nep9,QUIET2026,2,2966,2966,1,dio_mcm_episode_00nzcuc,dio_mcm_episode_00nzcuc,zentrum_stabil,zentrum_stabil,zentrum_stabil,zentrum_stabil,0.713582,0.713582,0.71496,0.162008,0.162008,0.127604,0.172372,0.172372,0.214759,0.424867,0.424867,0.216115,0.097233,0.097233,0.103083
dio_mcm_episode_0b7nep9,QUIET2026,3,2974,4945,1972,dio_mcm_episode_17c7qwp,dio_mcm_episode_0tosxof,offene_variante,offene_variante,zentrum_stabil,zentrum_stabil,0.701009,0.703743,0.712644,0.161299,0.166989,0.138892,0.119888,0.360935,0.290861,0.485061,0.359833,0.281394,0.070792,0.18244,0.14001
dio_mcm_episode_0b7nep9,QUIET2026,4,5489,5491,3,dio_mcm_episode_00nzcuc,dio_mcm_episode_00nzcuc,offene_variante,offene_variante,zentrum_stabil,zentrum_stabil,0.705385,0.724657,0.730882,0.158004,0.136532,0.121953,0.127188,0.164055,0.187991,0.419326,0.181074,0.214283,0.073441,0.082438,0.092467
dio_mcm_episode_0b7nep9,QUIET2026,5,5493,5493,1,dio_mcm_episode_00nzcuc,dio_mcm_episode_00nzcuc,zentrum_stabil,zentrum_stabil,zentrum_stabil,zentrum_stabil,0.708084,0.708084,0.718276,0.147396,0.147396,0.15582,0.116433,0.116433,0.273372,0.524252,0.524252,0.396154,0.076757,0.076757,0.138508
dio_mcm_episode_0b7nep9,QUIET2026,6,5495,6778,1284,dio_mcm_episode_00nzcuc,dio_mcm_episode_0mm85pw,zentrum_stabil,zentrum_stabil,offene_variante,spannungsrand_kippnaehe,0.728651,0.672132,0.537703,0.140451,0.201766,0.342909,0.098682,0.494472,0.960084,0.315737,0.344208,0.357869,0.056022,0.233856,0.409959
