asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
XRP,2024_1H,340,dio_mcm_episode_0mji3u6->dio_mcm_episode_0e7qvj1 (18/340),0.006854,-0.005190,-0.005165
XRP,2025_1H,428,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (23/428),0.008050,-0.007721,-0.006288
