pair,count,worlds,dominant_world,dominant_role_shift,effect,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s,38,2,XRP_2025_1H (23/38),zentrum_stabil->zentrum_stabil,rekoppelnd_entlastend,-0.029678,0.076597,-0.021329,0.018693,-0.077781
dio_mcm_episode_1hdpu9s->dio_mcm_episode_0e7qvj1,34,2,XRP_2025_1H (23/34),zentrum_stabil->offene_variante,oeffnend_belastend,0.066177,-0.081161,0.028984,-0.044805,0.174687
dio_mcm_episode_0mji3u6->dio_mcm_episode_0e7qvj1,33,2,XRP_2024_1H (18/33),zentrum_stabil->zentrum_stabil,rekoppelnd_entlastend,-0.004123,0.035919,0.009592,0.006854,0.013718
dio_mcm_episode_0qzjuvj->dio_mcm_episode_0z748ck,20,2,XRP_2025_1H (12/20),zentrum_stabil->zentrum_stabil,spannungsnah,0.006952,-0.012486,0.004598,-0.004373,0.023020
dio_mcm_episode_0jbl5pq->dio_mcm_episode_0qzjuvj,19,2,XRP_2025_1H (11/19),zentrum_stabil->zentrum_stabil,oeffnend_belastend,0.001845,-0.016029,0.005192,-0.007652,0.001308
dio_mcm_episode_0z748ck->dio_mcm_episode_0e7qvj1,17,2,XRP_2025_1H (10/17),zentrum_stabil->zentrum_stabil,bewegung_offen,-0.002088,0.042561,-0.004557,0.001741,0.000093
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0mji3u6,16,2,XRP_2024_1H (10/16),zentrum_stabil->offene_variante,oeffnend_belastend,0.025937,-0.181942,0.020191,-0.027922,0.021326
dio_mcm_episode_1jwnjz4->dio_mcm_episode_0gqol8d,15,2,XRP_2024_1H (8/15),zentrum_stabil->zentrum_stabil,bewegung_offen,-0.005349,0.124230,-0.005527,0.004881,0.007891
dio_mcm_episode_1hdpu9s->dio_mcm_episode_0gqol8d,14,2,XRP_2025_1H (12/14),zentrum_stabil->zentrum_stabil,rekoppelnd_entlastend,-0.015778,0.039581,-0.013655,0.013788,-0.044335
dio_mcm_episode_0gqol8d->dio_mcm_episode_1hdpu9s,14,2,XRP_2025_1H (12/14),zentrum_stabil->zentrum_stabil,oeffnend_belastend,0.053488,-0.044391,0.057848,-0.048439,0.128921
dio_mcm_episode_0hjnwsk->dio_mcm_episode_18n06fj,14,2,XRP_2024_1H (7/14),zentrum_stabil->zentrum_stabil,oeffnend_belastend,0.013920,0.021407,-0.001921,-0.015407,0.020724
